作者1,作者2,合作次数,1-2单向引用次数,2-1单向引用次数,互引次数
Zhang F,Nureki O,9,13,5,5
Zhang F,Martin C,0,34,0,0
Zhang F,Weinstein JA,1,0,0,0
Zhang F,Nishimasu H,9,32,4,4
Zhang F,Wang JY,0,34,2,2
Zhang F,Chen SD,8,12,0,0
Zhang F,Grissa I,0,18,1,1
Zhang F,Li J,1,4,1,1
Zhang F,Shah SA,0,3,8,3
Zhang F,Zhang K,0,16,0,0
Zhang F,Wang YP,0,3,0,0
Zhang F,Wang Y,0,2,1,1
Zhang F,Inoue A,2,2,0,0
Zhang F,Mikkelsen TS,1,17,0,0
Zhang F,Guilinger JP,0,21,0,0
Zhang F,Lin CY,3,17,0,0
Zhang F,Heckl D,1,17,0,0
Zhang F,Reddy TE,0,21,0,0
Zhang F,Wei JJ,0,8,0,0
Zhang F,Moosburner M,0,20,0,0
Zhang F,Matoba S,2,16,0,0
Zhang F,Kleinstiver BP,0,17,1,1
Zhang F,Snijders APL,0,13,2,2
Zhang F,Bae S,0,13,2,2
Zhang F,White MF,0,6,3,3
Zhang F,Zhou Q,1,14,0,0
Zhang F,Kim D,0,4,0,0
Zhang F,Park J,0,13,0,0
Zhang F,Xue W,1,13,0,0
Zhang F,Prew MS,0,8,1,1
Zhang F,Banfield JF,0,13,8,8
Zhang F,Crawford GE,0,1,0,0
Zhang F,Fineran PC,0,7,13,7
Zhang F,Kriz AJ,2,6,0,0
Zhang F,Pattanayak V,0,22,0,0
Zhang F,Kim H,0,18,0,0
Zhang F,Jacks T,1,3,0,0
Zhang F,Cascio VM,0,9,0,0
Zhang F,Shan QW,0,11,0,0
Zhang F,Liu JX,0,2,0,0
Zhang F,Topkar VV,0,2,1,1
Zhang F,Wang L,0,14,0,0
Zhang F,Zhou JK,0,4,0,0
Zhang F,Musunuru K,0,4,0,0
Zhang F,Staals RHJ,0,5,5,5
Zhang F,Qiu JL,0,8,0,0
Zhang F,Kim JM,0,2,0,0
Zhang F,Vogel J,0,15,2,2
Zhang F,Zheng ZL,0,31,1,1
Zhang F,Chen KL,0,9,0,0
Zhang F,Magadan AH,0,2,5,2
Zhang F,Sharma CM,0,26,1,1
Zhang F,Zhu JK,1,28,0,0
Zhang F,Yin H,1,2,0,0
Zhang F,Chen Y,0,9,0,0
Zhang F,Hugenholtz P,0,12,0,0
Zhang F,Yamamoto T,0,0,0,0
Zhang F,Shi LY,0,3,0,0
Zhang F,Sola C,0,11,0,0
Zhang F,Kim J,0,0,0,0
Zhang F,Horlbeck MA,0,12,0,0
Zhang F,Niemann S,0,12,0,0
Zhang F,Slijkhuis RJH,0,0,1,0
Zhang F,Ousterout DG,2,11,0,0
Zhang F,Sakuma T,0,2,0,0
Zhang F,Wyvekens N,0,3,0,0
Zhang F,Ploegh HL,0,11,0,0
Zhang F,Vockley CM,0,12,0,0
Zhang F,Mao YF,1,6,0,0
Zhang F,Xi JJ,0,2,0,0
Zhang F,Datsenko KA,0,6,9,6
Zhang F,Liu ZR,0,10,0,0
Zhang F,Brandman O,0,14,0,0
Zhang F,Brar GA,0,14,0,0
Zhang F,Morsut L,0,14,0,0
Zhang F,Stern-Ginossar N,0,14,0,0
Zhang F,Torres SE,0,14,0,0
Zhang F,Liang Z,0,14,1,1
Zhang F,Villalta JE,0,2,0,0
Zhang F,Doudna J,1,12,0,0
Zhang F,Villion M,0,15,4,4
Zhang F,Essletzbichler P,5,26,0,0
Zhang F,Nogales E,0,25,0,0
Zhang F,Thapar V,0,15,0,0
Zhang F,Storz G,0,11,0,0
Zhang F,Waters LS,0,0,0,0
Zhang F,Chen L,0,0,1,0
Zhang F,Xu J,1,0,0,0
Zhang F,Kabadi AM,0,7,0,0
Zhang F,Dupuis ME,0,3,3,3
Zhang F,Voytas DF,1,26,0,0
Zhang F,Taylor DW,0,4,0,0
Zhang F,Volz SE,3,14,0,0
Zhang F,Wang H,0,25,0,0
Zhang F,She QX,0,5,4,4
Zhang F,Bassik MC,0,4,0,0
Zhang F,Graham DB,1,10,0,0
Zhang F,Clevers H,0,14,0,0
Zhang F,Xavier RJ,1,2,0,0
Zhang F,van Soolingen D,0,14,0,0
Zhang F,Heidenreich M,6,0,0,0
Zhang F,Feng ZY,1,19,0,0
Zhang F,Wei PL,1,2,0,0
Zhang F,Chao YJ,0,2,1,1
Zhang F,Deltcheva E,0,28,1,1
Zhang F,Eckert MR,0,28,1,1
Zhang F,Gonzales K,0,28,1,1
Zhang F,Pirzada ZA,0,28,1,1
Zhang F,Bondy-Denomy J,0,28,6,6
Zhang F,Cheng A,0,4,0,0
Zhang F,East A,0,15,0,0
Zhang F,Schouls LM,0,15,0,0
Zhang F,Van Embden JDA,0,3,0,0
Zhang F,Qimron U,0,0,5,0
Zhang F,Adamson B,0,4,0,0
Zhang F,Kosuri S,0,10,0,0
Zhang F,Stranges PB,0,16,0,0
Zhang F,Kremer K,0,16,0,0
Zhang F,Ishitani R,7,0,4,0
Zhang F,Hale CR,0,23,2,2
Zhang F,Huang B,0,8,0,0
Zhang F,Almendros C,0,9,5,5
Zhang F,Zhang BT,1,12,0,0
Zhang F,Backofen R,0,2,2,2
Zhang F,Mokrousov I,0,14,0,0
Zhang F,Zhang H,0,0,1,0
Zhang F,Graveley BR,0,1,5,1
Zhang F,Dadon DB,1,8,0,0
Zhang F,Olson S,0,5,4,4
Zhang F,Zhao P,0,8,1,1
Zhang F,Kunin V,0,7,0,0
Zhang F,Nelson KE,0,0,0,0
Zhang F,Zhang B,0,2,0,0
Zhang F,Puchta H,0,3,0,0
Zhang F,Collins JJ,2,1,0,0
Zhang F,Davidson AR,0,5,4,4
Zhang F,Anders C,0,4,1,1
Zhang F,Kampmann M,0,16,0,0
Zhang F,Jiang FG,0,10,2,2
Zhang F,O'Connor-Giles KM,0,13,0,0
Zhang F,Zhao Y,0,6,0,0
Zhang F,Fauville-Dufaux M,0,1,0,0
Zhang F,Garzelli C,0,0,0,0
Zhang F,Gomes HM,0,0,0,0
Zhang F,Rasolofo-Razanamparany V,0,0,0,0
Zhang F,Rastogi N,0,0,0,0
