作者1,作者2,合作次数,1-2单向引用次数,2-1单向引用次数,互引次数
Gilbert LA,Kreiswirth BN,0,2,0,0
Gilbert LA,Kubin M,0,3,0,0
Gilbert LA,Kulkarni SP,0,0,0,0
Gilbert LA,Liens B,0,2,0,0
Gilbert LA,Lillebaek T,0,0,0,0
Gilbert LA,Ly HM,0,2,0,0
Gilbert LA,Narvskaia O,0,2,0,0
Gilbert LA,Naumann L,0,0,0,0
Gilbert LA,Ngeow YF,0,1,0,0
Gilbert LA,Parwati I,0,3,0,0
Gilbert LA,Portaels F,0,0,0,0
Gilbert LA,Prodinger WM,0,3,0,0
Gilbert LA,Rahim Z,0,0,0,0
Gilbert LA,Rasolonavalona T,0,0,0,0
Gilbert LA,Rossetti ML,0,0,0,0
Gilbert LA,Rusch-Gerdes S,0,0,0,0
Gilbert LA,Sajduda A,0,3,0,0
Gilbert LA,Samper S,0,0,0,0
Gilbert LA,Shemyakin IG,0,3,0,0
Gilbert LA,Singh UB,0,3,0,0
Gilbert LA,Skuce RA,0,4,0,0
Gilbert LA,Somoskovi A,0,4,0,0
Gilbert LA,Streicher EM,0,1,0,0
Gilbert LA,Tracevska T,0,0,0,0
Gilbert LA,van Helden PD,0,0,0,0
Gilbert LA,Victor TC,0,1,0,0
Gilbert LA,Vincent V,0,1,0,0
Gilbert LA,Warren RM,0,0,0,0
Gilbert LA,Yap SF,0,1,0,0
Gilbert LA,Zaman K,0,2,0,0
Gilbert LA,Schwank G,0,0,0,0
Gilbert LA,Hu B,0,0,0,0
Gilbert LA,Chen BH,3,0,0,0
Gilbert LA,Langer R,0,0,0,0
Gilbert LA,Wang F,0,0,0,0
Gilbert LA,Orkin SH,0,0,0,0
Gilbert LA,Zhou Y,0,0,0,0
Gilbert LA,Zuris JA,0,0,0,0
Gilbert LA,Hegde M,0,0,0,0
Gilbert LA,Cuppen E,0,0,0,0
Gilbert LA,Olson EN,0,0,0,0
Gilbert LA,Bassel-Duby R,0,2,0,0
Gilbert LA,Liu J,0,0,0,0
Gilbert LA,Sullender M,0,2,0,0
Gilbert LA,Thompson DB,0,0,0,0
Gilbert LA,Tothova Z,0,0,0,0
Gilbert LA,Niu YY,0,0,0,0
Gilbert LA,Smith I,0,0,0,0
Gilbert LA,Pul U,0,0,3,0
Gilbert LA,Wagner R,0,0,3,0
Gilbert LA,Wurm R,0,0,3,0
Gilbert LA,Platt RJ,0,0,0,0
Gilbert LA,Swiech L,0,0,0,0
Gilbert LA,Haurwitz RE,0,0,0,0
Gilbert LA,Li Y,0,0,0,0
Gilbert LA,Ji WZ,0,0,0,0
Gilbert LA,van Duijn E,0,0,0,0
Gilbert LA,D'Ippolito AM,0,0,0,0
Gilbert LA,Perez-Pinera P,0,0,0,0
Gilbert LA,Li Z,0,0,0,0
Gilbert LA,Cowan CA,0,0,0,0
Gilbert LA,Dohmae N,0,0,0,0
Gilbert LA,Salvignol G,0,0,0,0
Gilbert LA,Soria E,0,0,0,0
Gilbert LA,Zhang X,0,0,1,0
Gilbert LA,Li L,0,0,0,0
Gilbert LA,Li M,0,0,1,0
Gilbert LA,Liu JL,0,0,0,0
Gilbert LA,Shmakov S,0,0,4,0
Gilbert LA,Parnas O,1,0,0,0
Gilbert LA,Gratz SJ,0,0,0,0
Gilbert LA,Kaplan M,0,0,0,0
Gilbert LA,Gaastra W,0,0,0,0
Gilbert LA,Jansen R,0,0,0,0
Gilbert LA,Polstein LR,0,0,0,0
Gilbert LA,Yosef I,0,0,3,0
Gilbert LA,Nekrasov V,0,0,0,0
Gilbert LA,Gagnon JA,0,0,0,0
Gilbert LA,Chen YC,0,0,0,0
Gilbert LA,Wu Q,0,0,1,0
Gilbert LA,McAnally JR,0,0,0,0
Gilbert LA,Brigham MD,0,0,0,0
Gilbert LA,Shelton JM,0,0,0,0
Gilbert LA,Li YJ,0,0,1,0
Gilbert LA,Heck AJR,0,0,1,0
Gilbert LA,Jackson RN,0,0,2,0
Gilbert LA,Bogorad RL,0,0,0,0
Gilbert LA,Koteliansky V,0,0,0,0
Gilbert LA,Rios X,0,0,0,0
Gilbert LA,Liu Y,0,0,1,0
Gilbert LA,Li DL,0,0,0,0
Gilbert LA,Mongodin EF,0,0,0,0
Gilbert LA,Grishin NV,0,0,0,0
Gilbert LA,Zhang XY,0,0,0,0
Gilbert LA,Liu MY,0,0,0,0
Gilbert LA,Hacohen N,0,0,0,0
Gilbert LA,Bolotin A,0,0,0,0
Gilbert LA,Ehrlich SD,0,0,0,0
Gilbert LA,Ouinquis B,0,0,0,0
Gilbert LA,Sorokin A,0,0,0,0
Gilbert LA,Chen J,0,1,0,0
Gilbert LA,Long CZ,0,0,0,0
Gilbert LA,Chen YL,0,0,0,0
Gilbert LA,Wang Z,0,1,0,0
Gilbert LA,Cummings AM,0,0,0,0
Gilbert LA,Donohue LK,0,0,0,0
Gilbert LA,Braff JL,0,0,0,0
Gilbert LA,Kweon J,0,0,0,0
Gilbert LA,Zhao XY,0,0,0,0
Gilbert LA,Carte J,0,0,3,0
Gilbert LA,Li YM,0,0,0,0
Gilbert LA,Chen WB,0,0,0,0
Gilbert LA,Friedland AE,0,0,0,0
Gilbert LA,Richter C,0,0,6,0
Gilbert LA,Zhang WS,0,0,0,0
Gilbert LA,Kang Y,0,1,0,0
Gilbert LA,Barcena C,0,0,0,0
Gilbert LA,Shao YJ,0,2,0,0
Gilbert LA,Yang L,0,2,0,0
Gilbert LA,Bushman FD,0,2,0,0
Gilbert LA,Carroll D,0,0,0,0
Gilbert LA,Khalili K,0,0,0,0
Gilbert LA,Li JF,0,4,1,1
Gilbert LA,Li YL,0,0,0,0
Gilbert LA,Gao LY,0,1,0,0
Gilbert LA,Mireault AA,0,0,0,0
Gilbert LA,Housden BE,0,0,0,0
Gilbert LA,Greene EC,0,0,0,0
Gilbert LA,Redding S,0,2,0,0
Gilbert LA,Sha JH,0,0,0,0
Gilbert LA,Coute-Monvoisin AC,0,1,2,1
Gilbert LA,Minot S,0,0,0,0
Gilbert LA,Blackburn EH,2,1,0,0
Gilbert LA,Cimini BA,2,0,0,0
Gilbert LA,Li GW,2,0,0,0
Gilbert LA,Schnitzbauer J,2,0,0,0
Gilbert LA,Shabalina SA,0,0,0,0
Gilbert LA,Liu XD,0,0,0,0
Gilbert LA,Xie KB,0,0,1,0
Gilbert LA,Belmonte JCI,0,2,0,0
Gilbert LA,Weeks DP,0,1,0,0
Gilbert LA,Guimaraes C,1,3,0,0
Gilbert LA,Panning B,1,3,0,0
Gilbert LA,Harrison MM,0,0,0,0
Gilbert LA,Wildonger J,0,2,0,0
Gilbert LA,Labonte J,0,0,0,0
Yang LH,Barretto R,0,0,1,0
Yang LH,Fremaux C,0,1,8,1
Yang LH,Norville JE,1,0,0,0
Yang LH,Kim JS,0,0,1,0
Yang LH,Sander JD,0,0,0,0
Yang LH,Gootenberg JS,0,0,2,0
Yang LH,Zhang Y,0,0,6,0
Yang LH,DiCarlo JE,1,1,0,0
Yang LH,Reyon D,0,0,0,0
Yang LH,Romero DA,0,0,5,0
Yang LH,Boyaval P,0,0,4,0
Yang LH,Gersbach CA,0,2,0,0
Yang LH,Fu YF,0,0,0,0
Yang LH,Hauer M,0,0,1,0
Yang LH,Fonfara I,0,4,2,2
Yang LH,Lander ES,0,5,2,2
Yang LH,Tsai SQ,0,0,1,0
Yang LH,Maeder ML,0,0,0,0
Yang LH,Guell M,4,0,0,0
Yang LH,Jaenisch R,0,0,0,0
Yang LH,Agarwala V,0,0,0,0
Yang LH,Westra ER,0,0,16,0
Yang LH,Wiedenheft B,0,0,9,0
Yang LH,Wolf YI,0,0,8,0
Yang LH,Deveau H,0,0,2,0
Yang LH,Cheng AW,0,0,0,0
Yang LH,Wang HY,0,0,0,0
Yang LH,Mojica FJM,0,2,9,2
Yang LH,Sanjana NE,0,2,0,0
Yang LH,Lim WA,0,0,1,0
Yang LH,Yang H,0,0,3,0
Yang LH,Jore MM,0,1,6,1
Yang LH,Sternberg SH,0,4,2,2
Yang LH,Lin S,0,0,0,0
Yang LH,Shivalila CS,0,0,0,0
Yang LH,Zetsche B,0,1,2,1
Yang LH,Terns MP,0,1,15,1
Yang LH,Terns RM,0,0,14,0
Yang LH,Sharp PA,0,1,0,0
Yang LH,Bao G,0,0,1,0
Yang LH,Larson MH,0,0,1,0
Yang LH,Kim S,0,0,0,0
Yang LH,Trevino AE,0,0,0,0
Yang LH,Richards M,0,1,0,0
Yang LH,Cradick TJ,0,0,1,0
Yang LH,Root DE,0,1,0,0
Yang LH,Abudayyeh OO,0,0,1,0
Yang LH,Sontheimer EJ,0,0,9,0
Yang LH,Vergnaud G,0,0,1,0
Yang LH,Khayter C,0,0,0,0
Yang LH,Doench JG,0,0,0,0
Yang LH,Pourcel C,0,0,1,0
Yang LH,Severinov K,0,1,14,1
Yang LH,Li YQ,0,3,1,1
Yang LH,Haft DH,0,0,2,0
Yang LH,Cho SW,0,0,0,0
Yang LH,Wright J,0,0,0,0
Yang LH,Huang XX,0,0,0,0
Yang LH,Joung J,0,0,0,0
Yang LH,Yan WX,0,5,1,1
Yang LH,Regev A,0,0,0,0
Yang LH,Fine EJ,0,1,0,0
Yang LH,Liu DR,0,0,1,0
Yang LH,Siksnys V,0,0,11,0
Yang LH,Yeh JRJ,0,0,1,0
Yang LH,Peterson RT,0,0,1,0
Yang LH,Ebert BL,0,2,0,0
Yang LH,Yakunin AF,0,2,5,2
Yang LH,Shen B,0,5,0,0
Yang LH,Whitehead EH,0,16,0,0
Yang LH,Zhou KH,0,18,2,2
Yang LH,Lundgren M,0,11,4,4
Yang LH,Gao CX,0,11,0,0
Yang LH,Semenova E,0,7,11,7
Yang LH,Ma EB,0,5,0,0
Yang LH,Wang T,1,9,0,0
Yang LH,Bikard D,0,11,9,9
Yang LH,Gasiunas G,0,4,9,4
Yang LH,Hartenian E,0,10,0,0
Yang LH,Garrett RA,0,6,12,6
Yang LH,Nguyen NT,0,5,1,1
Yang LH,Li W,0,8,2,2
Yang LH,Zhang J,0,5,2,2
Yang LH,Thakore PI,0,7,0,0
Yang LH,Foden JA,0,8,0,0
Yang LH,Garneau JE,0,0,2,0
Yang LH,Sabatini DM,0,11,0,0
Yang LH,Sorek R,0,4,3,3
Yang LH,Slaymaker IM,0,11,0,0
Yang LH,Dawlaty MM,0,10,0,0
Yang LH,Anderson DG,0,10,0,0
Yang LH,Gaj T,0,7,0,0
Yang LH,Li H,0,9,4,4
Yang LH,Shi X,0,3,0,0
Yang LH,Arkin AP,0,11,0,0
Yang LH,Aryee MJ,0,7,1,1
Yang LH,Dickman MJ,0,18,4,4
Yang LH,Barbas CF,0,18,0,0
Yang LH,Hwang WY,0,6,0,0
Yang LH,Diez-Villasenor C,0,6,4,4
Yang LH,Garcia-Martinez J,0,18,4,4
Yang LH,Nureki O,0,10,5,5
Yang LH,Martin C,0,7,0,0
Yang LH,Weinstein JA,0,3,0,0
Yang LH,Nishimasu H,0,8,4,4
Yang LH,Wang JY,0,5,2,2
Yang LH,Chen SD,0,4,0,0
Yang LH,Grissa I,0,4,1,1
Yang LH,Li J,0,3,1,1
Yang LH,Shah SA,0,8,8,8
Yang LH,Zhang K,0,3,0,0
Yang LH,Wang YP,0,3,0,0
Yang LH,Wang Y,1,3,1,1
Yang LH,Inoue A,0,11,0,0
Yang LH,Mikkelsen TS,0,2,0,0
Yang LH,Guilinger JP,0,6,0,0
Yang LH,Lin CY,0,6,0,0
Yang LH,Heckl D,0,11,0,0
Yang LH,Reddy TE,0,3,0,0
Yang LH,Wei JJ,0,3,0,0
Yang LH,Moosburner M,1,7,0,0
Yang LH,Matoba S,0,5,0,0
Yang LH,Kleinstiver BP,0,2,1,1
Yang LH,Snijders APL,0,1,2,1
Yang LH,Bae S,0,5,2,2
Yang LH,White MF,0,3,3,3
Yang LH,Zhou Q,0,3,0,0
Yang LH,Kim D,0,5,0,0
Yang LH,Park J,0,5,0,0
Yang LH,Xue W,0,3,0,0
Yang LH,Prew MS,0,8,1,1
Yang LH,Banfield JF,0,17,8,8
Yang LH,Crawford GE,0,5,0,0
Yang LH,Fineran PC,0,2,13,2
Yang LH,Kriz AJ,0,8,0,0
Yang LH,Pattanayak V,0,9,0,0
Yang LH,Kim H,0,5,0,0
Yang LH,Jacks T,0,3,0,0
Yang LH,Cascio VM,0,2,0,0
Yang LH,Shan QW,0,2,0,0
Yang LH,Liu JX,0,4,0,0
Yang LH,Topkar VV,0,2,1,1
Yang LH,Wang L,0,16,0,0
Yang LH,Zhou JK,0,4,0,0
Yang LH,Musunuru K,0,3,0,0
Yang LH,Staals RHJ,0,3,5,3
Yang LH,Qiu JL,0,1,0,0
Yang LH,Kim JM,0,8,0,0
Yang LH,Vogel J,0,3,2,2
Yang LH,Zheng ZL,0,3,1,1
Yang LH,Chen KL,0,0,0,0
Yang LH,Magadan AH,0,1,5,1
Yang LH,Sharma CM,0,8,1,1
Yang LH,Zhu JK,0,0,0,0
Yang LH,Yin H,0,1,0,0
Yang LH,Chen Y,0,3,0,0
Yang LH,Hugenholtz P,0,3,0,0
Yang LH,Yamamoto T,0,4,0,0
Yang LH,Shi LY,0,1,0,0
Yang LH,Sola C,0,1,0,0
Yang LH,Kim J,0,3,0,0
Yang LH,Horlbeck MA,0,3,0,0
Yang LH,Niemann S,0,4,0,0
Yang LH,Slijkhuis RJH,0,2,1,1
Yang LH,Ousterout DG,0,3,0,0
Yang LH,Sakuma T,0,2,0,0
Yang LH,Wyvekens N,0,2,0,0
Yang LH,Ploegh HL,0,2,0,0
Yang LH,Vockley CM,0,8,0,0
Yang LH,Mao YF,0,3,0,0
Yang LH,Xi JJ,0,1,0,0
Yang LH,Datsenko KA,0,15,9,9
Yang LH,Liu ZR,0,3,0,0
Yang LH,Brandman O,0,1,0,0
Yang LH,Brar GA,0,0,0,0
Yang LH,Morsut L,0,1,0,0
Yang LH,Stern-Ginossar N,0,7,0,0
Yang LH,Torres SE,0,11,0,0
Yang LH,Liang Z,0,2,1,1
Yang LH,Villalta JE,0,2,0,0
Yang LH,Doudna J,0,8,0,0
Yang LH,Villion M,0,2,4,2
Yang LH,Essletzbichler P,0,0,0,0
Yang LH,Nogales E,0,3,0,0
Yang LH,Thapar V,0,0,0,0
Yang LH,Storz G,0,5,0,0
Yang LH,Waters LS,0,1,0,0
Yang LH,Chen L,0,1,1,1
Yang LH,Xu J,0,10,0,0
Yang LH,Kabadi AM,0,0,0,0
Yang LH,Dupuis ME,0,1,3,1
Yang LH,Voytas DF,0,3,0,0
Yang LH,Taylor DW,0,2,0,0
Yang LH,Volz SE,0,5,0,0
Yang LH,Wang H,0,1,0,0
Yang LH,She QX,0,7,4,4
Yang LH,Bassik MC,0,13,0,0
Yang LH,Graham DB,0,1,0,0
Yang LH,Clevers H,0,1,0,0
Yang LH,Xavier RJ,0,5,0,0
Yang LH,van Soolingen D,0,2,0,0
Yang LH,Heidenreich M,0,1,0,0
Yang LH,Feng ZY,0,1,0,0
Yang LH,Wei PL,0,6,0,0
Yang LH,Chao YJ,0,0,1,0
Yang LH,Deltcheva E,0,1,1,1
Yang LH,Eckert MR,0,6,1,1
Yang LH,Gonzales K,0,0,1,0
Yang LH,Pirzada ZA,0,2,1,1
Yang LH,Bondy-Denomy J,0,0,6,0
Yang LH,Cheng A,0,1,0,0
Yang LH,East A,0,2,0,0
Yang LH,Schouls LM,0,0,0,0
Yang LH,Van Embden JDA,0,0,0,0
Yang LH,Qimron U,0,0,5,0
Yang LH,Adamson B,0,0,0,0
Yang LH,Kosuri S,1,6,0,0
Yang LH,Stranges PB,1,1,0,0
Yang LH,Kremer K,0,0,0,0
Yang LH,Ishitani R,0,6,4,4
Yang LH,Hale CR,0,4,2,2
Yang LH,Huang B,0,10,0,0
Yang LH,Almendros C,0,4,5,4
Yang LH,Zhang BT,0,0,0,0
Yang LH,Backofen R,0,0,2,0
Yang LH,Mokrousov I,0,1,0,0
Yang LH,Zhang H,0,0,1,0
Yang LH,Graveley BR,0,1,5,1
Yang LH,Dadon DB,0,0,0,0
Yang LH,Olson S,0,1,4,1
Yang LH,Zhao P,0,7,1,1
Yang LH,Kunin V,0,2,0,0
Yang LH,Nelson KE,0,0,0,0
Yang LH,Zhang B,0,1,0,0
Yang LH,Puchta H,0,4,0,0
Yang LH,Collins JJ,0,0,0,0
Yang LH,Davidson AR,0,2,4,2
Yang LH,Anders C,0,0,1,0
Yang LH,Kampmann M,0,2,0,0
Yang LH,Jiang FG,0,1,2,1
Yang LH,O'Connor-Giles KM,0,0,0,0
Yang LH,Zhao Y,1,0,0,0
Yang LH,Fauville-Dufaux M,0,0,0,0
Yang LH,Garzelli C,0,0,0,0
Yang LH,Gomes HM,0,0,0,0
Yang LH,Rasolofo-Razanamparany V,0,0,0,0
Yang LH,Rastogi N,0,1,0,0
Yang LH,Rigouts L,0,1,0,0
Yang LH,Suffys PN,0,0,0,0
Yang LH,Tortoli E,0,3,0,0
Yang LH,Hilton IB,0,4,0,0
Yang LH,Zhang W,0,0,0,0
Yang LH,Barendregt A,0,0,2,0
Yang LH,Lu TK,0,1,0,0
Yang LH,Samai P,0,4,2,2
Yang LH,Chen S,0,0,2,0
Yang LH,Perrimon N,0,2,0,0
Yang LH,Nunez JK,0,12,2,2
Yang LH,Yang B,1,0,0,0
Yang LH,Al-Hajoj SA,0,0,0,0
Yang LH,Allix C,0,2,0,0
Yang LH,Aristimuno L,0,0,0,0
Yang LH,Arora J,0,1,0,0
Yang LH,Baumanis V,0,12,0,0
Yang LH,Binder L,0,0,0,0
Yang LH,Brudey K,0,1,0,0
Yang LH,Cafrune P,0,3,0,0
Yang LH,Cataldi A,0,0,0,0
Yang LH,Cheong S,0,1,0,0
Yang LH,Diel R,0,12,0,0
Yang LH,Driscoll JR,0,3,0,0
Yang LH,Ellermeier C,0,0,0,0
Yang LH,Evans JT,0,0,0,0
Yang LH,Ferdinand S,0,0,0,0
Yang LH,Garcia de Viedma D,0,14,0,0
Yang LH,Gazzola L,0,14,0,0
Yang LH,Gori A,0,14,0,0
Yang LH,Guttierez MC,0,14,0,0
Yang LH,Hawkey PM,0,14,0,0
Yang LH,Kadival GV,0,14,0,0
Yang LH,Kreiswirth BN,0,0,0,0
Yang LH,Kubin M,0,12,0,0
Yang LH,Kulkarni SP,0,6,0,0
Yang LH,Liens B,0,1,0,0
Yang LH,Lillebaek T,0,1,0,0
Yang LH,Ly HM,0,3,0,0
Yang LH,Narvskaia O,0,1,0,0
Yang LH,Naumann L,0,0,0,0
Yang LH,Ngeow YF,0,0,0,0
Yang LH,Parwati I,0,0,0,0
Yang LH,Portaels F,0,0,0,0
Yang LH,Prodinger WM,0,4,0,0
Yang LH,Rahim Z,0,1,0,0
Yang LH,Rasolonavalona T,0,0,0,0
Yang LH,Rossetti ML,0,2,0,0
Yang LH,Rusch-Gerdes S,0,1,0,0
Yang LH,Sajduda A,0,0,0,0
Yang LH,Samper S,0,0,0,0
Yang LH,Shemyakin IG,0,12,0,0
Yang LH,Singh UB,0,4,0,0
Yang LH,Skuce RA,0,0,0,0
Yang LH,Somoskovi A,0,4,0,0
Yang LH,Streicher EM,0,0,0,0
Yang LH,Tracevska T,0,1,0,0
Yang LH,van Helden PD,0,0,0,0
Yang LH,Victor TC,0,0,0,0
Yang LH,Vincent V,0,4,0,0
Yang LH,Warren RM,0,4,0,0
Yang LH,Yap SF,0,4,0,0
Yang LH,Zaman K,0,4,0,0
Yang LH,Schwank G,0,4,0,0
Yang LH,Hu B,0,0,0,0
Yang LH,Chen BH,0,6,0,0
Yang LH,Langer R,0,6,0,0
Yang LH,Wang F,0,0,0,0
Yang LH,Orkin SH,0,0,0,0
Yang LH,Zhou Y,0,0,0,0
Yang LH,Zuris JA,0,12,0,0
Yang LH,Hegde M,0,4,0,0
Yang LH,Cuppen E,0,4,0,0
Yang LH,Olson EN,0,0,0,0
Yang LH,Bassel-Duby R,0,4,0,0
Yang LH,Liu J,0,0,0,0
Yang LH,Sullender M,0,7,0,0
Yang LH,Thompson DB,0,1,0,0
Yang LH,Tothova Z,0,0,0,0
Yang LH,Niu YY,0,1,0,0
Yang LH,Smith I,0,0,0,0
Yang LH,Pul U,0,0,3,0
Yang LH,Wagner R,0,0,3,0
Yang LH,Wurm R,0,2,3,2
Yang LH,Platt RJ,0,0,0,0
Yang LH,Swiech L,0,0,0,0
Yang LH,Haurwitz RE,0,0,0,0
Yang LH,Li Y,0,0,0,0
Yang LH,Ji WZ,0,0,0,0
Yang LH,van Duijn E,0,0,0,0
Yang LH,D'Ippolito AM,0,0,0,0
Yang LH,Perez-Pinera P,0,0,0,0
Yang LH,Li Z,0,2,0,0
Yang LH,Cowan CA,0,12,0,0
Yang LH,Dohmae N,0,3,0,0
Yang LH,Salvignol G,0,0,0,0
Yang LH,Soria E,0,1,0,0
Yang LH,Zhang X,0,0,1,0
Yang LH,Li L,0,0,0,0
Yang LH,Li M,0,0,1,0
Yang LH,Liu JL,0,0,0,0
Yang LH,Shmakov S,0,0,4,0
Yang LH,Parnas O,0,0,0,0
Yang LH,Gratz SJ,0,0,0,0
Yang LH,Kaplan M,0,0,0,0
Yang LH,Gaastra W,0,4,0,0
Yang LH,Jansen R,0,7,0,0
Yang LH,Polstein LR,0,0,0,0
Yang LH,Yosef I,0,3,3,3
Yang LH,Nekrasov V,0,0,0,0
Yang LH,Gagnon JA,0,0,0,0
Yang LH,Chen YC,0,0,0,0
Yang LH,Wu Q,0,1,1,1
Yang LH,McAnally JR,0,0,0,0
Yang LH,Brigham MD,0,0,0,0
Yang LH,Shelton JM,0,0,0,0
Yang LH,Li YJ,0,0,1,0
Yang LH,Heck AJR,0,0,1,0
Yang LH,Jackson RN,0,0,2,0
Yang LH,Bogorad RL,0,0,0,0
Yang LH,Koteliansky V,0,0,0,0
Yang LH,Rios X,1,0,0,0
Yang LH,Liu Y,0,0,1,0
Yang LH,Li DL,0,0,0,0
Yang LH,Mongodin EF,0,0,0,0
Yang LH,Grishin NV,0,0,0,0
Yang LH,Zhang XY,0,0,0,0
Yang LH,Liu MY,0,0,0,0
Yang LH,Hacohen N,0,0,0,0
Yang LH,Bolotin A,0,0,0,0
Yang LH,Ehrlich SD,0,0,0,0
Yang LH,Ouinquis B,0,0,0,0
Yang LH,Sorokin A,0,0,0,0
Yang LH,Chen J,0,0,0,0
Yang LH,Long CZ,0,0,0,0
Yang LH,Chen YL,0,0,0,0
Yang LH,Wang Z,0,0,0,0
Yang LH,Cummings AM,0,0,0,0
Yang LH,Donohue LK,0,0,0,0
Yang LH,Braff JL,0,0,0,0
Yang LH,Kweon J,0,0,0,0
Yang LH,Zhao XY,0,0,0,0
Yang LH,Carte J,0,0,3,0
Yang LH,Li YM,0,0,0,0
Yang LH,Chen WB,0,0,0,0
Yang LH,Friedland AE,0,0,0,0
Yang LH,Richter C,0,0,6,0
Yang LH,Zhang WS,0,0,0,0
Yang LH,Kang Y,0,0,0,0
Yang LH,Barcena C,0,0,0,0
Yang LH,Shao YJ,0,0,0,0
Yang LH,Yang L,0,0,0,0
Yang LH,Bushman FD,0,0,0,0
Yang LH,Carroll D,0,0,0,0
Yang LH,Khalili K,0,0,0,0
Yang LH,Li JF,0,0,1,0
Yang LH,Li YL,0,0,0,0
Yang LH,Gao LY,0,0,0,0
Yang LH,Mireault AA,0,0,0,0
Yang LH,Housden BE,0,0,0,0
Yang LH,Greene EC,0,0,0,0
Yang LH,Redding S,0,0,0,0
Yang LH,Sha JH,0,0,0,0
Yang LH,Coute-Monvoisin AC,0,0,2,0
Yang LH,Minot S,0,0,0,0
Yang LH,Blackburn EH,0,0,0,0
Yang LH,Cimini BA,0,0,0,0
Yang LH,Li GW,0,7,0,0
Yang LH,Schnitzbauer J,0,2,0,0
Yang LH,Shabalina SA,0,0,0,0
Yang LH,Liu XD,0,2,0,0
Yang LH,Xie KB,0,1,1,1
Yang LH,Belmonte JCI,0,3,0,0
Yang LH,Weeks DP,0,3,0,0
Yang LH,Guimaraes C,0,0,0,0
Yang LH,Panning B,0,1,0,0
Yang LH,Harrison MM,0,1,0,0
Yang LH,Wildonger J,0,0,0,0
Yang LH,Labonte J,0,3,0,0
Barretto R,Fremaux C,0,1,8,1
Barretto R,Norville JE,0,3,0,0
Barretto R,Kim JS,0,0,1,0
Barretto R,Sander JD,0,3,0,0
Barretto R,Gootenberg JS,0,0,2,0
Barretto R,Zhang Y,0,0,6,0
Barretto R,DiCarlo JE,0,0,0,0
Barretto R,Reyon D,0,1,0,0
Barretto R,Romero DA,0,1,5,1
Barretto R,Boyaval P,0,2,4,2
Barretto R,Gersbach CA,0,1,0,0
Barretto R,Fu YF,0,0,0,0
Barretto R,Hauer M,0,0,1,0
Barretto R,Fonfara I,0,4,2,2
Barretto R,Lander ES,0,1,2,1
Barretto R,Tsai SQ,0,0,1,0
Barretto R,Maeder ML,0,1,0,0
Barretto R,Guell M,0,3,0,0
Barretto R,Jaenisch R,0,0,0,0
Barretto R,Agarwala V,0,0,0,0
Barretto R,Westra ER,0,0,16,0
Barretto R,Wiedenheft B,0,1,9,1
Barretto R,Wolf YI,0,0,8,0
Barretto R,Deveau H,0,0,2,0
Barretto R,Cheng AW,0,0,0,0
Barretto R,Wang HY,0,2,0,0
Barretto R,Mojica FJM,0,0,9,0
Barretto R,Sanjana NE,0,1,0,0
Barretto R,Lim WA,0,0,1,0
Barretto R,Yang H,0,0,3,0
Barretto R,Jore MM,0,0,6,0
Barretto R,Sternberg SH,0,0,2,0
Barretto R,Lin S,0,0,0,0
Barretto R,Shivalila CS,0,0,0,0
Barretto R,Zetsche B,0,0,2,0
Barretto R,Terns MP,0,2,15,2
Barretto R,Terns RM,0,1,14,1
Barretto R,Sharp PA,0,3,0,0
Barretto R,Bao G,0,1,1,1
Barretto R,Larson MH,0,0,1,0
Barretto R,Kim S,0,0,0,0
Barretto R,Trevino AE,0,0,0,0
Barretto R,Richards M,0,1,0,0
Barretto R,Cradick TJ,0,1,1,1
Barretto R,Root DE,0,3,0,0
Barretto R,Abudayyeh OO,0,0,1,0
Barretto R,Sontheimer EJ,0,0,9,0
Barretto R,Vergnaud G,0,0,1,0
Barretto R,Khayter C,0,0,0,0
Barretto R,Doench JG,0,0,0,0
Barretto R,Pourcel C,0,0,1,0
Barretto R,Severinov K,0,1,14,1
Barretto R,Li YQ,0,0,1,0
Barretto R,Haft DH,0,0,2,0
Barretto R,Cho SW,0,0,0,0
Barretto R,Wright J,0,0,0,0
Barretto R,Huang XX,0,1,0,0
Barretto R,Joung J,0,1,0,0
Barretto R,Yan WX,0,0,1,0
Barretto R,Regev A,0,0,0,0
Barretto R,Fine EJ,0,0,0,0
Barretto R,Liu DR,0,0,1,0
Barretto R,Siksnys V,0,0,11,0
Barretto R,Yeh JRJ,0,0,1,0
Barretto R,Peterson RT,0,0,1,0
Barretto R,Ebert BL,0,1,0,0
Barretto R,Yakunin AF,0,0,5,0
Barretto R,Shen B,0,0,0,0
Barretto R,Whitehead EH,0,0,0,0
Barretto R,Zhou KH,0,0,2,0
Barretto R,Lundgren M,0,0,4,0
Barretto R,Gao CX,0,0,0,0
Barretto R,Semenova E,0,3,11,3
Barretto R,Ma EB,0,0,0,0
Barretto R,Wang T,0,0,0,0
Barretto R,Bikard D,0,0,9,0
Barretto R,Gasiunas G,0,1,9,1
Barretto R,Hartenian E,0,0,0,0
Barretto R,Garrett RA,0,0,12,0
Barretto R,Nguyen NT,0,3,1,1
Barretto R,Li W,0,0,2,0
Barretto R,Zhang J,0,1,2,1
Barretto R,Thakore PI,0,0,0,0
Barretto R,Foden JA,0,1,0,0
Barretto R,Garneau JE,0,1,2,1
Barretto R,Sabatini DM,0,0,0,0
Barretto R,Sorek R,0,0,3,0
