ELEMENT,PT FOOT-NOTE,COORD1,COORD2,COORD3
357,3,-11.05,28.94,0.7977
357,4,-11.05,28.94,0.2138
357,5,-13.94,26.06,0.7947
357,6,-13.94,26.06,0.213
357,7,-11.05,26.05,0.7983
357,8,-11.05,26.06,0.214
358,1,-8.934,28.94,2.829
358,2,-8.932,28.94,2.244
358,3,-6.046,28.93,2.843
358,4,-6.045,28.93,2.254
358,5,-8.933,26.05,2.832
358,6,-8.931,26.05,2.246
358,7,-6.046,26.04,2.846
358,8,-6.045,26.04,2.256
359,1,-8.932,28.94,1.815
359,2,-8.933,28.94,1.23
359,3,-6.046,28.93,1.823
359,4,-6.048,28.93,1.234
359,5,-8.931,26.05,1.817
359,6,-8.933,26.05,1.231
359,7,-6.046,26.04,1.824
359,8,-6.048,26.05,1.235
360,1,-8.936,28.94,0.8006
360,2,-8.941,28.94,0.2145
360,3,-6.05,28.94,0.8032
360,4,-6.055,28.94,0.2151
360,5,-8.935,26.05,0.8012
360,6,-8.941,26.06,0.2147
360,7,-6.05,26.05,0.8038
360,8,-6.055,26.05,0.2152
361,1,-3.936,28.93,2.848
361,2,-3.937,28.93,2.258
361,3,-1.055,28.93,2.847
361,4,-1.055,28.93,2.257
361,5,-3.935,26.04,2.85
361,6,-3.936,26.04,2.26
361,7,-1.054,26.04,2.85
361,8,-1.055,26.04,2.259
362,1,-3.937,28.93,1.826
362,2,-3.938,28.93,1.236
362,3,-1.055,28.93,1.825
362,4,-1.056,28.93,1.235
362,5,-3.936,26.04,1.827
362,6,-3.938,26.05,1.237
362,7,-1.055,26.04,1.827
362,8,-1.055,26.05,1.237
363,1,-3.94,28.94,0.8042
363,2,-3.942,28.94,0.2153
363,3,-1.056,28.93,0.8041
363,4,-1.056,28.94,0.2153
363,5,-3.939,26.05,0.8047
363,6,-3.942,26.05,0.2154
363,7,-1.056,26.05,0.8048
363,8,-1.056,26.05,0.2155
364,1,1.055,28.93,2.847
364,2,1.055,28.93,2.257
364,3,3.936,28.93,2.848
364,4,3.937,28.93,2.258
364,5,1.054,26.04,2.85
364,6,1.055,26.04,2.259
364,7,3.935,26.04,2.85
364,8,3.936,26.04,2.26
365,1,1.055,28.93,1.825
365,2,1.056,28.93,1.235
365,3,3.937,28.93,1.826
365,4,3.938,28.93,1.236
365,5,1.055,26.04,1.827
365,6,1.055,26.05,1.237
365,7,3.936,26.04,1.827
365,8,3.938,26.05,1.237
366,1,1.056,28.93,0.8041
366,2,1.056,28.94,0.2153
366,3,3.94,28.94,0.8042
366,4,3.942,28.94,0.2153
366,5,1.056,26.05,0.8048
366,6,1.056,26.05,0.2155
366,7,3.939,26.05,0.8047
366,8,3.942,26.05,0.2154
367,1,6.046,28.93,2.843
367,2,6.045,28.93,2.254
367,3,8.934,28.94,2.829
367,4,8.932,28.94,2.244
367,5,6.046,26.04,2.846
367,6,6.045,26.04,2.256
367,7,8.933,26.05,2.832
367,8,8.931,26.05,2.246
368,1,6.046,28.93,1.823
368,2,6.048,28.93,1.234
368,3,8.932,28.94,1.815
368,4,8.933,28.94,1.23
368,5,6.046,26.04,1.824
368,6,6.048,26.05,1.235
368,7,8.931,26.05,1.817
368,8,8.933,26.05,1.231
369,1,6.05,28.94,0.8032
369,2,6.055,28.94,0.2151
369,3,8.936,28.94,0.8006
369,4,8.941,28.94,0.2145
369,5,6.05,26.05,0.8038
369,6,6.055,26.05,0.2152
369,7,8.935,26.05,0.8012
369,8,8.941,26.06,0.2147
370,1,11.05,28.94,2.819
370,2,11.05,28.94,2.235
370,3,13.94,28.94,2.807
370,4,13.94,28.94,2.226
370,5,11.05,26.05,2.82
370,6,11.05,26.05,2.237
370,7,13.94,26.06,2.808
370,8,13.94,26.06,2.227
371,1,11.05,28.94,1.808
371,2,11.05,28.94,1.225
371,3,13.94,28.94,1.801
371,4,13.94,28.94,1.22
371,5,11.05,26.05,1.81
371,6,11.05,26.05,1.226
371,7,13.94,26.06,1.801
371,8,13.94,26.06,1.22
372,1,11.05,28.94,0.7977
372,2,11.05,28.94,0.2138
372,3,13.94,28.94,0.7942
372,4,13.94,28.94,0.2129
372,5,11.05,26.05,0.7983
372,6,11.05,26.06,0.214
372,7,13.94,26.06,0.7947
372,8,13.94,26.06,0.213
373,1,16.06,28.94,2.803
373,2,16.06,28.94,2.223
373,3,18.95,28.94,2.8
373,4,18.95,28.94,2.22
373,5,16.06,26.06,2.804
373,6,16.06,26.06,2.224
373,7,18.95,26.06,2.801
373,8,18.95,26.06,2.221
374,1,16.06,28.94,1.798
374,2,16.06,28.94,1.218
374,3,18.95,28.94,1.796
374,4,18.94,28.94,1.216
374,5,16.06,26.06,1.799
374,6,16.06,26.06,1.218
374,7,18.95,26.06,1.796
374,8,18.94,26.06,1.217
375,1,16.06,28.94,0.793
375,2,16.06,28.94,0.2125
375,3,18.94,28.94,0.7918
375,4,18.94,28.94,0.2122
375,5,16.06,26.06,0.7933
375,6,16.06,26.06,0.2126
375,7,18.94,26.06,0.7921
375,8,18.94,26.06,0.2122
376,1,21.06,28.94,2.798
376,2,21.06,28.94,2.218
376,3,23.95,28.94,2.795
376,4,23.95,28.94,2.217
376,5,21.06,26.06,2.798
376,6,21.06,26.06,2.219
376,7,23.95,26.06,2.796
376,8,23.95,26.06,2.217
377,1,21.06,28.94,1.794
377,2,21.06,28.94,1.215
377,3,23.95,28.94,1.793
377,4,23.94,28.94,1.214
377,5,21.06,26.06,1.795
377,6,21.06,26.06,1.216
377,7,23.95,26.06,1.793
377,8,23.94,26.06,1.214
378,1,21.06,28.94,0.7912
378,2,21.06,28.94,0.212
378,3,23.94,28.94,0.7905
378,4,23.94,28.94,0.2118
378,5,21.06,26.06,0.7914
378,6,21.06,26.06,0.212
378,7,23.94,26.06,0.7907
378,8,23.94,26.06,0.2119
379,1,26.06,28.94,2.794
379,2,26.06,28.94,2.216
379,3,28.95,28.94,2.793
379,4,28.94,28.94,2.215
379,5,26.06,26.06,2.795
379,6,26.06,26.06,2.216
379,7,28.95,26.06,2.793
379,8,28.94,26.06,2.215
380,1,26.06,28.94,1.792
380,2,26.06,28.94,1.214
380,3,28.94,28.94,1.791
380,4,28.94,28.94,1.213
380,5,26.06,26.06,1.792
380,6,26.06,26.06,1.214
380,7,28.94,26.06,1.792
380,8,28.94,26.06,1.213
381,1,26.06,28.94,0.7902
381,2,26.06,28.94,0.2117
381,3,28.94,28.94,0.7898
381,4,28.94,28.94,0.2116
381,5,26.06,26.06,0.7903
381,6,26.06,26.06,0.2118
381,7,28.94,26.06,0.7899
381,8,28.94,26.06,0.2117
382,1,31.06,28.94,2.792
382,2,31.06,28.94,2.214
382,3,33.94,28.94,2.791
382,4,33.94,28.94,2.213
382,5,31.06,26.06,2.792
382,6,31.06,26.06,2.214
382,7,33.94,26.06,2.791
382,8,33.94,26.06,2.213
383,1,31.06,28.94,1.791
383,2,31.06,28.94,1.213
383,3,33.94,28.94,1.79
383,4,33.94,28.94,1.212
383,5,31.06,26.06,1.791
383,6,31.06,26.06,1.213
383,7,33.94,26.06,1.79
383,8,33.94,26.06,1.212
384,1,31.06,28.94,0.7896
384,2,31.06,28.94,0.2116
384,3,33.94,28.94,0.7894
384,4,33.94,28.94,0.2115
384,5,31.06,26.06,0.7897
384,6,31.06,26.06,0.2116
384,7,33.94,26.06,0.7894
384,8,33.94,26.06,0.2115
385,1,36.06,28.94,2.791
385,2,36.06,28.94,2.213
385,3,38.94,28.94,2.79
385,4,38.94,28.94,2.212
385,5,36.06,26.06,2.791
385,6,36.06,26.06,2.213
385,7,38.94,26.06,2.79
385,8,38.94,26.06,2.212
386,1,36.06,28.94,1.79
386,2,36.06,28.94,1.212
386,3,38.94,28.94,1.789
386,4,38.94,28.94,1.212
386,5,36.06,26.06,1.79
386,6,36.06,26.06,1.212
386,7,38.94,26.06,1.789
386,8,38.94,26.06,1.212
387,1,36.06,28.94,0.7893
387,2,36.06,28.94,0.2115
387,3,38.94,28.94,0.789
387,4,38.94,28.94,0.2114
387,5,36.06,26.06,0.7893
387,6,36.06,26.06,0.2115
387,7,38.94,26.06,0.789
387,8,38.94,26.06,0.2114
406,1,-38.94,33.94,2.79
406,2,-38.94,33.94,2.212
406,3,-36.06,33.94,2.791
406,4,-36.06,33.94,2.213
406,5,-38.94,31.06,2.79
406,6,-38.94,31.06,2.212
406,7,-36.06,31.06,2.791
406,8,-36.06,31.06,2.213
407,1,-38.94,33.94,1.789
407,2,-38.94,33.94,1.212
407,3,-36.06,33.94,1.79
407,4,-36.06,33.94,1.212
407,5,-38.94,31.06,1.789
407,6,-38.94,31.06,1.212
407,7,-36.06,31.06,1.79
407,8,-36.06,31.06,1.212
408,1,-38.94,33.94,0.7889
408,2,-38.94,33.94,0.2114
408,3,-36.06,33.94,0.7892
408,4,-36.06,33.94,0.2114
408,5,-38.94,31.06,0.7889
408,6,-38.94,31.06,0.2114
408,7,-36.06,31.06,0.7892
408,8,-36.06,31.06,0.2115
409,1,-33.94,33.94,2.791
409,2,-33.94,33.94,2.213
409,3,-31.06,33.94,2.791
409,4,-31.06,33.94,2.213
409,5,-33.94,31.06,2.791
409,6,-33.94,31.06,2.213
409,7,-31.06,31.06,2.792
409,8,-31.06,31.06,2.214
410,1,-33.94,33.94,1.79
410,2,-33.94,33.94,1.212
410,3,-31.06,33.94,1.79
410,4,-31.06,33.94,1.212
410,5,-33.94,31.06,1.79
410,6,-33.94,31.06,1.212
410,7,-31.06,31.06,1.791
410,8,-31.06,31.06,1.213
411,1,-33.94,33.94,0.7892
411,2,-33.94,33.94,0.2115
411,3,-31.06,33.94,0.7894
411,4,-31.06,33.94,0.2115
411,5,-33.94,31.06,0.7893
411,6,-33.94,31.06,0.2115
411,7,-31.06,31.06,0.7895
411,8,-31.06,31.06,0.2115
412,1,-28.94,33.94,2.792
412,2,-28.94,33.94,2.214
412,3,-26.06,33.94,2.793
412,4,-26.06,33.94,2.215
412,5,-28.95,31.06,2.792
412,6,-28.94,31.06,2.214
412,7,-26.06,31.06,2.794
412,8,-26.06,31.06,2.215
413,1,-28.94,33.94,1.791
413,2,-28.94,33.94,1.213
413,3,-26.06,33.94,1.791
413,4,-26.06,33.94,1.213
413,5,-28.94,31.06,1.791
413,6,-28.94,31.06,1.213
413,7,-26.06,31.06,1.792
413,8,-26.06,31.06,1.213
414,1,-28.94,33.94,0.7896
414,2,-28.94,33.94,0.2116
414,3,-26.06,33.94,0.7899
414,4,-26.06,33.94,0.2116
414,5,-28.94,31.06,0.7897
414,6,-28.94,31.06,0.2116
414,7,-26.06,31.06,0.7901
414,8,-26.06,31.06,0.2117
415,1,-23.95,33.94,2.794
415,2,-23.95,33.94,2.216
415,3,-21.06,33.94,2.796
415,4,-21.06,33.94,2.217
415,5,-23.95,31.06,2.795
415,6,-23.95,31.06,2.216
415,7,-21.06,31.06,2.797
415,8,-21.06,31.06,2.218
416,1,-23.94,33.94,1.792
416,2,-23.94,33.94,1.214
416,3,-21.06,33.94,1.793
416,4,-21.06,33.94,1.214
416,5,-23.95,31.06,1.793
416,6,-23.94,31.06,1.214
416,7,-21.06,31.06,1.794
416,8,-21.06,31.06,1.215
417,1,-23.94,33.94,0.7902
417,2,-23.94,33.94,0.2117
417,3,-21.06,33.94,0.7907
417,4,-21.06,33.94,0.2119
417,5,-23.94,31.06,0.7904
417,6,-23.94,31.06,0.2118
417,7,-21.06,31.06,0.791
417,8,-21.06,31.06,0.2119
418,1,-18.95,33.95,2.798
418,2,-18.95,33.94,2.218
418,3,-16.06,33.95,2.8
418,4,-16.06,33.94,2.221
418,5,-18.95,31.06,2.799
418,6,-18.95,31.06,2.219
418,7,-16.06,31.06,2.802
418,8,-16.06,31.06,2.222
419,1,-18.95,33.94,1.794
419,2,-18.94,33.94,1.215
419,3,-16.06,33.94,1.796
419,4,-16.06,33.94,1.217
419,5,-18.95,31.06,1.795
419,6,-18.94,31.06,1.216
419,7,-16.06,31.06,1.797
419,8,-16.06,31.06,1.217
420,1,-18.94,33.94,0.7912
420,2,-18.94,33.94,0.212
420,3,-16.06,33.94,0.7921
420,4,-16.06,33.94,0.2122
420,5,-18.94,31.06,0.7916
420,6,-18.94,31.06,0.2121
420,7,-16.06,31.06,0.7926
420,8,-16.06,31.06,0.2124
421,1,-13.95,33.95,2.803
421,2,-13.95,33.94,2.223
421,3,-11.06,33.94,2.807
421,4,-11.06,33.94,2.226
421,5,-13.94,31.06,2.805
421,6,-13.94,31.06,2.225
421,7,-11.05,31.06,2.814
421,8,-11.05,31.05,2.232
422,1,-13.94,33.94,1.798
422,2,-13.94,33.94,1.218
422,3,-11.06,33.94,1.801
422,4,-11.06,33.94,1.22
422,5,-13.94,31.06,1.8
422,6,-13.94,31.06,1.219
422,7,-11.05,31.05,1.806
422,8,-11.05,31.05,1.223
423,1,-13.94,33.94,0.7929
423,2,-13.94,33.94,0.2125
423,3,-11.06,33.94,0.7946
423,4,-11.06,33.94,0.213
423,5,-13.94,31.06,0.7936
423,6,-13.94,31.06,0.2127
423,7,-11.05,31.05,0.7965
423,8,-11.06,31.06,0.2135
424,1,-8.94,33.94,2.813
424,2,-8.939,33.94,2.231
424,3,-6.051,33.94,2.83
424,4,-6.049,33.94,2.244
424,5,-8.936,31.05,2.824
424,6,-8.934,31.05,2.24
424,7,-6.048,31.05,2.839
424,8,-6.047,31.05,2.251
425,1,-8.938,33.94,1.805
425,2,-8.939,33.94,1.223
425,3,-6.049,33.94,1.815
425,4,-6.05,33.94,1.229
425,5,-8.934,31.05,1.812
425,6,-8.935,31.05,1.227
425,7,-6.047,31.05,1.82
425,8,-6.048,31.05,1.232
426,1,-8.94,33.94,0.7965
426,2,-8.942,33.94,0.2135
426,3,-6.051,33.94,0.8
426,4,-6.055,33.94,0.2143
426,5,-8.937,31.05,0.7991
426,6,-8.941,31.06,0.2142
426,7,-6.051,31.05,0.8022
426,8,-6.055,31.05,0.2148
427,1,-3.939,33.93,2.839
427,2,-3.938,33.93,2.251
427,3,-1.056,33.93,2.84
427,4,-1.056,33.93,2.252
427,5,-3.937,31.04,2.845
427,6,-3.937,31.04,2.256
427,7,-1.055,31.04,2.843
427,8,-1.055,31.04,2.254
428,1,-3.938,33.93,1.82
428,2,-3.939,33.93,1.232
428,3,-1.056,33.93,1.821
428,4,-1.056,33.93,1.233
428,5,-3.938,31.04,1.824
428,6,-3.939,31.05,1.235
428,7,-1.056,31.04,1.823
428,8,-1.056,31.05,1.234
429,1,-3.94,33.94,0.802
429,2,-3.942,33.94,0.2148
429,3,-1.056,33.94,0.8026
429,4,-1.056,33.94,0.215
429,5,-3.94,31.05,0.8034
429,6,-3.942,31.05,0.2151
429,7,-1.056,31.05,0.8033
429,8,-1.056,31.05,0.2152
430,1,1.056,33.93,2.84
430,2,1.056,33.93,2.252
430,3,3.939,33.93,2.839
430,4,3.938,33.93,2.251
430,5,1.055,31.04,2.843
430,6,1.055,31.04,2.254
430,7,3.937,31.04,2.845
430,8,3.937,31.04,2.256
431,1,1.056,33.93,1.821
431,2,1.056,33.93,1.233
431,3,3.938,33.93,1.82
431,4,3.939,33.93,1.232
431,5,1.056,31.04,1.823
431,6,1.056,31.05,1.234
431,7,3.938,31.04,1.824
431,8,3.939,31.05,1.235
432,1,1.056,33.94,0.8026
432,2,1.056,33.94,0.215
432,3,3.94,33.94,0.802
432,4,3.942,33.94,0.2148
432,5,1.056,31.05,0.8033
432,6,1.056,31.05,0.2152
432,7,3.94,31.05,0.8034
432,8,3.942,31.05,0.2151
433,1,6.051,33.94,2.83
433,2,6.049,33.94,2.244
433,3,8.94,33.94,2.813
433,4,8.939,33.94,2.231
433,5,6.048,31.05,2.839
433,6,6.047,31.05,2.251
433,7,8.936,31.05,2.824
433,8,8.934,31.05,2.24
434,1,6.049,33.94,1.815
434,2,6.05,33.94,1.229
434,3,8.938,33.94,1.805
434,4,8.939,33.94,1.223
434,5,6.047,31.05,1.82
434,6,6.048,31.05,1.232
434,7,8.934,31.05,1.812
434,8,8.935,31.05,1.227
435,1,6.051,33.94,0.8
435,2,6.055,33.94,0.2143
435,3,8.94,33.94,0.7965
435,4,8.942,33.94,0.2135
435,5,6.051,31.05,0.8022
435,6,6.055,31.05,0.2148
435,7,8.937,31.05,0.7991
435,8,8.941,31.06,0.2142
436,1,11.06,33.94,2.807
436,2,11.06,33.94,2.226
436,3,13.95,33.95,2.803
436,4,13.95,33.94,2.223
436,5,11.05,31.06,2.814
436,6,11.05,31.05,2.232
436,7,13.94,31.06,2.805
436,8,13.94,31.06,2.225
437,1,11.06,33.94,1.801
437,2,11.06,33.94,1.22
437,3,13.94,33.94,1.798
437,4,13.94,33.94,1.218
437,5,11.05,31.05,1.806
437,6,11.05,31.05,1.223
437,7,13.94,31.06,1.8
437,8,13.94,31.06,1.219
438,1,11.06,33.94,0.7946
438,2,11.06,33.94,0.213
438,3,13.94,33.94,0.7929
438,4,13.94,33.94,0.2125
438,5,11.05,31.05,0.7965
438,6,11.06,31.06,0.2135
438,7,13.94,31.06,0.7936
438,8,13.94,31.06,0.2127
439,1,16.06,33.95,2.8
439,2,16.06,33.94,2.221
439,3,18.95,33.95,2.798
439,4,18.95,33.94,2.218
439,5,16.06,31.06,2.802
439,6,16.06,31.06,2.222
439,7,18.95,31.06,2.799
439,8,18.95,31.06,2.219
440,1,16.06,33.94,1.796
440,2,16.06,33.94,1.217
440,3,18.95,33.94,1.794
440,4,18.94,33.94,1.215
440,5,16.06,31.06,1.797
440,6,16.06,31.06,1.217
440,7,18.95,31.06,1.795
440,8,18.94,31.06,1.216
441,1,16.06,33.94,0.7921
441,2,16.06,33.94,0.2122
441,3,18.94,33.94,0.7912
441,4,18.94,33.94,0.212
441,5,16.06,31.06,0.7926
441,6,16.06,31.06,0.2124
441,7,18.94,31.06,0.7916
441,8,18.94,31.06,0.2121
442,1,21.06,33.94,2.796
442,2,21.06,33.94,2.217
442,3,23.95,33.94,2.794
442,4,23.95,33.94,2.216
442,5,21.06,31.06,2.797
442,6,21.06,31.06,2.218
442,7,23.95,31.06,2.795
442,8,23.95,31.06,2.216
443,1,21.06,33.94,1.793
443,2,21.06,33.94,1.214
443,3,23.94,33.94,1.792
443,4,23.94,33.94,1.214
443,5,21.06,31.06,1.794
443,6,21.06,31.06,1.215
443,7,23.95,31.06,1.793
443,8,23.94,31.06,1.214
444,1,21.06,33.94,0.7907
444,2,21.06,33.94,0.2119
444,3,23.94,33.94,0.7902
444,4,23.94,33.94,0.2117
444,5,21.06,31.06,0.791
444,6,21.06,31.06,0.2119
444,7,23.94,31.06,0.7904
444,8,23.94,31.06,0.2118
445,1,26.06,33.94,2.793
445,2,26.06,33.94,2.215
445,3,28.94,33.94,2.792
445,4,28.94,33.94,2.214
445,5,26.06,31.06,2.794
445,6,26.06,31.06,2.215
445,7,28.95,31.06,2.792
445,8,28.94,31.06,2.214
446,1,26.06,33.94,1.791
446,2,26.06,33.94,1.213
446,3,28.94,33.94,1.791
446,4,28.94,33.94,1.213
446,5,26.06,31.06,1.792
446,6,26.06,31.06,1.213
446,7,28.94,31.06,1.791
446,8,28.94,31.06,1.213
447,1,26.06,33.94,0.7899
447,2,26.06,33.94,0.2116
447,3,28.94,33.94,0.7896
447,4,28.94,33.94,0.2116
447,5,26.06,31.06,0.7901
447,6,26.06,31.06,0.2117
447,7,28.94,31.06,0.7897
447,8,28.94,31.06,0.2116
448,1,31.06,33.94,2.791
448,2,31.06,33.94,2.213
448,3,33.94,33.94,2.791
448,4,33.94,33.94,2.213
448,5,31.06,31.06,2.792
448,6,31.06,31.06,2.214
448,7,33.94,31.06,2.791
448,8,33.94,31.06,2.213
449,1,31.06,33.94,1.79
449,2,31.06,33.94,1.212
449,3,33.94,33.94,1.79
449,4,33.94,33.94,1.212
449,5,31.06,31.06,1.791
449,6,31.06,31.06,1.213
449,7,33.94,31.06,1.79
449,8,33.94,31.06,1.212
450,1,31.06,33.94,0.7894
450,2,31.06,33.94,0.2115
450,3,33.94,33.94,0.7892
450,4,33.94,33.94,0.2115
450,5,31.06,31.06,0.7895
450,6,31.06,31.06,0.2115
450,7,33.94,31.06,0.7893
450,8,33.94,31.06,0.2115
451,1,36.06,33.94,2.791
451,2,36.06,33.94,2.213
451,3,38.94,33.94,2.79
451,4,38.94,33.94,2.212
451,5,36.06,31.06,2.791
451,6,36.06,31.06,2.213
451,7,38.94,31.06,2.79
451,8,38.94,31.06,2.212
452,1,36.06,33.94,1.79
452,2,36.06,33.94,1.212
452,3,38.94,33.94,1.789
452,4,38.94,33.94,1.212
452,5,36.06,31.06,1.79
452,6,36.06,31.06,1.212
452,7,38.94,31.06,1.789
452,8,38.94,31.06,1.212
453,1,36.06,33.94,0.7892
453,2,36.06,33.94,0.2114
453,3,38.94,33.94,0.7889
453,4,38.94,33.94,0.2114
453,5,36.06,31.06,0.7892
453,6,36.06,31.06,0.2115
453,7,38.94,31.06,0.7889
453,8,38.94,31.06,0.2114
472,1,-38.94,38.94,2.789
472,2,-38.94,38.94,2.212
472,3,-36.06,38.94,2.79
472,4,-36.06,38.94,2.212
472,5,-38.94,36.06,2.79
472,6,-38.94,36.06,2.212
472,7,-36.06,36.06,2.79
472,8,-36.06,36.06,2.213
473,1,-38.94,38.94,1.789
473,2,-38.94,38.94,1.212
473,3,-36.06,38.94,1.79
473,4,-36.06,38.94,1.212
473,5,-38.94,36.06,1.789
473,6,-38.94,36.06,1.212
473,7,-36.06,36.06,1.79
473,8,-36.06,36.06,1.212
474,1,-38.94,38.94,0.7889
474,2,-38.94,38.94,0.2114
474,3,-36.06,38.94,0.7891
474,4,-36.06,38.94,0.2114
474,5,-38.94,36.06,0.7889
474,6,-38.94,36.06,0.2114
474,7,-36.06,36.06,0.7891
474,8,-36.06,36.06,0.2114
475,1,-33.94,38.94,2.79
475,2,-33.94,38.94,2.213
475,3,-31.06,38.94,2.791
475,4,-31.06,38.94,2.213
475,5,-33.94,36.06,2.791
475,6,-33.94,36.06,2.213
475,7,-31.06,36.06,2.791
475,8,-31.06,36.06,2.213
476,1,-33.94,38.94,1.79
476,2,-33.94,38.94,1.212
476,3,-31.06,38.94,1.79
476,4,-31.06,38.94,1.212
476,5,-33.94,36.06,1.79
476,6,-33.94,36.06,1.212
476,7,-31.06,36.06,1.79
476,8,-31.06,36.06,1.212
477,1,-33.94,38.94,0.7891
477,2,-33.94,38.94,0.2114
477,3,-31.06,38.94,0.7892
477,4,-31.06,38.94,0.2115
477,5,-33.94,36.06,0.7892
477,6,-33.94,36.06,0.2115
477,7,-31.06,36.06,0.7893
477,8,-31.06,36.06,0.2115
478,1,-28.94,38.94,2.791
478,2,-28.94,38.94,2.213
478,3,-26.06,38.94,2.792
478,4,-26.06,38.94,2.214
478,5,-28.94,36.06,2.792
478,6,-28.94,36.06,2.214
478,7,-26.06,36.06,2.793
478,8,-26.06,36.06,2.214
479,1,-28.94,38.94,1.79
479,2,-28.94,38.94,1.212
479,3,-26.06,38.94,1.791
479,4,-26.06,38.94,1.213
479,5,-28.94,36.06,1.791
479,6,-28.94,36.06,1.213
479,7,-26.06,36.06,1.791
479,8,-26.06,36.06,1.213
480,1,-28.94,38.94,0.7894
480,2,-28.94,38.94,0.2115
480,3,-26.06,38.94,0.7896
480,4,-26.06,38.94,0.2116
480,5,-28.94,36.06,0.7895
480,6,-28.94,36.06,0.2115
480,7,-26.06,36.06,0.7897
480,8,-26.06,36.06,0.2116
481,1,-23.95,38.94,2.793
481,2,-23.94,38.94,2.214
481,3,-21.06,38.94,2.794
481,4,-21.06,38.94,2.215
481,5,-23.95,36.06,2.793
481,6,-23.95,36.06,2.215
481,7,-21.06,36.06,2.795
481,8,-21.06,36.06,2.216
482,1,-23.94,38.94,1.791
482,2,-23.94,38.94,1.213
482,3,-21.06,38.94,1.792
482,4,-21.06,38.94,1.214
482,5,-23.94,36.06,1.792
482,6,-23.94,36.06,1.213
482,7,-21.06,36.06,1.793
482,8,-21.06,36.06,1.214
483,1,-23.94,38.94,0.7898
483,2,-23.94,38.94,0.2116
483,3,-21.06,38.94,0.7901
483,4,-21.06,38.94,0.2117
483,5,-23.94,36.06,0.79
483,6,-23.94,36.06,0.2117
483,7,-21.06,36.06,0.7904
483,8,-21.06,36.06,0.2118
484,1,-18.95,38.95,2.795
484,2,-18.95,38.95,2.216
484,3,-16.06,38.95,2.797
484,4,-16.06,38.95,2.218
484,5,-18.95,36.06,2.796
484,6,-18.95,36.06,2.217
484,7,-16.06,36.06,2.799
484,8,-16.06,36.06,2.219
485,1,-18.95,38.94,1.793
485,2,-18.94,38.94,1.214
485,3,-16.06,38.95,1.794
485,4,-16.06,38.94,1.215
485,5,-18.95,36.06,1.794
485,6,-18.94,36.06,1.215
485,7,-16.06,36.06,1.795
485,8,-16.06,36.06,1.216
486,1,-18.94,38.94,0.7904
486,2,-18.94,38.94,0.2118
486,3,-16.06,38.94,0.791
486,4,-16.06,38.94,0.2119
486,5,-18.94,36.06,0.7908
486,6,-18.94,36.06,0.2119
486,7,-16.06,36.06,0.7916
486,8,-16.06,36.06,0.2121
487,1,-13.95,38.95,2.799
487,2,-13.95,38.95,2.219
487,3,-11.06,38.95,2.801
487,4,-11.06,38.95,2.221
487,5,-13.95,36.06,2.801
487,6,-13.95,36.06,2.221
487,7,-11.06,36.06,2.804
487,8,-11.06,36.06,2.224
488,1,-13.95,38.95,1.795
488,2,-13.94,38.94,1.216
488,3,-11.06,38.95,1.797
488,4,-11.06,38.94,1.217
488,5,-13.95,36.06,1.797
488,6,-13.94,36.06,1.217
488,7,-11.06,36.06,1.799
488,8,-11.06,36.06,1.219
489,1,-13.94,38.94,0.7915
489,2,-13.94,38.94,0.2121
489,3,-11.06,38.94,0.7923
489,4,-11.06,38.94,0.2123
489,5,-13.94,36.06,0.7923
489,6,-13.94,36.06,0.2123
489,7,-11.06,36.06,0.7936
489,8,-11.06,36.06,0.2127
490,1,-8.945,38.95,2.803
490,2,-8.944,38.95,2.223
490,3,-6.058,38.94,2.806
490,4,-6.057,38.94,2.225
490,5,-8.943,36.06,2.808
490,6,-8.941,36.06,2.227
490,7,-6.054,36.05,2.82
490,8,-6.053,36.05,2.236
491,1,-8.944,38.94,1.798
491,2,-8.944,38.94,1.218
491,3,-6.057,38.94,1.8
491,4,-6.057,38.94,1.219
491,5,-8.941,36.06,1.801
491,6,-8.941,36.06,1.22
491,7,-6.052,36.05,1.808
491,8,-6.053,36.05,1.225
492,1,-8.944,38.94,0.7929
492,2,-8.943,38.94,0.2125
492,3,-6.056,38.94,0.7938
492,4,-6.057,38.94,0.2128
492,5,-8.942,36.06,0.7948
492,6,-8.943,36.06,0.213
492,7,-6.053,36.05,0.7973
492,8,-6.056,36.06,0.2137
493,1,-3.944,38.94,2.808
493,2,-3.944,38.94,2.227
493,3,-1.057,38.94,2.809
493,4,-1.057,38.94,2.227
493,5,-3.941,36.05,2.827
493,6,-3.941,36.05,2.241
493,7,-1.056,36.05,2.829
493,8,-1.056,36.05,2.243
494,1,-3.944,38.94,1.801
494,2,-3.943,38.94,1.22
494,3,-1.057,38.94,1.802
494,4,-1.057,38.94,1.221
494,5,-3.94,36.05,1.813
494,6,-3.941,36.05,1.227
494,7,-1.056,36.05,1.814
494,8,-1.056,36.05,1.229
495,1,-3.943,38.94,0.7946
495,2,-3.943,38.94,0.213
495,3,-1.057,38.94,0.7951
495,4,-1.057,38.94,0.2131
495,5,-3.941,36.05,0.7991
495,6,-3.943,36.05,0.2141
495,7,-1.056,36.05,0.7998
495,8,-1.056,36.05,0.2143
496,1,1.057,38.94,2.809
496,2,1.057,38.94,2.227
496,3,3.944,38.94,2.808
496,4,3.944,38.94,2.227
496,5,1.056,36.05,2.829
496,6,1.056,36.05,2.243
496,7,3.941,36.05,2.827
