ELEMENT,PT FOOT-NOTE,COORD1,COORD2,COORD3
30,1,-8.934,3.938,0.7955
30,2,-8.94,3.941,0.2133
30,3,-6.048,3.936,0.7965
30,4,-6.054,3.941,0.2134
30,5,-8.935,1.043,0.7941
30,6,-8.94,1.051,0.2132
30,7,-6.048,1.037,0.7952
30,8,-6.054,1.049,0.2135
31,1,-3.934,3.922,2.821
31,2,-3.934,3.925,2.237
31,3,-1.055,3.921,2.818
31,4,-1.055,3.924,2.235
31,5,-3.935,1.021,2.809
31,6,-3.936,1.025,2.228
31,7,-1.055,1.02,2.807
31,8,-1.055,1.024,2.226
32,1,-3.935,3.928,1.809
32,2,-3.937,3.932,1.225
32,3,-1.055,3.927,1.808
32,4,-1.056,3.932,1.224
32,5,-3.936,1.028,1.802
32,6,-3.937,1.032,1.221
32,7,-1.056,1.028,1.801
32,8,-1.056,1.032,1.22
33,1,-3.939,3.935,0.797
33,2,-3.942,3.941,0.2136
33,3,-1.056,3.935,0.7967
33,4,-1.056,3.94,0.2136
33,5,-3.938,1.035,0.7958
33,6,-3.942,1.048,0.2136
33,7,-1.056,1.035,0.7955
33,8,-1.056,1.048,0.2136
34,1,1.055,3.921,2.818
34,2,1.055,3.924,2.235
34,3,3.934,3.922,2.821
34,4,3.934,3.925,2.237
34,5,1.055,1.02,2.807
34,6,1.055,1.024,2.226
34,7,3.935,1.021,2.809
34,8,3.936,1.025,2.228
35,1,1.055,3.927,1.808
35,2,1.056,3.932,1.224
35,3,3.935,3.928,1.809
35,4,3.937,3.932,1.225
35,5,1.056,1.028,1.801
35,6,1.056,1.032,1.22
35,7,3.936,1.028,1.802
35,8,3.937,1.032,1.221
36,1,1.056,3.935,0.7967
36,2,1.056,3.94,0.2136
36,3,3.939,3.935,0.797
36,4,3.942,3.941,0.2136
36,5,1.056,1.035,0.7955
36,6,1.056,1.048,0.2136
36,7,3.938,1.035,0.7958
36,8,3.942,1.048,0.2136
37,1,6.04,3.926,2.817
37,2,6.04,3.928,2.234
37,3,8.928,3.932,2.808
37,4,8.927,3.933,2.228
37,5,6.043,1.027,2.807
37,6,6.043,1.03,2.226
37,7,8.931,1.037,2.801
37,8,8.931,1.039,2.221
38,1,6.041,3.93,1.807
38,2,6.045,3.934,1.223
38,3,8.928,3.934,1.803
38,4,8.931,3.936,1.221
38,5,6.044,1.032,1.801
38,6,6.046,1.035,1.22
38,7,8.932,1.04,1.797
38,8,8.933,1.042,1.218
39,1,6.048,3.936,0.7965
39,2,6.054,3.941,0.2134
39,3,8.934,3.938,0.7955
39,4,8.94,3.941,0.2133
39,5,6.048,1.037,0.7952
39,6,6.054,1.049,0.2135
39,7,8.935,1.043,0.7941
39,8,8.94,1.051,0.2132
40,1,11.05,3.935,2.804
