jobname,money,company_name,p_bot,industry,job_bt
视觉设计师-170523,15k-30k,美团点评,"15k-30k,经验3-5年,不限","移动互联网,O2O / D轮及以上","
职位描述：

工作职责：
1. 负责公司线上线下大型运营活动活动的视觉表现；
2. 有独立承担并执行项目的能力，进行高质量的运营产品类视觉设计；
3. 熟悉UED团队的整个设计流程，能够很好对接研发部并保证产品开发落完美视觉呈现
4. 关注用户反馈与沟通，知悉前沿视觉流行趋势，根据分析结果持续优化设计；
5. 参与分享设计经验，提高团队的设计能力
 
任职要求：
1. 美术、平面相关设计专业毕业。有广告公司、互联网公司工作经历。
2. 有3年以上大型运营专题设计经验，并有上线成功案例。
3. 有较好的沟通能力与理解能力，有极强的责任心与执行力，能承受一定工作压力；
4. 插图绘制能力突出者优先。

"
图像算法/数据挖掘/机器学习-P7/P8-高德,25k-50k,蚂蚁金服集团,"25k-50k,经验3-5年,本科","金融,移动互联网 / B轮","
职位描述：

商业数据-算法/NLP/机器学习/数据挖掘-多HC-P6/P7 

工作职责：方向一：算法高级工程师/架构师（HC3）
岗位描述：
1. 基于高德百PB级的地图行业数据，通过数据挖掘技术，建立多维度的地理属性画像，挖掘地理位置之间，人地之间的关系； 
2. 参与高德数据产品与应用的数据研发，发掘数据商业价值，为地图业务进行数据化赋能； 
3. 就具体业务问题，构建数据化解决方案，包括构建分析框架、进行专题分析，或对具体问题进行相关算法的设计与落地实现；
岗位需求：
1. 基于高德百PB级的地图行业数据，通过数据挖掘技术，建立多维度的地理属性画像，挖掘地理位置之间，人地之间的关系； 
2. 参与高德数据产品与应用的数据研发，发掘数据商业价值，为地图业务进行数据化赋能； 
3. 就具体业务问题，构建数据化解决方案，包括构建分析框架、进行专题分析，或对具体问题进行相关算法的设计与落地实现；

方向二：数据挖掘与分析高级工程师（HC1）
岗位描述：
1、负责阿里巴巴高德地图数据安全体系的搭建和策略设计，包括数据分析、规则模型的设计以及效果评估 
2、针对访问流量进行深度数据挖掘，提升数据安全的策略的准确性和识别率 
3、对高德行业数据进行挖掘学习，产出具有行业通用性的增值数据服务
岗位需求：
1、 精通数据挖掘、机器学习等基础方法与算法。 
2、 对常用的数据模型有深入的理解，能够对现实问题进行抽象并和模型匹配。 
3、 至少熟练掌握1-2种编程语言，具备良好的工程实现基础，能够对实现的算法和模型进行工程落地。 
4、 有良好的解决问题能力，具备创新突破精神，能独立领导跨部门复杂项目，或能同时主导多个项目并行及落地

方向三：数据挖掘技术专家（HC2）
岗位描述：
1. 用户画像：基于高德地图业务用户行为数据，通过大数据挖掘技术，建立多维度的用户属性画像和用户关系画像 
2. 数据挖掘：从海量日志数据中发掘有价值的信息，建立多个维度上的模型
岗位需求：
1. 本科及以上学历。计算机相关专业，并且在该方向上至少有2年以上工作经验 
2. 熟悉常用算法和数据结构，对数据挖掘、机器学习算法有较强的实现能力 
3. 具备linux环境研发能力，至少精通一门编程语言，熟悉shell/python/awk等 
4. 具备较强的数据敏感度和分析能力，能够针对业务提炼指标评估策略价值及发现关键问题 
具备以下条件者优先： 
1. 有Hadoop、Hive、Hbase、odps等海量数据研发经验优先 
2. 有用户行为、兴趣建模、画像等相关经验者优先

方向四：机器学习/数据挖掘/NLP资深工程师（HC2）
岗位描述：
1. 负责高德地图推荐系统的搭建和维护 
2. 负责大规模机器学习建模和优化推荐服务，选择合理的算法提升推荐效果 
3. 参与用户行为分析和挖掘，为算法和业务场景提供支持
岗位需求：
1、熟悉常用算法和数据结构，有很强的代码能力，至少熟悉python/c++/java中的一种 
2、理解机器学习基本算法的设计思想和求解手段，如SVM, LR, RF, Boosting等。有大规模机器学习系统研发经验或机器学习算法优化理论的研究经验者优先 
3、有广告系统、推荐系统等相关技术的研究或实践经验者优先

方向五：机器学习/数据挖掘/NLP算法研究员/架构师（HC2）
岗位描述：
1.通过CP的普通用户评论，提炼出具有代表性的用户印象或者评论标签，主要覆盖美食酒店休闲娱乐 
2.poi别名数据挖掘； 
3.query同义词数据挖掘； 
4.研究机器学习/自然语言理解/数据挖掘/计算广告学等领域的前沿理论并应用于业务、技术创新，构建业务理论体系，进行算法改进、架构优化和策略研发；
岗位需求：
1、硕士及以上学历。计算机专业机器学习、数据挖掘、自然语言处理方向；数学专业统计学、应用数学方向优先； 
2、熟悉机器学习、自然语言理解方向的一项或多项技术； 
3、理解机器学习基本算法的设计思想和求解手段，如SVM, LR, RF, Boosting等。有大规模机器学习系统研发经验或机器学习算法优化理论的研究经验者优先； 
4、熟悉NLP/NLU领域理论知识。有Ontology相关技术的研究或实践经验者优先； 
5、有商业系统、推荐系统等相关技术的研究或实践经验者优先； 
6、熟悉常用算法和数据结构，对机器学习算法有较强的实现能力，具备linux环境研发能力，至少精通一门编程语言。熟悉shell/python/awk/R/mapred等相关经验者优先； 
7、具备较强商业sense和数据分析能力，能够针对业务提炼指标评估策略价值及发现关键问题； 
8、具备良好的时间和流程意识，能够针对需求和目标给出合理的解决方案及排期； 
9、具备良好的学习能力和沟通交流能力，能够迅速熟悉业务、融入团队；
任职资格：P7


"
高级机器学习研发工程师,30k-50k,数美,"30k-50k,经验3-5年,本科","企业服务,数据服务 / B轮","
职位描述：

360、小米、百度等顶级互联网公司联合投资，顶级大数据公司
 

岗位职责：
1、基于数美海量数据进行数据建模与分析
2、对海量数据进行feature selection, combination等feature engineering工作 
3、针对海量用户行为数据，构建用户兴趣属性，金融属性画像，欺诈属性等多维度画像 
4、基于海量画像数据，构建金融风控，互联网反作弊，精准营销，垃圾内容等模型和服务

职位要求：
1、硕士及以上学历，机器学习或统计学习建模领域拥有实际工作经验；
2、良好的逻辑思维能力，能够从海量数据中发现有价值的规律，熟悉大规模数据挖掘、机器学习等基本算法；
3、编程基础扎实，熟悉算法数据结构，有超过2年以上C++或Python开发经验  
4、有金融模型、广告算法、推荐算法等相关领域研究或实践经验者优先；
5、 踏实勤奋，自我驱动  
 

公司福利待遇：
有竞争力的薪酬
期权奖励
五险一金+商业保险
午餐+晚餐补助
交通+通讯+电脑补贴
结婚+生育+丧葬+住院礼金
伯乐奖金
年假8天起+带薪病假
年度体检、零食畅享、团队建设、生日会、弹性办公

【关于数美】www.ishumei.com
     数美（全称北京数美时代科技有限公司）成立于2015年6月，是一家专业的大数据科技公司。数美依托先进的核心AI技术和海量的数据基础，致力于解决多场景欺诈问题，为客户提供专业、可信赖的服务。团队均来自百度、阿里、腾讯、360、小米等顶尖互联网公司，在大数据、人工智能、机器学习、金融风控等领域有着丰富的实践经验。目前，业务已覆盖金融、支付、直播、社交、电商、O2O等为代表的多个行业领域，其中包括中信银行、用钱宝、人人贷、51信用卡、360、小米、58同城、爱奇艺、熊猫直播、花椒、唱吧等知名企业，截止到2017年6月，服务客户突破1000家。作为大数据反欺诈专业品牌，数美将持续挖掘数据价值，为金融机构、互联网企业提供智能、创新的一站式反欺诈综合解决方案

…………………………………………………………………………
了解更多
数美公司介绍
https://www.ishumei.com/aboutUs/introduction.html 

数美团队介绍
https://www.ishumei.com/aboutUs/team.html 

数美产品介绍
https://www.ishumei.com/product/creditFengkong.html 

数美解决方案介绍
https://www.ishumei.com/solution/finance.html 


"
机器学习算法科学家,20k-40k,晶泰科技,"20k-40k,经验1-3年,硕士","企业服务,医疗健康 / B轮","
职位描述：

工作描述：
0. 针对药物及化学体系，创造性地设计有针对性的深度学习算法
1. 不断提高算法的表现
 
岗位要求：
0. 强大的自学能力 1. 化学、生物、物理、计算机等相关专业硕士以上学位
1. 熟悉Python、C/C++
2. 扎实的数理功底
3. 熟悉各种深度学习方法，并有相关的项目经验
4. 了解Hadoop, Spark等分布式数据存储和计算的框架，并有实际使用经验
 
加分项：
0. Github 开源项目经验
1. 个人技术博客

"
机器学习/数据挖掘工程师,20k-35k,百度,"20k-35k,经验1-3年,本科","移动互联网,数据服务 / 不需要融资","
职位描述：

【工作职责】
-负责百度凤巢的算法改进 
-基于大规模用户行为，以效果为目标，建立并优化推荐系统的基础算法和策略 
-应用机器学习等尖端技术，针对海量信息建模，挖掘潜在商业价值 
-负责在线广告投放系统的核心技术创新与优化 
-提高在线广告的相关度、用户体验、投放效果及变现能力
【任职资格】
-计算机或相关专业硕士以上学历 
-良好的逻辑思维能力，和数据敏感度，能能够从海量数据中发现有价值的规律 
-优秀的分析和解决问题的能力，对挑战性问题充满激情 
-良好的团队合作精神，较强的沟通能力 
-良好的技术领导能力，有能力开辟一个技术方向，带动和引导一个技术方向的规划、研发 
-熟悉C/C++语言编程，对数据结构和算法设计有较为深刻的理解 
具备以下能力之一： 
-熟悉大规模数据挖掘、机器学习、分布式计算等相关技术，并具备多年的实际工作经验 
-具备大规模推荐系统的研发经验(推荐算法设计和实现/推荐系统评估方法研究) 
-具备自然语言处理、信息过滤、主题提取、分类聚类、个性化用户建模、文本挖掘等相关领域知识 
-具备机器学习理论、算法的研究和实践经验 
-具备分布式相关项目研发经验（如分布式存储/分布式计算/高性能并行计算/分布式cache等） 
-具备搜索引擎、广告投放、反作弊相关技术的知识和经验

"
计算机视觉/图像处理工程师,15K-30K,创智臻视,"15K-30K,经验不限,硕士","信息安全,数据服务 / 天使轮","
职位描述：

职位描述：
1、主要负责对自动化解决方案中的视觉系统进行设计和开发。
2、负责视频/图像系统的GPU并行算法设计、实现及调试；
 
职位要求：
1、211、985院校本科及以上学历，计算机视觉，机器人技术，计算机图像处理，信号处理等相关专业，两年以上计算机视觉、图像处理等相关工作经验；
2、精通C/C++，具备丰富的计算机视觉、数字图像处理及模式识别算法开发或算法移植实践经验；
3、精通CUDA编程，算法的GPU移植实现能力强，有一定的算法设计能力；
4、有相关CV算法/DL算法的GPU解决方案设计经验者优先；

"
视觉设计,10k-20k,Max+&小黑盒,"10k-20k,经验1-3年,本科",游戏 / A轮,"
职位描述：

【有以下装备者欢迎投递】
---你需要参与---
1.公司网站的界面视觉设计，H5活动创意&页面设计；
2.公司品牌VI体系规范与设计；
3.市场推广活动设计（海报、宣传页、banner等）。

---我们对你的要求---
1.本科以上学历，美术、视觉传达、平面设计等相关专业毕业；
2.两年以上用户视觉界面设计、用户交互设计工作经验；
3.扎实的视觉设计表现力，热衷尝试不同的设计风格与视觉表现方式；
4.能够独立承担设计工作，抗压能力强，善于沟通以及良好的产品理解能力；
5.请附上相关作品或作品链接；
6.Dota、LOL、吃鸡等游戏玩家优先。

"
机器人控制系统开发,10k-20k,博雅工道,"10k-20k,经验3-5年,本科",硬件 / 未融资,"
职位描述：

机器人控制系统开发
职位描述：
1、从事消费类机器人控制系统开发；
2、控制算法实现
职位要求：
1、统招本科及以上学历，3年以上工作经验；
2、有机器人控制系统开发经验者优先；
3、熟练使用stm32等单片机；
4、消费电子产品开发经验优先；
5、具有较强的团队意识，工作认真细致；
6、良好的沟通能力。
 

"
机器学习工程师（工业互联网方向）,15k-25k,Gridsum 国双,"15k-25k,经验1-3年,硕士","数据服务,企业服务 / 上市公司","
职位描述：

岗位职责：
1.本岗位负责公司工业互联网平台中智能算法的研发。包括应用场景分析、数据分析、建模、算法部署等工作；
2. 利用先进的数据分析及机器学习技术，解决典型的行业挑战；从大数据角度分析行业需求，抽象形成机器学习问题并设计算法；基于大数据基础平台（如Spark/Hadoop)，实现机器学习模型的落地，为客户带来价值。

任职要求：
1.数学、物理、统计、计算机、自动化等理工类专业，硕士及以上学历
2.2年以上机器学习工作经验，熟悉数据挖掘/机器学习算法，有丰富的实践经验；
3.熟练使用python，SQL；
4.具有清晰的系统思维逻辑，对解决行业实际问题有浓厚兴趣；
5.良好的沟通和分析问题与解决问题能力。
优先条件：
1.发表学术论文，有项目经验者优先。

"
双目视觉研发工程师,15k-30k,奇点汽车,"15k-30k,经验不限,硕士","移动互联网,硬件 / C轮","
职位描述：

1. 对现有的各种双目立体视觉（尤其是双目匹配方面）算法熟练，了解算法原理、算法复杂度以及各种优化策略，了解arm编程2. 熟悉常用的图像处理算法3. 熟练GPU，LINUX编程，4. 熟练c/c++编程，熟练使用python、matlab、opencv等工具者优先

"
