jobname,money,company_name,p_bot,industry,job_bt
高级数据挖掘算法工程师,15k-30k,美团点评,"15k-30k,经验1-3年,本科","移动互联网,O2O / D轮及以上","
职位描述：

职位描述：
目前美团－点评的支付业务正处于上升期，支付平台部的团队规模正在不断扩大，急需各方优秀人才的加入。 本次招聘的是算法组，通过数据挖掘算法支撑和优化部门的产品和运营方案，提高资金的使用效率。算法组上线的项目已为部门节约了数亿元的资金，未来的业务范围还将不断扩展。 

职责： 
1.运用算法优化支付平台的产品和运营方案（比如预测用户价值、提升营销活动的ROI） 
2.进行支付平台的数据挖掘系统建设 
  
职位要求： 
1.拥有统计学、数据挖掘（机器学习）等领域的相关基础知识 
2.熟练掌握至少一种编程语言（最好是Java），并能够快速自学其他编程语言 
3.熟悉Linux系统，至少能掌握基本的Linux操作 
4.具备优秀的逻辑思维能力，善于分析问题、解决问题 
5.具备良好的沟通能力：理解他人的意图，让他人理解你的意图 
6.有一年以上的算法岗位的工作经验
  
加分项： 
1.思维敏捷，动手能力强；责任心强，荣誉感强；自我驱动，乐于学习与分享。 
2.熟悉Hadoop/Hive/Spark平台，有实际使用经验 
3.做过实际的数据挖掘/机器学习项目（如预测、排序类问题），清楚项目流程，产出有价值的结果 
4.精通机器学习的常用模型和算法，能够在大数据平台上进行开发实现，或者灵活使用、有效调参

"
高级数据挖掘工程师,15k-30k,人人网,"15k-30k,经验5-10年,本科","社交网络,金融 / 上市公司","
职位描述：

职责描述： 1、利用数据挖掘、机器学习相关算法，解决核心业务需求； 2、将算法应用到互联网海量数据中，解决公司核心机器学习问题，用户画像、个性化推荐等； 3、设计并提供机器学习服务，应用于线上产品功能； 4、调研新技术在产品和二手车方面的应用价值，以技术驱动产品。   任职要求： 1、扎实的编程基础。熟练使用java, python,scala任意一种编程语言； 2、熟悉常用机器学习算法，如逻辑回归、决策树、随机森林、GBDT等； 3、熟悉任意一种机器学习开发包，如：Spark ML,Scikit-Learn, Tensorflow； 4、有使用过Spark+Zeppelin进行数据挖掘经验优先； 5、了解Hadoop生态圈，如HDFS,YARN,HIVE等； 6、本科及以上学历，四年以上的数据挖掘/机器学习相关经验； 7、快速分析和解决问题的能力； 8、良好的团队工作和协作能力； 9、学习能力强，能够快速适应新的环境。
 

"
阿里影业-资深数据挖掘,20k-40k,阿里影业,"20k-40k,经验3-5年,本科","移动互联网,文化娱乐 / 上市公司","
职位描述：

职位描述
1. 应用机器学习、文本挖掘等技术，对海量数据进行挖掘，发现其潜在关系，指导业务发展；
2. 通过海量商业数据实施用户画像、身份识别、风险防控、智能客服、推荐引擎等项目；
3. 和业务部门密切配合寻求数据层面的商业价值并组织建设相应的数据标签；
4. 对海量数据进行挖掘，帮助运营进行决策，利用阿里巴巴其他BU数据整合数据资源，挖掘对业务有意义的结论
职位要求
1. 数学、统计、计算机等相关专业硕士及以上学历；
2. 三年以上海量数据下机器学和算法实施相关工作经验；
3. 对聚类、分类、矩阵计算原理其中之一理解透彻；
4. 熟练掌握SQL语言，熟悉Linux/Unix平台上的开发环境；
5. 熟悉分布式系统（Hadoop）和算法设计，以及增量算法实施经验；
6. 有电商行业、会员研究、风险防控等领域经验的优先考虑。

"
数据挖掘工程师,35k-70k,和远互联网,"35k-70k,经验3-5年,本科","移动互联网,电子商务 / 不需要融资","
职位描述：

工作职责：
1、利用数据挖掘、机器学习相关算法，解决核心业务需求； 
2、利用海量数据构建模型，对海量数据进行feature selection、combination等feature engineering工作；  
3、负责数据挖掘和机器学习常用模型和工具建设，应用于线上产品功能。
任职资格：
1、计算机、数学相关专业；
2、扎实的数据结构及算法功底，优秀的工程实现能力； 
3、编程基础扎实，熟悉算法数据结构，有C++/Python/Java等相关语言研究或底层开发经验； 
4、具备扎实的数据挖掘、机器学习基础，熟练掌握常用模型，比如分类、聚类、回归、图计算等机器学习算法； 
5、爱好数据掘，熟悉深度学习，有海量数据处理和并行计算开发经验者优先，如Hadoop、Storm、Spark； 
6、优秀的分析问题解决问题能力、学习能力、团队合作意识。

"
数据挖掘工程师,15k-30k,国美互联网,"15k-30k,经验1-3年,本科",电子商务 / 上市公司,"
职位描述：

岗位职责：
通过机器学习、统计分析等方法进行用户画像系统建设
支持各业务方对用户的个性化需求
根据具体需求，开发实现基本工具

要求：
计算机、数学等相关专业本科以上学历
熟悉常见的数据挖掘算法，应用场景以及工程实践
熟悉java开发语言，熟悉常用的算法和数据结构，较强的编程能力
熟悉linux系统，python等脚本语言
熟悉hadoop、spark计算平台
有数据挖掘、机器学习、自然语言处理、推荐、用户画像相关工作经验优先

"
数据挖掘实习生,3k-6k,精真估,"3k-6k,经验不限,硕士","移动互联网,广告营销 / C轮","
职位描述：

数据挖掘实习生
 
岗位职责：
1、基本的数据库操作，包括但不限于从数据库（HDFS／MongoDB等）中读取数据；
2、数据清洗、数据探索、相关性分析等；
3、数据预处理，包括但不限于特征工程等；
4、数据挖掘模型选择、训练、调参、上线等；
5、对模型进行评估，并持续改进。
 
任职资格：
1、数学、计算机专业，研究生在读；
2、了解机器学习常用算法，使用过python及机器学习库；
3、对数据敏感。

"
数据分析师/数据挖掘,15k-20k,北京国文互联,"15k-20k,经验1-3年,本科","教育,移动互联网 / 不需要融资","
职位描述：

岗位职责：
1，收集和挖掘各业务线的数据需求，针对不同业务场景，与业务协作提炼出核心指标和分析框架，并呈现、跟踪、分析；能通过常规数据分析方法发现业务数据存在的异常、趋势、特点、可优化点等，通过数据描绘出整个业务流程、用户行为和重点环节的转化，帮助业务方更深刻的理解、使用和运营数据；
2，主动深入业务，理解业务运作逻辑，能结合公司规划，推动发现新的业务优化点和增长点，并建立相应的数据支持体系；
3，能主动向业务方输入自己的观点，提升业务方使用数据的频率；对业务进行常规报表解读、数据可视化工具使用的培训；                                          

岗位要求：
1，本科及以上学历，2年以上数据分析工作经验，统计、数学、计算机相关专业优先 ；
2，良好的数据敏感度，了解大数据相关的基础知识，熟悉常见的数据分析和处理方法，有数据质量控制意识；熟练使用MYSQL和tableau；
3，主动性强，能深刻理解业务，对数据化运营有一定了解；
4，自我驱动，有owner意识，交付能力强；跨团队与部门的沟通能力强，有较强的团队协作意识和能力；
5，优秀的商业分析能力、敏锐的数据洞察力、结构化思维能力；
6，良好的职业道德，较强的沟通协调能力，勇于承担压力和责任。

"
数据挖掘／算法工程师,15k-30k,北京数介科技有限公司,"15k-30k,经验3-5年,本科",数据服务 / A轮,"
职位描述：

工作职责：
1.实现大数据平台上的核心算法；
2.对海量数据进行挖掘，对用户行为、业务行为、日志事件等多种类型数据进行分析、建模，指导制定各种策略，完成各类决策判断。

任职要求：
1.计算机、数学、统计或其他相关专业本科及以上学历；
2.具有统计建模、机器学习（聚类、分类、回归等）或数据挖掘应用的项目或研究经验；
3.具备优秀的逻辑思维能力，能够独立思考，善于分析问题与解决问题；
4.具有扎实的编程基础，至少能够掌握一种编程语言（Java／Scala）；熟悉Python者优先；
5.具有一定的分布式数据处理经验，熟悉Hadoop、Storm、Spark中的一种或几种；
6.能熟练使用至少一种统计分析工具（如SPSS、SAS、R、Matlab等）者优先。

"
数据挖掘,18k-30k,集奥聚合（GEO）,"18k-30k,经验3-5年,硕士",数据服务 / B轮,"
职位描述：

岗位职责
1. 了解客户需求，对数据分析产品进行总体架构设计。 
2. 根据需求对核心算法进行优化。
3. 对特定主题进行建模，解决实际问题。 
任职要求
1. 统计学、数学或计算机专业硕士及以上；3年以上数据挖掘工作经验。 
2. 对数据有敏锐的感觉，善于思考和发现；
3. 对机器学习、文本挖掘、自然语言识别、网络爬虫相关技术有深入的认识； 
4. 了解常用的数据分析工具，Hadoop、Hive、Storm及MySQL等分析实践经验；
5. 具有互联网广告行业经历优先；
6. 有电信运营商数据分析经验优先。


"
金融统计建模/数据挖掘,25k-50k,猎豹移动,"25k-50k,经验5-10年,硕士","移动互联网,信息安全 / 上市公司","
职位描述：

工作职责：
1) 使用大数据工具进行海量数据的分析，并保证数据获取和数据处理等各阶段的数据质量，包括数据收集、数据归一化、数据转换等；
2) 研究和选择适合的统计方法和计算机算法，使用统计学和数学建模的技术，建立高质量的模型，以解决商业问题；
3) 确保高质量的对数据和模型的校验和监控，并保证模型的部署和实施；
4) 管理好建模的项目，并能够与相关团队合作，提供高质量的数据分析；
5) 能够设计丰富的可视化方法，用于和公司领导层以及其他团队沟通复杂的技术问题。
任职资格：
1) 统计学、数学、计量经济学、计算机（数据挖掘方向）等专业硕士或以上学历；
2) 5年以上在大型数据上做数据清理、数据分析的研究或工业界经验；
3) 5年以上做预测性模型和数据挖掘的研究或工业界经验；
4) 具备良好的跨部门沟通技巧，2年以上的人员或项目管理经验；
5) 2年以上大型金融机构的工作经验；
6) 2年以上信用风险模型的工作经验；
7) 至少熟悉以下语言中的一种：Java, C, C++, Python；
8) 至少熟悉以下语言中的一种：SAS, R, SQL；
9) 至少熟悉以下分析方法中的三种：Decision Tree, Random Forest, Regression, Logistic Regression, Predictive Model, Survival Analysis, Neural Network, SVM。

"
