jobname,money,company_name,p_bot,industry,job_bt
无人车-计算机视觉算法研究员/高级专家,30k-60k,美团点评,"30k-60k,经验3-5年,本科","移动互联网,O2O / D轮及以上","
职位描述：

工作地点：北京
工作职责：
• 用视觉识别和理解复杂环境，为视觉主导的无人驾驶系统在感知和定位方提供强有力的支撑
职位要求：
• 有扎实的图像分析和模式识别理论基础，精通目标检测、跟踪、识别等常见的
计算机视觉处理任务
• 有扎实的数学基础，精通常见的几何、统计学等，并熟悉这些技术在图像识别领域中的应用
• 有很强的工程能力，精通 C++ 语言以及至少另一种常见编程语言
• 对计算机结构有深刻的认识，能够开发高性能、实时运行的图像处理软件
• 有发明创造的理想和热情，致力于创造解决实际问题的视觉感知技术
优先考虑：
• 熟悉visual SLAM 等在机器人定位和导航领域中常用的经典方法
• 熟悉stereo ， structured light， ToF 等三维成像原理和方法
• 熟悉高性能运算加速工具如 Neon 以及GPGPU 技术如 GLES， CUDA 和OpenCL 等
• 发表过CVPR/ECCV/ICCV/NIPS/ICML 等视觉和 AI 领域会议文章
• 熟悉图像识别领域的常见工具如 OpenCV 、PCL等

"
视觉技术部产品经理,20k-40k,百度,"20k-40k,经验1-3年,本科","移动互联网,数据服务 / 不需要融资","
职位描述：

工作职责：-负责百度视觉技术部产品建设，包括不限于嵌入式、视频和基础图像方向，参与重量级人工智能产品规划和开发-具体跟进产品工程化上线进展，梳理用户需求，承担运营衔接工作，对产品进行持续的优化和迭代-具体跟进行业内竞品分析，掌握行业发展趋势，良好的把控产品发展轨迹职责要求:-本科及以上学历，两年产品工作经验，优秀者可放宽-逻辑思维清晰，积极主动解决问题，工作认真负责-具有良好需求分析能力，业务理解和洞察能力，规划和项目监控能力-组织过产品立项、规划设计、迭代研发、落地应用及运营改进的整个过程

"
算法工程师—机器学习方向,15k-30k,百融金服,"15k-30k,经验不限,本科","金融,数据服务 / B轮","
职位描述：

岗位职责：
    1、负责金融场景反欺诈规则衍生和验证
    2、负责反欺诈关系图谱特征挖掘和实现
    3、负责前沿算法研究，并尝试应用到金融场景

岗位要求：
    1、熟悉java/c++/python至少一种语言
    2、熟悉常见数据挖掘算法，并有具体应用、调优经验
    3、数据敏感，逻辑严谨

"
视觉设计师,8k-12k,极客邦科技,"8k-12k,经验1-3年,本科",企业服务 / A轮,"
职位描述：

岗位职责：
1、设计大会活动线上宣传Banner图案及大会视觉及物料图样；
2、负责每月会刊封面设计工作，把控大会视觉整体风格，提高品牌形象；
3、设计常规宣传物料，极客邦品牌VI、品牌画册等；
4、设计商务项目宣传Banner图案，支持业务部门设计工作。

任职资格：
1、三年工作经历，大学本科以上学历，平面设计、视觉传达等相关设计专业；
2、具备独立完成设计品的能力，了解设计理论；
3、熟练使用相关设计软件；
4、良好的沟通协调能力，具备抗压和主动解决问题的能力。

"
卢米埃-市场部资深视觉设计师,10k-15k,爱奇艺,"10k-15k,经验5-10年,本科","广告营销,文化娱乐 / D轮及以上","
职位描述：

工作职责：1. 负责各类线上及线下的市场项目的平面创意与设计执行工作，负责设计各类宣传物料；2. 负责公司网站、微博、微信，新媒体整体视觉设计。 3. 熟悉品牌设计相关工作，对logo、VI规范、图形设计、字体设计、版式设计具有优秀的视觉表现力；4. 实时把握设计的流行趋势，根据需求提出崭新的创意策略。任职要求：1. 美术、设计等相关专业本科以上学历，五年以上视觉设计工作经验；2. 精通photoshop、illustrator、flash等常用设计工具； 3. 具备良好的审美能力，具有较好的创作型思维和逻辑思维；4. 有独立项目执行能力，有大型运营专题活动项目经验，理解沟通能力强；5. 面试时请带独立完成的品牌设计相关作品。

"
计算机视觉算法工程师,15k-30k,深思考人工智能机器人,"15k-30k,经验不限,硕士","移动互联网,企业服务 / 天使轮","
职位描述：

岗位职责:
负责计算机视觉、深度学习相关的产品研发；
负责计算机视觉算法的技术难点攻关、性能优化等。
任职要求:
1、本科以上学历，计算机、图像处理、医学图像处理、信号处理相关专业；
2、具备优秀的C/C++算法设计与程序开发能力；
3、对计算机视觉、深度学习、最优化方法等有较深入研究，熟悉各种物体检测、跟踪与识别的基本算法或基于医学影像的辅助诊断（computer aided diagnosis in medical imaging）、细胞分割等；
4、积极思考与钻研，能够主动分析问题解决问题；
5、具备强烈的责任心和良好的沟通能力。

"
机器学习/大数据开发/高性能并发服务端工程师,20k-40k,小米,"20k-40k,经验不限,本科",移动互联网 / D轮及以上,"
职位描述：

工作职责：

1.负责分布式机器学习平台的架构设计与搭建
2.负责机器学习应用问题（如推荐系统等）的基础服务的开发与优化
3.负责设计与开发机器学习场景下高效稳定的大数据并行处理算法
4.负责设计、开发、优化机器学习场景下的工作流引擎、通用数据处理框架和通用计算组件

任职要求：

1.计算机相关专业，本科及以上学历；
2.2+年的大数据系统或分布式系统研发经验；
3.扎实的算法和数据结构功底，熟练掌握Java、Scala、C++中至少一门编程语言；
4.掌握分布式系统原理，掌握Hadoop相关技术，熟悉主流框架（如MapReduce,Spark），并有2年+的Hadoop开发经验；
5.熟悉以下一个或者多个领域的常见算法：机器学习，深度学习，数据挖掘，自然语言处理，图像处理，模式识别，机器视觉，语音识别
6.具备一定的系统设计能力，主持或参与设计过大数据业务系统架构，并成功发布/上线；
7.良好的沟通和团队协作能力；

"
机器学习平台开发工程师,25k-50k,人人车,"25k-50k,经验3-5年,本科",O2O / D轮及以上,"
职位描述：

工作职责：1. 开发实时、近线算法工程服务2. 完善机器学习平台，通用特征服务，支持算法快速迭代任职资格：1.2年以上的大数据系统或者后端开发经验，或者相关项目经验；2. 精通java语言，熟悉scala，go，python者优先 ；3. 熟悉Hadoop/Spark/Hive/Hbase原理；4. 对机器学习有基本的理解，熟悉常见的机器学习算法

"
机器学习科学家,40k-60k,熊猫直播,"40k-60k,经验3-5年,硕士","移动互联网,文化娱乐 / 未融资","
职位描述：

岗位职责:
1、数据整合应用，对直播业务内多场景多维度的数据，做整合设计与应用，以画像、评分、算法的方式反馈至各场景的业务优化与提升；
2、业务理解、数据处理、特征提取、机器学习、评估反馈等各环节涉及的基础工作；
3、推荐算法优化，直播、圈子等不同内涵产品形态的个性化推荐及组合推荐，包括统计规则、协同过滤、ctr预估等多种方式；
4、用户行为日志的深入挖掘，及其在风控、推荐方面的应用，包括不限于信用评级、欺诈识别、推荐算法等；
5、IDmapping逻辑优化，以及以此为基础的和各大公司展开联合建模项目开展。

任职资格:
1、 信息技术、统计、数学、计算机等相关方向的硕士或更高学历；
2、 熟悉常用的数据挖掘算法与基本原理，并有一定的算法实现和优化能力；
3、 乐于处理错综纷杂的数据细节，并有文档化与代码注释的习惯；
4、 扎实的编程能力，C++, Java, Scala, Python, R 等至少掌握一种； 
5、 2年+机器学习方向的研究或工作经验；
6、 熟悉深度学习相关算法，在图片、语音、文本、日志等至少一个方面做过研究与应用，有TensorFlow, Keras等开发经验；
7、 有大数据平台的建模与开发经验优先，熟悉Spark/Hadoop等平台的应用；
8、 较好的沟通表达能力，较好的团队合作意识，较好的英文读写能力。

"
高级视觉算法工程师,35k-50k,图森未来,"35k-50k,经验不限,本科",移动互联网 / C轮,"
职位描述：


工作职责
独立负责一个方向算法的研发，将前沿技术改进和定制，落地到公司实际的产品中，包括但不限于物体检测，场景分割，目标追踪等。

岗位要求：
1. 在计算机视觉/深度学习/机器感知三者之中至少熟悉一项基本知识，有处理真实大规模数据经验（课程作业除外）
2. 熟悉python, c++
3.有计算机视觉或机器学习相关研究经验，有高水平论文发表
4.优秀的学习和问题分析能力，可以独立解决新问题
5. 优秀的交流沟通能力

加分项
1. 参加过ACM/ICPC等编程竞赛者取得优异成绩
2. 参加kaggle比赛获得前十名者

公司介绍：
    图森是一家由深度学习驱动，以计算机视觉为核心，专注于智能自动驾驶货运卡车解决方案的人工智能企业，公司成立于2015年，致力于打造高速场景下的L4级别（SAE）自动驾驶卡车。总部位于北京，在中美多地设有研发中心，2017年11月，完成由英伟达参与的C轮5500万美元融资。

    图森曾在全球自动驾驶算法评测数据集KITTI和Cityscapes上刷新10项世界纪录，并在美国加州获得路测牌照，成为全球为数不多可在加州公共道路路测的无人驾驶企业之一。图森未来L4级无人驾驶卡车累计目前已完成超过一万公里真实环境路测里程，并完成数百万公里的仿真环境测试。目前已与陕汽、一汽等国内重汽车厂商达成深度合作。

团队介绍：
    图森在北京和圣地亚哥均设有研究院，有一支百人以上规模的研发团队，核心技术团队以TIMES TOP200名校硕博为主，汇集了来自加州理工学院、香港科技大学、卡内基梅隆大学、南洋理工大学、早稻田大学、清华大学、北京大学等世界顶尖名校人才以及来自丰田、通用等公司的产业界精英，覆盖了自动驾驶全研发链条。
    其中CTO是计算机视觉领域全球华人博士中单篇学术文章被引用最多的作者。大三发表在CVPR的论文Saliency detection: A spectral residual approach获引2000多次，是近10年来在视觉注意机制领域最有影响力的研究。
     首席科学家是2014 Google PhD Fellow计划入选者。是MXNet核心开发者，paper发遍machine learning和computer vision五大顶会。多次在国际数据挖掘和计算机视觉比赛中名列前茅，同时也是将深度学习应用于目标追踪领域全球第一人。

薪酬福利：
我们提供具有竞争力的薪酬福利、灵活多样的职业发展通道、积极求是的科研氛围等。
长期激励：股票期权
出国机会：不定期赴美国研究院技术交流及工作机会
论文发表：可帮助将项目中相关研究发表成论文
餐饮福利：一日三餐、不限量免费零食水果
年终奖金：0-3个月
保险保障：五险一金
假期福利：带薪年休假、周末双休
员工活动：周年庆活动、年会、节日庆典、团建活动、团队旅游等
节日礼品：精美节日礼包

"
