company,bt
360,描述 负责 高精度 网络 定位 算法 研究 及 服务 开发 从 多个 角度 对 海量 用户 轨迹 行为 进行 建模 预测 构建 基于 LBS 用户 画像 轨迹 建模 等 并 产品 中 落地 优化 LBS 数据仓库 改进 数据 训练 模型 提升 数据 ETL 效率 研究 前沿 机器学习 算法 并 将 研究成果 应用 于 业务 之中   计算机 数学 统计 GIS 等 相关 专业本科 及 以上学历 硕士 优先 扎实 计算机 基础 良好 编码 风格 良好 逻辑思维 能力 擅长 算法 模型 熟悉 常见 数据挖掘 机器学习 算法 并 具有 实际 业务 经验 熟悉 Linux 开发 环境 熟悉 cc 至少 熟悉 python shell R 等 中 一门 脚本语言 熟悉 hadoop MapReduce spark 更佳 了解 LBSGIS 熟悉 位置 轨迹 挖掘 优先 正直 积极 品质 学习 能力 强 并且 善于 沟通 合作
车来了,岗位职责     1   负责 车来 了 核心 业务 — — 实时 公交 算法 调研 开发 工作       2   海量 交通 数据 基于 车来 了 内部 及 合作方 交通 数据 具有 数据量 大 种类 丰富 时效性 高 质量 高 特点     3 业务 难度 高 互联网 交通 工程 融合 解决 交通 领域 顶尖 难题 为 千万 用户服务     4 开放性 算法 问题 多种 解决方案 技术 成长 空间 大     -   岗位     1   计算机 数学 相关 专业本科 及 以上学历     2   熟悉 数据分析 数据挖掘 并且 具备 实际 应用 经验     3   扎实 编程 功底 对 算法 有 较 强 实现 能力 对 代码 品质 有 追求 至少 精通 C 或者 Java 语言 熟悉 python     4 善于 思考 表达 自己 想法 具备 良好 团队 合作 精神     5   有 很 强 学习 能力 动手 能力 优秀 分析 问题 解决问题 能力 对 解决 有 挑战 问题 充满 激情  
清研讯科,  高精度 定位 算法 关键问题 研究 方案设计 算法 模块 开发         2 典型 场景 下 UWB 高精度 定位 算法 方案设计 实现         3   融合 定位 算法 研究 实现         4   其他 创新性 系统 算法 研发         2 年 以上 定位 算法 UWBWIFI 蓝牙 设计 开发 经验   统招 本科 以上学历 惯性导航 自动化 电子 计算机 等 相关 专业         2 熟悉 各种 滤波 算法 常用 无线 定位 算法 及 融合 定位 算法 UWB IMU WIFI IMU GPS IMU 及 基本 机器学习 算法         3 较强 数学 功底 及 建模 能力 思维 严谨 表达清晰 追求 卓越         4 编程能力 良好 熟练掌握 数据结构 精通 C 编程 熟悉 Python 编程         5 工作 踏实 追求 极致 富有 热情           具备 以下 条件 优先 : 具有 融合 定位 UWB PDR WiFi ＋ PDR GPS ＋ PDR 等 算法 MEMS 传感器 融合 算法 行人 航迹 推算 PDR 算法 传感器 辅助 定位 以及 导航 设计 开发 经验                  
海知智能,1     负责 机器学习 算法 自然语言处理 金融 数据挖掘 金融 系统优化 金融 量化 分析 等 某 一个 领域 研发 应用 2     深入分析 现有 算法 了解 业务 需求 给出 有效 优化 解决方案 3     对 业界 机器学习 算法 应用 有 广泛 了解 并且 能够 跟踪 最新进展 4     制定 有效 项目 进度 管理机制 按照 项目 上线 时间表 推进 项目 研发 工作 资格 1     统计 计算机 数学 物理 金融 工程 等 专业本科 以上学历 大 数据 领域 有 相关 工作 经验 2     机器学习 深度 学习 以及 搜索 广告 推荐 计算机视觉 语音识别 机器翻译 QA Chatbot NLP 关系 网络 挖掘 金融 量化 分析 等 某 一 领域 有 2 年 以上 研发 经验 3     熟练掌握 SQL R Python 以及 相关 进行 分析 工具 或 Hadoop Spark CosmosODPS 等 大 数据 分布式 平台 熟悉 分布式 机器学习 框架 比如 Spark   MLLib   MPI   Parameter   Server   流行 深度 学习 开源 工具 比如 Caffe Theano   Torch   TensorFlow   MXNet   CNTK   等 Coding 能力 较强 有 C Java 语言 编程 经验 优先 能够 解决 中级 以上 LEETCODE 问题 4     良好 沟通 能力 团队 合作 精神 有 一定 组织协调 能力 较 好 抗压 能力 5     对 数据 敏感 分析 数据 抽象 问题 对于 把 大 数据 人工智能 分析 结果 能够 应用 到 实际 业务 场景 产生 商业价值 具有 强烈 热情 几个 重要 问题 1       公司 会 非常重视 这个 作为 公司 所有 产品 平稳 落地 技术 业务 测试 支撑 未来 走 技术 专家 还是 管理 路线 公司 都 会 支持 提供 你 想要 舞台 2     哪 类人 特别 适合 对 人工智能 机器人 方向 有 强烈 兴趣 能够 适应 创业 苦 累 有 责任心 有 较 强 学习 能力 并 付诸 实际行动 3     哪 类人 特别 不 适合 只是 想 找 一个 码农 工作 没有 明确 工作 目标 惧怕 挑战 4     需要 应聘者 做 什么 准备 做个 有心人 不要 没有 任何 准备 就 来 面试 了 企业 价值观 GROWTH   MODEL   Goal   结果 导向 不 讲 苦劳 讲 功劳 不 论资排辈   Respect 尊重 以及 值得尊敬 Open 开放 心态 一切 皆 有 可能   Win - win 双赢 以及 多 赢 待人 如己 换位 思考   Trust 信任 以及 令人 信任 做 靠 谱 事儿 成靠 谱 人   Happy   痛 并 快乐 着 不断 超越自我 取得 更大 成就   说明   1 兴趣 主动 聪明 比 当前 能力 要 重要 10 倍 这样 人 我们 团队 成长 会 非常 快 因为 你 可以 直接 来 争取 想 做 事情 公司 一定 竭尽所能 给 你 锻炼 机会 只要 你 能 对 你 自己 负责 把 事情 真正 做到 位 但 如果 是 推 一下 动 一下 人 我们 一定 不会 要   2 对于 特别 优秀 人才 薪酬 范围 可不 局限 此 薪酬 范围 期权 可谈
美团点评,1   运用 数据挖掘 机器学习 理论 方法 设计 相关 算法 解决 业务 问题 2   包括 但 不 限于 用户 画像 商家 画像 等 知识图谱 建设 3   参 基于 大 数据 场景 数据挖掘 机器学习 系统 架构设计 开发 1   掌握 机器学习 相关 算法 如 GBDT LR KNN 等 分类 聚类 算法 2   至少 精通 Java     Python Scala 三种 之一 3   掌握 hadoop spark 等 分布式 大 数据处理 技术 机器学习 框架 4   具备 较强 数据分析 能力 能够 基于 复杂 业务 场景 快速 建模 设计 算法 5   优秀 沟通 能力 踏实 坚持不懈 工作 态度 6   3 年 以上 有 互联网 相关 工作 经验 优先
和创金服,  1 负责 大 数据量 用户 消费 信贷 互联网 行为 等 数据 处理 清洗 挖掘 并 持续 迭代 优化 信用 模型 2 负责 大 数据量 用户 关系 链 网络 分析 图 挖掘 构建 反 欺诈 模型   3 负责 多维度 模型 融合 结合 信用 欺诈 等 多个 子 模型 做 融合 模型 此基础 上 优化 风控 模型     1 统招 本科 以上学历 有 三年 以上 python 数据挖掘 经验   2 精通 Python 较 好 数据挖掘 广告 算法 个性化 推荐 或 自然语言处理 经验 熟悉 常用 机器学习 算法   3 良好 沟通 推动 能力 主动性 强 对 互联网 金融 产品 有 一定 兴趣
京东金融,分析 京东金融 移动 端 用户 数据 金融 产品 数据 并 持续 挖掘 数据 商业价值 深入 挖掘 海量 用户 行为 属性 建立 用户 画像 标签 体系 建立 相关 预测 模型 定价 模型 等 为 商业 应用 提供数据 驱动 服务 产品 并 推进 相关 数据 产品 建设 主导 京东金融 中 台 算法 研发 通过 智能算法 构建 用户 数据管理 平台 负责 其中 核心 算法 数据挖掘 方向 包括 潜客 挖掘 流量 策略 激活 LTV 客户 忠诚度 提升 等 主导 京东金融 FSP 算法 研发 通过 大 数据 算法 为 商家 经营 提效 包括 选品 供应链 优化 产品 推荐 等 深入 理解 金融业务 协助 搭建 金融服务 产品 数据模型 为 业务 发展 提供数据 支持         资格 三年 以上 数据挖掘 机器学习 搜索 推荐 或 广告 系统 相关 算法 工作 经验 计算机 数学 统计 等 相关 专业本科 及 以上学历 精通 至少 一种 数据分析 挖掘 软件 如 RPythonSASMahout 等   4 熟悉 至少 一种 以下 数据库 操作 如 HiveMysql Hadoop Oracle 等 至少 一门 脚本 开发 语言 如 python shell ruby java scripttcl perl 等 使用 经验 有 互联网 行业 移动 互联网 行业 数据分析 挖掘 从业 经历 者 优先 对 数据 驱动 业务 有 一定 理解 对 数据 业务 方面 有 足够 敏感性 有 较 强 逻辑 分析 能力 有 较 强 独立思考 能力   8 具备 良好 沟通 能力 团队 合作 精神 能 独立 完成 挖掘 项目 规划 实施
云游九州,1 计算 几何 算法 研发 2 遥感 影像 处理 算法 研发 3 空间数据 转换 算法 研发 4 空间数据 调度 算法 研发 岗位 1 具备 扎实   C     C   语言 编码 功底 熟悉 常用 数据结构 算法 2 掌握   Windows   或   Linux   系统 编程 3 能够 阅读 编写 相关 技术 文档 对 技术 思想 有 较 好 抽象 归纳 总结 能力 5 具备 良好 沟通 能力 有 较 强 学习 能力 自主性 具 良好 逻辑思维 加 分项 1 对 几何学 计算 数学 有 一定 了解 并 有 较 强 算法 编码 实现 能力 2 有 地理信息 遥感 数据处理 图像处理 地图 绘制 处理 网格 系统 等 相关 学习 或 工作 经验 3 熟悉 某种   C     C   开源 库 并 有 阅读 源码 经历 4 熟悉 下面 列出 某种 软件 或 技术       GDAL CGAL PostGIS MongoDB ArcGIS MapGIS SuperGIS Mapbox OpenGL QGIS OpenCV
网信集团,  岗位职责 建立 完善 大规模 可 扩展 推荐系统 基础 算法 特征 框架 策略 负责 用户 画像 设计 实现 建立 适合 推荐系统 标签 体系 负责 推荐 内容 匹配 排序 理解 应用 各种 技巧 例如 线 实时 反馈 新 内容 冷启动 方法 等 基于 用户 行为 业务 数据 建立 适合 推荐 引擎 模型 特征 搭建 线 机器学习 系统 为 精准 数据分析 提供数据 支持 基于   Hadoop Spark   等 高性能 计算 平台 构建 改进 数据挖掘 机器学习 算法 技术 支撑 公司 业务 发展 建立 对 行业 用户 内容 深入 理解 以 数据挖掘 数据分析 为 基础 发现 新 产品 改进 点 驱动 产品 改进 探索 新 产品 形态 跟踪 学术界 工业界 挖掘 算法 方面 进展 趋势 并 尝试 将 其 应用 于 实际 生产 环境 基本素质 学历     本科 以上           年龄     25     岁 —     40     岁                 性别       男   专业     计算机 数学                     相关 工作 经验     5       年 以上 专业 素质 熟悉 深度 学习 机器学习 相关性 算法 特征提取 等 技术 至少 一至 两个 项目 经验 熟练掌握   Python Java   等 其中 一种 或 几种 编程语言 过 实际 工程项目 理解 基本 编程 模式 使用 过   Caffe Tensor   Flow   ResNet 等 深度 学习 计算 平台 模型 对模型 优化 有 较 深入 认识 理解 理解 常用 机器学习 数据挖掘 算法 并 进行 过 相关 实践 沟通交流 能力 强 对 工作 有 热情 愿意 付出 额外 努力 以 追求 更好 结果 有 较 强 产品   Sense 有 出色 沟通 能力 能够 独立 推动 项目 进展 海外 名校 具备 较强 论文 优先 考虑
玖富集团,1               负责 自然语言处理 相关 工作 包括 但 不 限于 语义理解 信息抽取 文本分类 命名实体识别 句法分析 等 2               负责 后台 垂直 领域 开发 改进 3               分析 挖掘 用户 行为 数据 为 用户 体验 提升 问题 发现 算法 改进 提供 支持 4               机器学习 平台 上 封装 算法 并 对外 提供 服务 接口 5               负责 模型 开发 评估 部署 监控 优化 工作 6               独立 完成 系统 上线 后续 优化 1               计算机 数学 物理 及 相关 专业 统招 本科 以上学历 2               熟练掌握 Java Python 等 其他 编程语言 有 很 好 数据结构 认识 算法 编程能力 3               熟悉 常见 机器学习 算法 图像 语音 自然语言处理 等 领域 有 实际 算法 开发 经验 4               有 NLP 工作 经验 者 优先 熟悉 XGBOOST TensorFlow Theano Torch Caffe MXNet 等 深度 学习 框架 者 优先 5             有 Hadoop MapReduce Spark Storm HBase Kafka 等 开发 经验 者 优先 6               能够 熟练 阅读 英文 文献 7               有 较 强 分析 问题 解决问题 能力 工作 踏实 上 进 有 良好 团队 合作 意识
宝尊电商,资格 资格 全日制 硕士 及 以上学历 计算机 数学 统计 等 相关 专业 具备 扎实 数学 功底 算法 功底 从事 算法 研究 3 年 及 以上 经验 热爱 互联网 电商 对 技术 算法 研究 有 强烈 兴趣 勇于创新 精通 一门 编程语言 java \ python \ scala 等 对 数据结构 算法 设计 有 较为 深刻理解 具备 机器学习 自然语言处理 数据挖掘 Query 分析 等 其中 至少 一种 研究 背景 或 项目 经历 熟悉 hadoophbasestorm 等 分布式计算 技术 熟悉 其 运行机制 体系结构 扎实 独立 分析 问题 解决问题 能力 具备 良好 需求 理解能力 沟通 协调 能力 团队 合作 精神 负责 电商 大 数据 建模 数据分析 等 算法 研究 应用 实现 负责 图像识别 算法 及 VRAR 技术 相关 研究 探索 新 算法 解决 应用 中 新 问题 跟踪 研究 电商 搜索 领域 进展 前沿技术 创新 对 已有 算法 进行 调优 改进 提高 算法 精度 性能
坚果金服,对 海量 数据 进行 特征 工程 工作 运用 机器学习 对 结构化 非 结构化 数据 时间 序列 数据 进行 挖掘 发现 其潜 关联 知识 利用 海量 数据 构建 信用 评估 模型 资格 本科 或 以上学历 计算机 数学 统计 相关 专业 毕业 熟练掌握 常用 机器学习 算法 有 linux 平台 数据处理 经验 熟悉 常用 shell 命令 熟练 使用 c python golang 等 任一 一种 语言   有过 数据挖掘 机器学习 相关 工作 经验 具有 良好 逻辑 分析 解决问题 能力 具备 一定 英文 阅读 能力 有过 信用 评估 相关 工作者 优先
闪银奇异,1   通过 海量 数据挖掘 机器学习 等 方法 构建 风险 控制 还款 能力 评估 用户 画像 个性化 推荐 等 系统 2   深入分析 现有 算法 了解 业务 需求 给出 有效 优化 解决方案 3   参 负责 研发 人工智能 数据 抓取 机器学习 自动化 信息 以及 特征提取 系统 4   对 业界 机器学习 算法 应用 有 广泛 了解 并且 能够 跟踪 最新进展   1   统招 本科 以上学历 研究生 优先 计算机 统计学 应用 数学 金融 等 相关 专业 背景 优先 2   三年 以上 实际 项目 开发 实施 经验 有 对 复杂 算法 系统 分析 设计 优化 能力 3   有 机器学习 数据挖掘 等 相关 项目 实际 经验 理解 搜索 推荐系统 用户 数据分析 建模 基本概念 常用 方法 具备 真实 环境 大 数据 集下 数据挖掘 机器学习 实战经验 者 优先 4   熟悉 Python   R   Java Scala 中 一种 或 多种 编程语言 对 数据结构 算法 设计 有 较为 深刻 理解 5   熟悉 MySQL redis MongoDB 等 数据库 了解 最新 数据库 发展趋势 6   对 数据 敏感 具备 良好 逻辑思维 能力 数学 建模 能力 问题 抽象 能力 以 结果 为 导向 7   有 良好 沟通 能力 者 优秀 解决问题 能力 者 优先
人人金服,1   利用 统计分析 建模 机器学习 算法 自然语言处理 等 技术 方法 针对 国内外 金融市场 产品 研发 量化 投资 策略 2   包括 但 不 限于 量化   FOF   基金 分析 投资 策略 研发 债券 等 固收 产品 信用风险 量化 分析 股票 期货 量化 投资 策略 研发 金融 财经 舆情 系统 研发 等 3   进行 量化 投资 模型 研发 优化 进行 程序化 交易 策略 代码 开发 并 协助 客户 投资 经理 进行 投资决策 4   参 部门 日常 管理 服务 软硬件 建设 团队 建设 等 各 方面 工作 1 硕士 及 以上学历 计算机 金融 工程 统计学 数学 物理 等 相关 专业 2   熟练掌握 至少 一种 编程语言 PythonJAVAC CR 等 其中   Python   优先   3   有 机器学习 数据挖掘 自然语言处理 等 经验 者 优先   4   有 量化 投资 FOF 基金 筛选 股票 期货 量化 交易 经验 者 优先 5   熟悉 MySQL   Sql   Server 等 数据库 使用 能 熟练 使用 SQL 语言 者 优先 7   具备 证券 从业 资格 CPA CFA 等 资格证书 者 优先 6   有 ACM 竞赛 获奖 经历 优先 有 国际 高水平 会议 论文 者 优先 8   精力充沛 乐于 分享 交流 抗压 能力 较强 注重 工作 实效
新浪微博,1 负责 机器学习 平台 构建 探索 微博 搜索 广告 中 机器学习 应用   2 应用 深度 学习 等 前沿技术 解决 微博 搜索 广告业务 中 相关 问题   岗位   1 计算机 或 相关 专业 硕士 及 以上学历 计算机 数学 统计学 等 相关 专业 ;   2 熟练 使用 CC 或 python 编程语言 算法 数据结构 基础知识 扎实   3 掌握 机器学习 或 数据挖掘 相关 技术 有 相关 工作 经验 并 了解 机器学习 算法 原理   4 熟悉 tensorflow 等 机器学习 系统 加 分 对 机器学习 前沿技术 有所 了解   5   良好 数学 基础 熟悉 DNN   RNN   CNN 等 算法 加 分   6   有 团队 管理 经验 者 加分  
北京爱普新媒体,  基于 大规模 用户 行为 以 效果 为 目标 建立 并 优化 推荐系统 基础 算法 策略   负责 广告 策略 研发 包括 CTR 预估 用户 行为 分析 广告 定向 广告 相关性 等 方向 3   负责 提升 线 广告 相关度 用户 体验 投放 效果 变现 能力 4 分析 业务 数据 优化 投放 系统 提升 用户 体验 广告 效果 资格 有 两年 以上 相关 工作 经验 熟悉 互联网 广告业务 本科 以上 计算机软件 或 相关 专业 具有 良好 分析 问题 解决问题 能力 对 解决 具有 挑战性 问题 充满 激情 具备 良好 团队 合作 精神 较强 沟通 能力
58到家,使用 机器学习 算法 解决 常见 业务 问题 工作 内容 可能 包括 但 不 限于 预测 技术 推荐 算法 运筹 优化 机器学习 仿真 系统 等 2 对 58 到家 数据 进行 挖掘 分析 通过 对 复杂 业务 或 系统 问题 进行 建模 分析 影响 系统 关键因素 规划 设计 实现 新 解决方案 评估 并 优化 模型 岗位     1   统招 本科 或 以上学历 计算机 数据挖掘 统计学 运筹学 机器学习 或 其他 相关 专业     2   丰富 数据分析 技能 相关 经验 具备 较 好 英文 阅读 能力     3   熟悉 常见 数据结构 算法 熟悉 java Pythonc 等 编程语言 熟悉 Hadoop   spark   Hive 等 大 数据处理 工具     4   优秀 团队 合作 精神 诚实 勤奋 严谨
好未来,  按 需 修改 实现 高性能 多卡 加速 深度 学习 训练 框架 2   实现 多机 加速 深度 学习 训练 框架 岗位   深刻理解 计算机 数据结构 算法 设计 精通 CC   熟练掌握 多线程 并发 同步 互斥 等 原理 能够 熟练 应用 线程 池 多线程 锁 等 进行 多线程 编程 3   熟练掌握 Caffe MXNet Tensorflow 等 至少 一个 深度 学习 框架 深刻理解 深度 学习 训练 调优 过程 4   熟练掌握 BLAS 或者 CUDA 编程 5   有 分布式 多 GPU 编程 优化 经验 者 尤佳 6   有 C 性能 优化 经验 者 尤佳
海知智能,1     对 企业 数据 金融 等 多源 数据 做 分析 建模 解决 数据 智能 营销 信用 风控 等 不同 场景 下 应用 问题 2     用户 关系 网络 应用 优化 基于 投资 LP 基金 行为 数据 等 维度 设计 构建 用户 网络 并 智能 推荐 评估 等 方面 加以 应用 3     企业 图谱 建设 私募 机构 私募 法人 事件 账户 等 之间 交错 相关 通过 关系 网络 途径 评估 企业 经营 优劣势 风险 4     负责 从半 结构化 或 无 结构 大 数据 上 构建 知识图谱 5     负责 基于 知识图谱 智能 推荐 及 智能问答 等 系统 研发   资格 1       985211 本科 及 以上学历 数学 信科 计算机 经济 等 相关 专业 3 年 机器学习 方向 研究 或 工作 经验 2     有 neo4j titan graphx graphlab 等 类似 工具 应用 开发 经验 或 NLP 深度 学习 图 计算 等 某 一 方向 有 较为 深入 理解 应用 经验 优先 3     有 hadoop spark 等 大 数据 平台 上 建模 或 算法 开发 经验 优先 4     扎实 编程能力 Java   Scala   Python   R   等 至少 掌握 一种 熟悉 图 计算 相关 基础理论 算法 PageRank 连通 分量 最短 路径 置信 传播 社群 发现 等 5     熟悉 常用 数据挖掘 模型 有 知识图谱 建模 相关 经验   6     较 好 沟通 表达能力 较 好 团队 合作 意识 几个 重要 问题 1       公司 会 非常重视 这个 作为 公司 所有 产品 平稳 落地 技术 业务 测试 支撑 未来 走 技术 专家 还是 管理 路线 公司 都 会 支持 提供 你 想要 舞台 2     哪 类人 特别 适合 对 人工智能 机器人 方向 有 强烈 兴趣 能够 适应 创业 苦 累 有 责任心 有 较 强 学习 能力 并 付诸 实际行动 3     哪 类人 特别 不 适合 只是 想 找 一个 码农 工作 没有 明确 工作 目标 惧怕 挑战 4     需要 应聘者 做 什么 准备 做个 有心人 不要 没有 任何 准备 就 来 面试 了 企业 价值观 GROWTH   MODEL   Goal   结果 导向 不 讲 苦劳 讲 功劳 不 论资排辈   Respect 尊重 以及 值得尊敬 Open 开放 心态 一切 皆 有 可能   Win - win 双赢 以及 多 赢 待人 如己 换位 思考   Trust 信任 以及 令人 信任 做 靠 谱 事儿 成靠 谱 人   Happy   痛 并 快乐 着 不断 超越自我 取得 更大 成就   说明   1 兴趣 主动 聪明 比 当前 能力 要 重要 10 倍 这样 人 我们 团队 成长 会 非常 快 因为 你 可以 直接 来 争取 想 做 事情 公司 一定 竭尽所能 给 你 锻炼 机会 只要 你 能 对 你 自己 负责 把 事情 真正 做到 位 但 如果 是 推 一下 动 一下 人 我们 一定 不会 要   2 对于 特别 优秀 人才 薪酬 范围 可不 局限 此 薪酬 范围 期权 可谈
58到家,  工作 职责 使用 机器学习 算法 解决 常见 业务 问题 工作 内容 可能 包括 但 不 限于 预测 技术 推荐 算法 运筹 优化 机器学习 仿真 系统 等 2 对 58 到家 数据 进行 挖掘 分析 通过 对 复杂 业务 或 系统 问题 进行 建模 分析 影响 系统 关键因素 规划 设计 实现 新 解决方案 评估 并 优化 模型 岗位     1   统招 本科 或 以上学历 计算机 数据挖掘 统计学 运筹学 机器学习 或 其他 相关 专业     2   丰富 数据分析 技能 相关 经验 具备 较 好 英文 阅读 能力     3   熟悉 常见 数据结构 算法 熟悉 java Pythonc 等 编程语言 熟悉 Hadoop   spark   Hive 等 大 数据处理 工具     4   优秀 团队 合作 精神 诚实 勤奋 严谨
四维图新,1 负责 无人 车 软件开发   : 1AI 搜索算法 曲线 特点 及 拟合 状态机 设计 决策控制 场景 理解 行为 预测 2 熟悉 opengl   优先 3 愿意 积极 学习 新 东西 不怕 挑战 4 具备 良好 沟通 表达能力 团队 合作 意识
好价,岗位职责 1 整合 用户 数据 建立 用户 画像 维度 标签 体系 并 加以 利用 提升 用户 对 产品 体验 2 从 海量 数据 中 分析 并 提炼出 对 公司 业务 增长 有利 信息 3 负责 用户 药品 健康 知识 等 推荐系统 算法 设计 4 负责 药品 医生 等 排序 算法 设计 5 优化 数据 使用 方法 流程   1 扎实 算法 基础 熟悉 算法 相关 理论 算法 原理 数据结构 具备 良好 数学 基础 2 有 一定 研究 实验 能力 优秀 分析 问题 解决问题 能力 3 理解 自然语言处理 机器学习 人工智能 推荐系统 熟悉 电子商务 流程 4 对 技术 有 热情 善于 团队 合作 5 熟练掌握 JAVAC 语言 之一 6211 985 大学 或 海外 知名 大学本科 及 以上学历 计算机 数学 统计 相关 专业
传神,1 根据 公司 产品 及 业务 需求 进行 分析 抽象 出 关键 算法 需求 并 开发 实现 2 负责 基因 匹配 等 相关 人工智能 项目 研究 开发 3 负责 人工智能 算法 底层 算法 库 开发 岗位 1 本科 及 以上学历 硕士 以上 优先 热爱 自然语言处理 或 人工智能 研究 2 至少 精通 一门 程序设计 语言 有 熟练 程序设计 能力 算法 实现 能力 有 一定 算法 经验 3 熟悉 人工智能 自然语言处理 领域 常见 算法 及其 原理 4 熟悉 人工智能 自然语言处理 领域 常用 开源 ／ 公开 算法 库
新浪微博,岗位职责 : •   参 现有 业务 推荐 系统优化 推荐 算法 设计 开发 •   参 用户 行为 挖掘 分析 •   参 微博 数据 挖掘 分析 岗位 : •   2 年 以上 工作 经验 有 大型 互联网 公司 从业 经验 优佳 •   良好 编码 能力 有 扎实 数据结构 算法 功底 至少 精通 c python java 中 一种 开发 语言 •   数学 功底 建模 能力 强 理解 数据挖掘 熟悉 机器学习 领域 常见 算法 以及 算法 适用 场景 优点 缺点 以及 弥补 办法 •   工作 认真 细心 有条理 积极性 高 求知欲 强 具有 较强 沟通 能力 及 团队 合作 精神 有 下列 经验 背景 优先 •   大型 互联网 公司 推荐系统 或 搜索引擎 或 广告 系统 或 数据挖掘 开发 经验 •   机器学习 数据挖掘 信息检索 自然语言处理 统计分析 Hadoop Spark 背景
观脉科技,1 精通 数学 及 数学公式 2 精通 算法 数据结构 3 有 网络 优化 工作 经验 者 优先 能够 灵活运用 算法 4 负责 海量 数据 算法 计算 及 筛选 工作 5 熟悉 CC 或 python 语言 63 年 以上 工作 经验 熟悉 英语
京东商城,  工作 职责 1 搜索 排序 相关性 个性化 图像 等 算法 实现 优化 2 改进 搜索 排序 算法 架构 3 通过 对 数据 分析 算法 优化 改进 搜索 用户 体验 提升 业务 发展 效率         岗位 1 熟悉 Linux 下 CC 开发 2 熟悉 基本 Python 或 其他 离线 数据处理 工具 3 有 熟悉 搜索 推荐 或 广告 等 系统 开发者 优先 4 有 熟悉 常用 机器学习 自然语言处理 或 深度 学习 算法 者 优先 5 具备 优秀 学习 能力 解决问题 能力 团队 合作 意识
百融金服,负责 百融 金服   风 控系统 需求 分析 建模 策略 相关 开发 工作 配合 策略 产品 建立 风控 模型 指标 优化 坏 单率 额度 模型 等 效果 跟进 业界 前沿 相关 机器学习 算法 技术 将 其 应用 到 产品 工程 中 扎实 机器学习 数据挖掘 理论 技术 基础 本科 以上学历 熟练掌握 SQL Hadoop Hive 或 Spark 熟练掌握 常用 机器学习 算法 实际 工作 中 应用 过 GBDT 或 LR 优先 考虑 过 海量 数据处理 及 相关 机器学习 算法 开发 优先 熟悉 Java Python 或 Bash 等 编程语言 熟悉 R 或者 Matlab 优先 有 三年 以上 机器学习 自然语言处理 计算 广告 排序 算法 金融 风控 推荐 算法 等 相关 工作 经验 以 用户 目标 为 导向 有 良好 沟通 分析 解决问题 团队 协作 能力 具备 良好 抗压 能力
PPmoney互联网金融平台,1 通过 数据挖掘 机器学习 深度 学习 等 技术 2 搭建 智能 投顾 量化 投资 系统 为 客户 资产 配置 股票 期货 外汇 投资 等 提供 建议 推荐 1 精通 机器学习 深度 学习 等 数据挖掘 技术 理解 其 基本原理 2 可以 熟练 使用 一种 及 以上 数据挖掘 工具 语言 不 限 Matlab Java Python C 等 均 可 3 有 一定 代码 能力 熟悉 基本 数据结构 算法 4 擅长 独立思考 对 数据 数字 有 敏锐 分析 判断能力 5 参加 过 Kaggle 天池 KDD 等 比赛 并 成绩 优秀者 优先 6 熟悉 知识图谱 对话系统 等 NLP 领域 知识 候选人 优先
去哪儿网,资格 计算机 电子 自动化 机电 数学 等 相关 专业 具有 较强 编程能力 熟练 使用 Java 熟悉 Linux 环境 开发 经验 会 使用   ShellPython 等 脚本语言 熟悉 机器学习 模式识别 领域 常用 算法 加 分项 熟悉 深度 学习 增强 学习 相关 算法 熟悉 Hadoop 操作 对 海量 数据 处理 需要 涉及 包括 信息检索 自然语言处理 机器学习 数据挖掘 等 领域 对 数据 进行 建模 分析 影响 系统 关键因素 规划 设计 实现 新 解决方案 评估 并 优化 模型
北京华翰远景咨询服务有限公司,一 计算机相关 专业本科 及 以上学历 有 机器学习 数据挖掘 背景 知识 相关 学习 工作 经验 有 组合 优化 理论 ／ 强化 学习 背景 者 优先 有大 数据分析 处理 相关 经验 有 很 强 数据 建模 能力 有 hive sql redis Rocksdb 等 数据 存储系统 开发 经验 有大 数据 相关 系统 如 spark mpi 等 经验 者 优先 熟悉 C python 语言 并 有 丰富 开发 经验 有 路径 规划 地理信息系统 开发 经验 者 优先 自学能力 强 勤奋 踏实 善于 沟通 二   1   逻辑 清晰 思维 活跃 善于 分析 解决问题 持续 学习   2   编程 基础 扎实 熟练 使用 至少 一种 常用 编程语言 包括 但 不 限于 C Python Scala Go   3   机器学习 或 数据挖掘 方向 有 较 强 积累 熟悉 经典 算法 并 有 实践经验 优先   4   有 计量经济学 统计学 活 相关 研究 背景 优先   5   顶级 会议 发表 研究 成功 优先
滴滴出行,从 海量 数据 中 利用 数据挖掘 技术 挖出 用户 偏好 特征 行为 规律 用户 画像 等 2 构建 健壮 挖掘 系统 提供 高 可用 可 扩展 离线 挖掘 系统 3 基于 流式 计算 架构 建立 实时 特征 生产 系统 岗位 精通 CC 或者 Java 会 一门 脚本语言 pythophp 等 2 熟悉 常见 数据挖掘 或 机器学习 算法 3 了解 hadoop 原理 有 编写 map - reduce 程序 经验 4 数据挖掘 方面 有 3 年 以上 项目 经验
