company,bt
哗啦啦,1   负责 预估 系统 建设 完成 预估 算法 不断 迭代 并 产品 结合 进行 产出   2   菜品 自定义 预测 改进 预估 模型 提升 预估 准确率   3   菜品 推荐系统 调研 分析 系统 建设   4   店铺 毛利 分析 建模 等   资格   1   统招 本科 以上学历 985 优先 计算机相关 专业   2   熟悉 数据挖掘 流程 具备 统计分析 数据 建模 能力   3   熟悉 ML 常用 算法 例如 回归 决策树 SVM 聚类 贝叶斯 神经网络 arima 等   4   熟悉 R 语言 或 python 科学计算 库 如 pandas numpy scipy 等   5   了解 Hadoop 技术 体系 具备 SQL MR SPARK 等 数据处理 能力   6   有 时间 序列 分析 经验 优先   7   有 用户 画像 用户 行为 分析 标签 体系 精准 营销 推荐系统 工作 经历 者 优先   行业 标杆 高速成长   团队 活跃 平台 广阔 交通 便利   前景 专注 于 本地 生活 广泛 领域 — — 餐饮 O2O   晋升 广阔 职业 发展 空间 越 努力 你 就 越 幸运   氛围 那 是 年轻人 世界 公司 营造 各种 交流 机会   环境 舒适 高大 上 办公 环境 西直门 地标 建筑 没有 雾 霾 还 可 看见 西山 落日   哗啦啦 wwwhualalacom 期待 你 加入
有品 PICOOC,运用 数据挖掘 机器学习 技术 深入 挖掘 分析 海量 商业 数据 负责 系统 特征提取 建立 模型 进行 聚类 分类 分析 实现 应用 智能 定制 模型 验证 研究 已有 算法 瓶颈 改进 优化   岗位 良好 数学 功底 建模 能力 编程能力 熟悉 常用 机器学习 模型 数学原理 优劣 以及 使用 技巧 良好 数据分析 处理 能力 良好 英文 文献 阅读 能力 良好 主动性 逻辑思维 能力 沟通 能力
中化能源互联网科技,1 负责 设计 选型 数据挖掘 机器学习 模型 2 负责 大 数据 产品 核心 模型 算法 创新 研究 实现 3 应用 机器学习 统计 预测 等 前沿技术 分析 公司 经营 数据 呈现 商业价值 4 参 大 数据 预测 模型 实施 服务 本科 3 年 以上 或 硕士 2 年 以上 或 博士 大 数据 算法 设计 相关 工作 经验       2 扎实 机器学习 数据 统计 理论 技术 基础 有 相关 研究 或 工程 经验         3 熟悉 PythonRSASSPSS 等 编程语言 两种       4 熟悉 数据 预处理       5 能够 熟练 应用 统计学 模型 例如 支持 向量 机 随机 森林 决策树 聚类 回归 分析 等 模型       6 有 电商 大 数据 经验 优先
知为科技,1         负责 大规模 机器学习 平台 构建 支撑 APP 市场 运营 等 核心 业务 2         基于 用户 行为 数据 进行 建模 分析 挖掘 配合 产品 进行 改进 3         基于 用户 画像 及 内容 模型 进行 推荐系统 相关 设计 实现 4         对 业务 策略 优化 及 算法 研发 提供 先进 适用 解决方案 模型 能 评估 模型 可行性 并 推进 模型 落实 等     计算机相关 专业本科 以上学历 2 － 3 年 以上 机器学习 相关 工作 经验 熟练掌握 常用 机器学习 算法 包括 但 不 限于 分类 算法 聚类 回归 算法 推荐 算法 等 3   熟悉 常见 数据结构 算法 有 一定 数理逻辑 基础 能够 理解 并 实现 较 复杂 算法 过程 4   有 较 多 程序开发 经验 对 数据结构 算法 知识 应用 熟练 有大 数据处理 经验 者 更佳 5   良好 逻辑思维 能力 对 数据 敏感 喜欢 学习 新 技术
康夫子,熟悉 NLP 领域 理论 基础 具有 NLP 实战经验 2 熟悉 典型 机器学习 算法 工具 3 熟练 使用 python cc 等 至少 一门 语言 熟悉 TensorFlow Hadoop 数据库 操作 等 优先 4 具备 一定 科研 能力 5 熟练掌握 排序 查找 算法 熟练 使用 基础 数据结构 具备 以下 经验 者 优先 有 海量 数据处理 挖掘 分析 经验 者 优先 2 有 信息抽取 问答 推荐 文本 生成 对话 管理 技术 知识图谱 构建 情感分析 机器翻译 深度 学习 等 研发 经验 者 优先 3 有 RNN CNN LSTM 等 深度 学习 经验 者 优先 我们 优势   技术 背景 多位 百度 NLP 大牛 内功 深厚 领跑 行业   医学 背景 北大 医学博士 从业 多年 精准 把握 医疗 痛点   资金 背景 数千万 A轮 融资 未来 几年 吃喝 不 愁   薪资 待遇 年 中 奖励 年底 三薪 股票 期权   团队 氛围 人少 精悍 低调 务实 充分 信任 珍惜 人才   公司 未来 人工智能 全科 医生 热门 中 热门
美团点评,负责 风控 策略 制定 开发 对 盗卡 盗 账户 欺诈 行为 进行 监控 检测 识别 负责 使用 机器学习 模型 对 业务 数据 建模 识别 出 恶意 用户 参 design     code   review 指导 初级 工程师 工作 具有 机器学习 自然语言处理 等 应用 开发 经验 并 掌握 常用 方法 原理 及 思想 熟悉 linux 开发 环境   精通 至少 一门 编程语言 JavaC Python 优秀 分析 解决问题 能力 对 挑战性 问题 充满 激情 良好 团队 合作 精神 较强 沟通 能力 有 个人 技术 博客 或 各 技术 社区 活跃 熟悉 互联网 各种 欺诈 行为 有 保护 用户 账户 安全 或 资金 安全 工作 经验   或 有 支付 系统 账号 系统 开发 工作 经验 有 互联网 风控 数据分析 挖掘 金融 行业 会员 研究 等 工作 经验 有大 数据 分布式 设计 构建 应用 研发 经验
京东金融,职责 描述 基于 用户 行为 数据 进行 建模 分析 挖掘 配合 产品 进行 改进 基于 用户 画像 及 内容 模型 进行 推荐系统 相关 设计 实现 本科 以上学历 理工科 相关 专业 优先 出色 数据结构 算法 基础 深入 理解 逻辑 回归 决策树 协同过滤   贝叶斯 等 数据挖掘 算法 熟练 Java Python Scala 等 开发 语言 及其 他 常用 脚本语言 熟练 使用 大 数据 开源 工具 Hadoop Sprark Kafka 等 对 推荐系统 个性化 搜索 深度 学习 有 实际 应用 经验 能 熟练 使用 tensorflow 或者 caffe 者 优先
海知智能,1     利用 深度 学习 技术 进行 前沿 人工智能 技术 研发 包括 但 不 限于 图像识别 语音识别 语义理解 强化 学习 自然语言处理 等 领域 2     负责 人工智能 前沿技术 领域 研究 负责 机器学习 平台 选型 框架 搭建 开发 及 优化 及 机器学习 深度 学习 人工智能 相关 算法 实现 算法 优化 性能 评估 3     研究 并 测试 新 深度 学习 算法 模型 4     针对 海量 信息 建模 挖掘 潜 商业价值 创新 产品 技术 平台 5     参 核心 代码 书写 解决 项目 开发 过程 中 重大 技术 问题 6     持续 跟踪 国内外 深度 学习 领域 最新 研究成果 1 计算机科学 机器学习 人工智能 模式识别 等 专业 硕士 博士 掌握 机器学习 相关 知识 有 该 领域 算法 研究 或 开发 经验 拥有 2 年 以上 AI 相关 研发 经验 2 具有 良好 编程能力 至少 熟悉 一种 主流 编程语言 Java Python 等 熟悉 Linux 环境 下 编程 者 优先 3 拥有 大 数据处理 或 计算机 语音 语义 相关 背景 或 工作 经验 者 优先 4 拥有 良好 英文 读写能力 能够 无障碍 地 阅读 相关 英文 文献 几个 重要 问题 1       公司 会 非常重视 这个 作为 公司 所有 产品 平稳 落地 技术 业务 测试 支撑 未来 走 技术 专家 还是 管理 路线 公司 都 会 支持 提供 你 想要 舞台 2     哪 类人 特别 适合 对 人工智能 机器人 方向 有 强烈 兴趣 能够 适应 创业 苦 累 有 责任心 有 较 强 学习 能力 并 付诸 实际行动 3     哪 类人 特别 不 适合 只是 想 找 一个 码农 工作 没有 明确 工作 目标 惧怕 挑战 4     需要 应聘者 做 什么 准备 做个 有心人 不要 没有 任何 准备 就 来 面试 了 企业 价值观 GROWTH   MODEL   Goal   结果 导向 不 讲 苦劳 讲 功劳 不 论资排辈   Respect 尊重 以及 值得尊敬 Open 开放 心态 一切 皆 有 可能   Win - win 双赢 以及 多 赢 待人 如己 换位 思考   Trust 信任 以及 令人 信任 做 靠 谱 事儿 成靠 谱 人   Happy   痛 并 快乐 着 不断 超越自我 取得 更大 成就   说明   1 兴趣 主动 聪明 比 当前 能力 要 重要 10 倍 这样 人 我们 团队 成长 会 非常 快 因为 你 可以 直接 来 争取 想 做 事情 公司 一定 竭尽所能 给 你 锻炼 机会 只要 你 能 对 你 自己 负责 把 事情 真正 做到 位 但 如果 是 推 一下 动 一下 人 我们 一定 不会 要   2 对于 特别 优秀 人才 薪酬 范围 可不 局限 此 薪酬 范围 期权 可谈
省钱快报,研究 电商 搜索引擎 策略 算法 工作 包括 用户 意图 分析 召回 策略 相关性 模型 排序 模型 等 算法 设计 搭建 个性化 推荐系统 算法 模块 提升 系统 转化率 ; 建立 个性化 推荐 离线 效果 评估 线上 效果 验证 方案 ; 应用 数据挖掘 机器学习 自然语言处理 等 技术 提升 推荐 效果 条件 : 计算机 或者 数学 相关 本科 及 以上学历 推荐 搜索 广告 数据挖掘 等 方向 有   5 年 以上 项目 经验 具备 机器学习 自然语言处理 数据挖掘 等 研究 背景 或 项目 背景 熟练掌握 海量 数据处理 技术 有 使用   Hadoop       Hive     Spark     Storm   分析 海量 数据 能力 经验 具备   Linux   环境 开发 经验 熟练掌握 至少 一种 主流 编程语言   C     Java     Python   等 对 数据 有 敏锐 洞察力 有 良好 逻辑思维 能力 ; 能够 熟练 阅读 英文 文献 — — — — — — — — — 「 成长 历史 」 公司 成立 于   2014   年   7   月 位于 北京邮电大学 一座 咖啡馆 中 经过 三年 发展 已经 历经 三轮 融资 近 亿元 收获 了 超过   1000   万 用户 公司 管理 团队 均 为   85   后 员工 画像 资深 程序 猿 产品 高手 美女 运营 「 投资方 」 好未来 美股 上市公司 股票代码   TAL 晨兴 资本 投资 过 小米 迅雷   YY 凤凰网 等 公司 钟鼎 创投 投资 过德邦 物流 晨光 文具 等 上市公司 中国 平安 投资 过 滴滴出行 美团点评 汽车之家 等 公司 「 愿景 」 成为 一家 引领 年轻人 生活 方式 世界级 科技 公司 「 企业 文化 」 诚实 守信 学习 驱动 事事 复盘 创业 心 「 福利 」 永远 装满 免费 零食 柜 饮料 冰箱 免费 三餐 专属 健身房 每日 酸奶 月度 下午茶 每月 交通 补助 每月 团建 定期 旅游 电脑 补助 每个 节日 都 会 收到 来自 行政部 同事 准备 礼物 「 成长 晋升 」 半糖 学院 - 每月 公司 内部 培训 及 分享 及 来自 其他 公司 创始人 高管 分享 主动 晋升 申请 轮岗 机制 Hackathon 「 沟通 文化 」     每月 末 组织   Happy   hour 管理 团队 汇报 公司 进展 互黑 以 互相 称赞 对方 为 乐趣 自黑 以 无 下限 自我 讽刺 为 乐趣       无 职级 无 职务 有 分工 一切 唯 结果 说话 「 办公室 」 公司 位于 五道 营 胡同 景区 附近 国子监 一墙之隔 四合院 中 拥有 独立 健身房 毗邻 地铁 雍 宫站 安定门 站 5   号   10   号线 交通 方便 — — — — — — — — — — 省钱 快报 「 下载方式 」 移动 版 AppStoreAndroid   应用 市场     搜索 省钱 快报   下载 PC 版 http : wwwsqkbcom 半糖 荣获 「 最美 应用 」 「 小米 月度 最佳 」 「 360   最佳 新品 」 「 百度 金 熊掌 奖 」 等 半糖 「 下载方式 」 移动 版 AppStoreAndroid   应用 市场     搜索 半糖   下载 PC 版 http : wwwibantangcom 微信 公众 号 半糖
百度,工作 职责 - 负责 手机 百度 浏览器 pcwise 首页 等 产品线 Feed 流 个性化 推荐 算法 策略 研发   - 构建 基于 用户 行为 喜好 内容 推荐 协同过滤 场景 引擎 应用 于 每天 数亿 用户 个性化 资讯 推荐系统 业务 中 资格 - 精通 CC 编程 熟悉 Linux 平台 熟练掌握 脚本 编程 shell python perl 等   - 具备 优秀 逻辑思维 能力 善于 解决问题 分析 问题 有 强烈 上进心 求知欲 较强 沟通 能力 学习 能力   - 对 Feed 流 推荐 工作 感兴趣 具有 推荐系统 相关 经验 者 个性化 推荐 用户 模型 协同过滤 等 优先   - 接受 CC 架构 转 策略
逸途科技,1 负责 逸途 AI 系统 架构 研发 持续 优化 2 业务 团队 深入 合作 解决 旅游 问答 推荐 业务 发展 中 遇到 产品 平台 架构 问题 具备 一定 前瞻性 3 具体 领域 包括 但 不 限于 推荐 算法 开发 分布式 存储 大规模 分布式计算 实时 计算 跨平台 资源 调度 大规模 分布式 算法 平台 等 1 三年 以上 系统 研发 经验 硕士 以上学历 从事 过 大型 系统 架构 研发 工作 2 熟悉 linux 平台 精通 c java 熟悉 python 具有 良好 编程 习惯 算法 基础 3 对 常用 推荐 算法 如 itemcf SVD 等 有 一定 了解 4   熟悉 机器学习 原理 算法 能 熟练 运用 分类 回归 排序 等 模型 解决 相关 问题 4 有 分布式系统 理论 基础 实践经验 熟悉 Map - ReduceBSP 实时 计算 等 分布式计算 技术 5 熟悉 hadoophbasesparkstorm 等 至少 一种 分布式系统 有 分布式 机器学习 算法 开发 经验 者 优先 6 有 良好 沟通 表达能力 团队 合作 精神 热衷 技术 乐于 寻求 挑战 突破 自我  
混沌大学,1 离线 端 数据 平台 建设 采集 用户 行为 数据 搭建 数据仓库 2 用户 行为 数据挖掘 用户 画像 行为 预测 个性化 推荐 3 利用 数据 提升 用户 增长 并 为 公司 提供 决策 支持                                                   1 熟悉 基本 数据结构 常用 算法                             2 至少 会 一门 编程语言 熟悉 Linux 系统 熟练掌握 Python 语言 3 熟悉 mysqlredismongo 等 常用 数据库 掌握 大 数据处理 技术 优先 4 较强 学习 分析 问题 能力 良好 团队 合作 意识           5 丰富 数据挖掘 机器学习 推荐系统 开发 经验 6 统招 本科 以上学历
