jobname,money,company_name,p_bot,industry,job_bt
机器学习/自然语言处理,20k-40k,大特保,"20k-40k,经验1-3年,本科",金融 / B轮,"
职位描述：

岗位职责1. 参与互联网保险领域的自然语言处理、人工智能方向的技术研发；2. 参与保险智能问答、智能交互的研发；3. 结合保险业务的搜索、推荐等场景，灵活应用数据挖掘、NLP、机器学习等技术解决实际问题。岗位要求：1.较强的编程实现能力，熟练掌握Python/Java/c的一种或多种语言，熟练掌握算法和数据结构；2.了解NLP、数据挖掘、机器学习的基础知识，能对问题不断优化解决方案；3.优秀的分析和解决问题的能力；4.有实际项目经验者优先、有对话机器人经验者优先；

"
蚂蚁金服-推荐系统算法工程师／机器学习专家,20k-40k,蚂蚁金服集团,"20k-40k,经验不限,本科","金融,移动互联网 / B轮","
职位描述：

无论你是数据研发／机器学习等相关知识的毕业生，数据研发工程师，数据科学家，ML攻城狮，还是你已经成功转行到这个队伍中来，喜欢并且勇于挑战实际的应用，-- 只要你对数据和AI抱有极大的热情，对数据和AI在金融领域的应用抱有信心，我们都欢迎你独到的见解！我们蚂蚁金服－金融核心数据算法团队，专注于研究在金融大数据驱动下的金融数据架构，机器学习算法研究与应用，用数据，AI和金融核心技术驱动蚂蚁金服的支付，财富，国际，微贷，网商，保险，信用等各业务高速与创新发展。 职位描述：1、理解金融产品需求，能够运用数据挖掘，机器学习方法解决实际问题，主动为团队贡献想法，共同打造业界领先的信息共通系统；2、研究金融方面相关信息整合与联结核心技术与算法，将海量金融数据下的可信信息产品化应用化；3、结合金融业务场景，灵活运用推荐系统核心技术，分析多方行为，优化模型与策略，提升产品体验。职位要求：1、具有计算机科学、统计学、数学、商业智能相关学历及专业背景，掌握扎实的统计学，数据挖掘/分析/建模，机器学习，商业智能等理论，两年以上研发工作经验；2、在机器学习或数据挖掘方向有较强的积累，对数据敏感，对使用机器学习解决金融系统问题有热情；3、曾参与推荐系统、搜索引擎或广告投放系统等相关项目的构建，熟悉商业智能，掌握精准的“用户-产品”推荐核心技术，精通排序算法，熟练操作结构化数据；4、熟练掌握常用的协同过滤、矩阵分解、LTR、BPR等算法模型，熟悉不同场景下的度量标准，在召回、排序等方向有丰富的实战调优经验；5、研究分析业内智能算法平台产品以及优化技术方案，以改进产品功能和性能； 6、逻辑清晰、表达能力强，有良好的团队合作精神和主动沟通意识。有以下经验者优先考虑:1、曾参与过知名推荐系统开发与落地，或曾就职/学习于知名推荐系统公司/团队；2、5年以上Java/Python开发经验；3、分布式系统开发经验。

"
机器学习工程师i,20k-35k,联想集团,"20k-35k,经验5-10年,本科","移动互联网,数据服务 / 上市公司","
职位描述：

Position Description:      
1. Execute research and analytics, including data sources identification, processing, model/algorithm development, turning insights into actionable recommendation, presenting actionable recommendation and drive actions to business value creation.
2. Mentor junior data scientists and data analyst.
3. Participate in and lead advanced analytic capability building program.
4. Be creative problem-solver using Big Data, Machine Learning and other Advanced analytics skill alongside leadership and direct engagement of business users.
5. Design research and analytic frameworks in the context of overall project objectives such as (but not limited to) media effectiveness, consumer engagement, business model optimization, etc.
6. Collaborate actively and effectively with other functions partners and leaders to accomplish project objectives.
Position Requirements:  
1、计算机或相关专业硕士以上学历；5年以上机器学习研究或开发经验；
2、熟练使用可视化工具对用户数据进行分析，挖掘和整理；能快速理解需求，将客户需求转换成技术任务
3、深入掌握常用的机器学习算法，包括但不限于分类、聚类、回归算法、推荐算法等；应用先进的统计建模、数据挖掘、机器学习方法，建立适合产品需求实现的数据统计模型；
4、具备英文沟通交流能力
5、具备良好的编程能力和代码风格，熟悉Python或者R开发；
6、熟悉机器学习的前沿技术和业界动态；
7、优秀的分析和解决问题的能力，对挑战性问题充满激情；良好的团队合作精神，较强的沟通能力 ；

"
机器学习工程师,20k-30k,达飞金控,"20k-30k,经验1-3年,本科","移动互联网,金融 / 不需要融资","
职位描述：

工作职责：1.熟练使用Linux系统，熟练使用R、python等语言；2.研究深度学习（包括各种神经网络结构与应用）或计算机视觉各个领域（目标检测识别等）中核心算法；3.将上述核心算法应用到各种复杂现实场景中；4.针对应用场景进行优化和定制；5.编写相关算法分析和优化报告。
任职要求：1.熟悉至少两种以上的深度学习算法，例如CNN或者LSTM等；2.熟悉至少一种主流机器学习、深度学习框架，包括SparkMLlib、Mahout、BML、PaddlePaddle、Caffe、Tensorflow等；3.具有相关应用背景者优先，例如做过跟踪、识别等应用项目、有手势识别经验重点优先；4.具有钻研和创造力，能够通过阅读论文学习最新算法和理论；5.要求责任心强，有良好的学习能力和协作精神，愿意接受挑战和承受工作压力要求。

"
机器学习技术经理,30k-50k,招商银行信用卡中心,"30k-50k,经验5-10年,本科","移动互联网,金融 / 上市公司","
职位描述：

工作职责：
1、负责图像识别、语义理解、语音识别相关的算法研究；
2、人工智能算法项目实施及优化；
3、对业界新应用和技术进展进行跟踪研究；
4、负责或参与技术团队的建设和管理。

任职资格：
1、全日制大学本科及以上学历，计算机、自动化、信息工程或相关专业，有机器学习或深度学习研究背景；
2、熟悉最新的深度学习和机器学习算法；精通自然语言处理、图像识别等人工智能领域相关理论和算法并具备丰富的工程项目实践经验；精通自然语言处理者优先；
3、熟悉大规模数据分析技术，掌握机器学习的相关技术；在统计或机器学习、文本分类或聚类、海量数据处理、分布式计算等方面有一定的理论功底和实践经验；
4、熟悉 Linux环境下的Java和 Python编程，有很强的算法实现能力；
5、对于原型开发和产品开发中可能遇到的各种新的技术和框架，能迅速熟悉使用，良好的分析解决问题能力；
6、有带团队经验和能力，具备良好的沟通能力和团队合作。

"
机器学习/数据挖掘算法工程师,15k-25k,百度,"15k-25k,经验3-5年,本科","移动互联网,数据服务 / 不需要融资","
职位描述：

-基于用户行为大数据开发搜索策略 
-直接改善搜索用户体验 
-用户行为分析与建模 
-负责因项目研发需要而赋予的其他工作职责

"
蚂蚁金服-搜索算法工程师/机器学习专家,20k-40k,蚂蚁金服集团,"20k-40k,经验不限,本科","金融,移动互联网 / B轮","
职位描述：

无论你是机器学习等相关知识的毕业生，数据科学家，ML攻城狮，还是你已经成功转行到这个队伍中来，喜欢并且勇于挑战实际的应用，-- 只要你对AI抱有极大的热情，对AI在金融领域的应用抱有信心，我们都欢迎你独到的见解！我们蚂蚁金服－金融核心数据算法团队，专注于研究在金融大数据驱动下的相关机器学习算法研究与应用，用AI和金融核心技术驱动蚂蚁金服的支付，财富，国际，微贷，网商，保险，信用等各业务高速与创新发展。 职位描述1、理解金融产品需求，能够运用数据挖掘，机器学习方法解决实际问题，主动为团队贡献想法；2、参与金融方面相关信息搜索、收集与提取核心技术研究与应用，挖掘海量金融数据下的可信信息3、针对金融业务场景，探索和创新相关搜索及排序算法，以提升产品质量职位要求1、具有计算机科学、统计学、数学相关学历及专业背景，掌握扎实的统计学，数据挖掘/分析/建模，机器学习等理论，两年以上研发工作经验；2、在自然语言处理或数据挖掘方向有较强的积累，对数据敏感，对使用机器学习解决金融系统问题有热情；3、曾参与构建过搜索引擎或推荐系统，掌握相关信息收集与提取核心技术，精通排序算法；4、研究分析业内智能算法平台产品以及优化技术方案，以改进产品功能和性能； 5、逻辑清晰、表达能力强，有良好的团队合作精神和主动沟通意识

"
机器学习和算法工程师,20k-40k,美团点评,"20k-40k,经验3-5年,本科","移动互联网,O2O / D轮及以上","
职位描述：

岗位职责：
1、对海量数据的处理，需要涉及包括信息检索、自然语言处理、机器学习、数据挖掘等领域；
2、对数据进行建模，分析影响系统的关键因素，规划、设计和实现新的解决方案，评估并优化模型；
任职资格：
1、具备数学、计算机科学或相关专业领域大学本科及以上学历；
2、扎实的数据结构、模型和算法设计与分析能力；
3、熟练Java 以及面向对象编程技术；
4、熟悉Linux/Unix 环境开发经验，会使用 Shell/Python等脚本语言；
5、熟悉分布式系统架构、设计和优化技术。

"
机器学习工程师,15k-30k,BitBays,"15k-30k,经验不限,本科","移动互联网,金融 / 不需要融资","
职位描述：

机器学习工程师：工作职责： 1、使用机器学习算法解决常见的业务问题，使用的算法包括常用的图像处理、自然语言处理算法、机器学习推荐算法等； 2、挖掘各种来源的非结构化数据 ；3、对数据进行建模，分析影响系统的关键因素，规划、设计和实现新的解决方案，评估并优化模型；
 任职要求： 1、计算机、数学或相关专业本科以上学历； 2、一年以上机器学习项目经验，有深度学习项目经验优先，善于将业务问题抽象为机器学习问题；3、熟悉常用的分类聚类算法，清楚了解算法原理并能做一定的改进； 4、了解深度学习模型如CNN、RNN、GAN等； 5、熟悉常用参数调整策略； 6、熟练掌握Java Python一种或多种； 7、熟悉常用的深度学习计算框架scikitlearn、对tensorflow熟悉者优先。 8、熟悉大数据开发者优先

"
机器学习工程师,20k-40k,有鱼金融科技,"20k-40k,经验5-10年,本科","移动互联网,金融 / B轮","
职位描述：

岗位职责：
1、利用机器学习或深度学习技术进行前沿人工智能技术研发；
2、负责图像识别、语义理解、语音识别相关的算法研究；
3、负责人工智能算法项目实施及优化；
4、对业界新应用和技术进展进行跟踪研究
5、负责或参与AI团队的建设和管理。

工作要求：
1、本科及以上学历，计算机、数学、统计等相关专业优先；
2、精通人工智能领域相关理论和算法，并具备丰富的项目实践经验；
3、熟悉大规模数据分析技术，掌握机器学习的相关技术 ； 
4、熟悉最新的深度学习和机器学习算法，精通自然语言处理者优先；
5、具有快速学习能力，能够高效使用各种新的技术和框架；
6、工作主动性强，勇于挑战和创新；
7、有带团队经验和能力，沟通表达能力和分析解决问题能力强；
8、在CVPR、 ECCV、 NIPS等计算机视觉顶级会议上发表过论文者优先考虑。

"
