jobname,money,company_name,p_bot,industry,job_bt
机器学习研发工程师,25k-50k,数美,"25k-50k,经验1-3年,本科","企业服务,数据服务 / B轮","
职位描述：

360、小米、百度等顶级互联网公司联合投资，顶级大数据公司
 

岗位职责：
1、基于数美海量数据进行数据建模与分析
2、对海量数据进行feature selection, combination等feature engineering工作 
3、针对海量用户行为数据，构建用户兴趣属性，金融属性画像，欺诈属性等多维度画像 
4、基于海量画像数据，构建金融风控，互联网反作弊，精准营销，垃圾内容等模型和服务

职位要求：
1、硕士及以上学历，机器学习或统计学习建模领域拥有实际工作经验；
2、良好的逻辑思维能力，能够从海量数据中发现有价值的规律，熟悉大规模数据挖掘、机器学习等基本算法；
3、编程基础扎实，熟悉算法数据结构，有超过2年以上C++或Python开发经验  
4、有金融模型、广告算法、推荐算法等相关领域研究或实践经验者优先；
5、 踏实勤奋，自我驱动  
 

公司福利待遇：
有竞争力的薪酬
期权奖励
五险一金+商业保险
午餐+晚餐补助
交通+通讯+电脑补贴
结婚+生育+丧葬+住院礼金
伯乐奖金
年假8天起+带薪病假
年度体检、零食畅享、团队建设、生日会、弹性办公


数美领先的大数据技术、产品与服务提供商
我们正在经历一个IT到DT的变革时代。大数据已经渗透到各个环节，各个角落。
这个世界，就是掩藏在表象之下，被数据所揭示的世界！
数美依托积累的海量数据、科技前沿技术， 极致的工匠精神和对数据的深度理解，提供领先的大数据产品与服务。 
我们正在寻找不平凡的你，和我们一起“发现数据之美”
欢迎投递简历

【关于数美】www.ishumei.com
 【关于数美】数美（全称北京数美时代科技有限公司）成立于2015年6月，是一家专业的大数据科技公司。数美依托先进的核心AI技术和海量的数据基础，致力于解决多场景欺诈问题，为客户提供专业、可信赖的服务。团队均来自百度、阿里、腾讯、360、小米等顶尖互联网公司，在大数据、人工智能、机器学习、金融风控等领域有着丰富的实践经验。目前，业务已覆盖金融、支付、直播、社交、电商、O2O等为代表的多个行业领域，其中包括中信银行、用钱宝、人人贷、51信用卡、360、小米、58同城、爱奇艺、熊猫直播、花椒、唱吧等知名企业，截止到2017年6月，服务客户突破1000家。作为大数据反欺诈专业品牌，数美将持续挖掘数据价值，为金融机构、互联网企业提供智能、创新的一站式反欺诈综合解决方案

…………………………………………………………………………
了解更多
数美公司介绍
https://www.ishumei.com/aboutUs/introduction.html 
数美团队介绍
https://www.ishumei.com/aboutUs/team.html 
数美产品介绍
https://www.ishumei.com/product/creditFengkong.html 
数美解决方案介绍
https://www.ishumei.com/solution/finance.html 


"
机器人调试工程师,8k-15k,钢铁侠科技,"8k-15k,经验不限,本科",硬件 / A轮,"
职位描述：

工作需求(全职)：1. 1年及以上机器人领域相关工程经验。（在校也可）2. 熟练使用C/C++或者Python编程语言。 3. 具备较为扎实的电气知识。4.了解机器人控制系统，熟练使用相关电子测试仪器。

"
机器学习工程师,25k-50k,滴滴出行,"25k-50k,经验3-5年,本科",移动互联网 / 不需要融资,"
职位描述：


通过机器学习技术打造司机体验建模、乘客信誉建模、司机构成分类、乘客留存建模等技术，结合机制设计进行利益分配促成良性生态，打造出行平台的长期增长引擎。任职资格：1. 计算机或数学相关专业毕业，有扎实的数据结构和算法基础，或者有较好的数学功底；2. 编程基础扎实，熟练使用至少一种常用的编程语言，包括但不限于：C++、Python、Scala、Go、Java、Matlab；3. 在机器学习或数据挖掘方向有较强的积累，熟悉经典的算法并有实践经验，包括LR、SVM、GBDT、Reinforcement Learning、Deep Learning；4. 有学习热情，关注业界前沿技术，follow人工智能国际会议研究动态，不断提升自己在机器学习、运筹优化、机制设计、数理统计。


"
高级视觉设计师,15k-30k,一起作业网,"15k-30k,经验3-5年,本科","移动互联网,教育 / D轮及以上","
职位描述：

岗位职责：
负责一起作业中学产品的视觉设计工作，基于对用户及产品的良好理解能力，准确高效的输出符合业务诉求视觉设计
 独立完成视觉概念设计提案及视觉设计
 分析行业设计动态，准确把握产品设计风格并升级迭代，提高设计质量
 负责制定、完善、优化设计流程和视觉规范，并跟进实施推进团队的设计产出
 
岗位要求：
有成功的移动端产品设计案例
艺术设计、工业设计、视觉传达等相关专业本科以上学历优先，扎实的美术功底与审美水平，良好的手绘功底
三年以上UI设计工作经验，具备iOS、Android平台产品的设计经验和快速学习能力
对移动产品的整体风格、视觉流程、操作流程有细致到位的设计能力
 关注用户体验设计，丰富的设计理论知识和对流行趋势敏锐的洞察力
 良好的沟通能力、富有工作激情、创造力和高度责任感

"
机器学习/数据挖掘专家,20k-40k,天猫,"20k-40k,经验1-3年,硕士","移动互联网,电子商务 / 上市公司","
职位描述：

岗位描述:
结合阿里的大数据和算法能力，提供赋能商家或品牌进行客户运营以及uni-marketing品牌营销相关的个性化推荐、人群生成与洞察、销量与趋势预测、营销投放、customer journey设计、内容生成等决策与辅助工具。具体工作职责如下：

1. 算法需求开发与优化，包括但不限于推荐系统、运筹优化、文本挖掘、预测与决策等方向；
2. 透过数据分析与实验设计快速验证商业假设；
3. 深入业务挖掘有商业价值的算法应用并进行技术预研和原型开发；
4. 跟踪最新机器学习进展。

岗位要求:
1. 计算机、运筹优化、数学相关专业硕士以上学历，算法相关工作经验一年以上；
2. 熟悉 Java、C/C++、Python其中一种开发语言，有数据结构与算法的基础；
3. 深入了解机器学习算法如 LR、GBDT、SVM、RL、DNN、CNN、RNN中的一部分或全部，有一定广度；
4. 乐于深入业务，成为业务专家，并能把业务和技术做有机的结合；
5. 出色的沟通能力，能承受一定工作压力，喜欢自我驱动的工作，有ownership。

有以下经验者优先：
1. 广告或商业类算法项目的实际经验
2. 有搜索引擎、推荐系统、大规模机器学习框架、深度学习应用、运筹优化、NLP等项目的实际经验
3. 长期跟踪机器学习领域的研究论文

"
资深机器学习专家,30k-50k,美团点评,"30k-50k,经验3-5年,硕士","移动互联网,O2O / D轮及以上","
职位描述：

职位描述1.各类机器学习算法优化（数据、特征、模型、实时）2.增强学习、Online Learning建模和优化3. 业务问题分析、目标确定、评估方案，并能针对性建模和优化
职位要求1. 2年以上工作经验，计算机、统计、信息工程硕士以上学历2. 精通机器学习算法，丰富的数据分析、挖掘、建模经验3. 优秀的业务理解、目标制定、沟通能力4. 优秀开发能力（SQL/Java/Python/R/Scala等），熟悉大数据开发平台（Hadoop/Hive/Spark/Storm)5. 熟悉LR、RF、GBDT、FFM等算法优先

"
视觉技术部-产品经理,18k-36k,百度,"18k-36k,经验1-3年,本科","移动互联网,数据服务 / 不需要融资","
职位描述：

工作职责:
-负责百度视觉技术部嵌入式，视频，图像产品的建设和维护，参与重量级人工智能产品建设
-跟进产品上线进展，分析用户行为，收集用户反馈和运营需求，对产品进行持续优化和改进
-辅助内外部项目的需求分析、设计、实施落地等工作
-对行业内相关信息进行搜集与分析，掌握行业及竞争对手的发展趋势及动态
职责要求:
-本科及以上学历
-熟悉互联网产品，熟悉人工智能行业和产品
-有成功的互联网产品经历，有项目管理经验，有人工智能产品经验者优先
-熟悉计算机视觉产品，熟悉相关产品研发流程，有相关产品经验者优先
-积极主动，有高度的责任心、耐心，工作认真负责
-逻辑思维清晰，能敏捷的发现产品问题，并推动方案解决
-具有较强的学习能力、沟通能力及团队协助能力

"
机器学习研发工程师,25k-50k,数美,"25k-50k,经验1-3年,本科","企业服务,数据服务 / B轮","
职位描述：

360、小米、百度等顶级互联网公司联合投资，顶级大数据公司
 

岗位职责：
1、基于数美海量数据进行数据建模与分析
2、对海量数据进行feature selection, combination等feature engineering工作 
3、针对海量用户行为数据，构建用户兴趣属性，金融属性画像，欺诈属性等多维度画像 
4、基于海量画像数据，构建金融风控，互联网反作弊，精准营销，垃圾内容等模型和服务

职位要求：
1、硕士及以上学历，机器学习或统计学习建模领域拥有实际工作经验；
2、良好的逻辑思维能力，能够从海量数据中发现有价值的规律，熟悉大规模数据挖掘、机器学习等基本算法；
3、编程基础扎实，熟悉算法数据结构，有超过2年以上C++或Python开发经验  
4、有金融模型、广告算法、推荐算法等相关领域研究或实践经验者优先；
5、 踏实勤奋，自我驱动  
 

公司福利待遇
有竞争力的薪酬
期权奖励
五险一金+商业保险
午餐+晚餐补助
交通+通讯+电脑补贴
结婚+生育+丧葬+住院礼金
伯乐奖金
年假8天起+带薪病假
年度体检、零食畅享、团队建设、生日会、弹性办公


数美领先的大数据技术、产品与服务提供商
我们正在经历一个IT到DT的变革时代。大数据已经渗透到各个环节，各个角落。
这个世界，就是掩藏在表象之下，被数据所揭示的世界！
数美依托积累的海量数据、科技前沿技术， 极致的工匠精神和对数据的深度理解，提供领先的大数据产品与服务。 
我们正在寻找不平凡的你，和我们一起“发现数据之美”
欢迎投递简历

【关于数美】www.ishumei.com
      数美由百度、小米、360等顶尖互联网公司联合投资的大数据公司，致力于利用人工智能技术和海量数据解决金融、互联网等领域广泛存在的欺诈问题，先后推出了信贷反欺诈、内容反欺诈、行为反欺诈等系列产品，      
     目前已服务数百家客户，覆盖直播、金融、支付、社交、电商、游戏、O2O等行业。其中包括中信银行、360、小米、58同城、爱奇艺、酷狗、用钱宝、点融、挖财、闪银、熊猫TV、花椒、唱吧等知名企业，并与腾讯云、金山云、七牛云等云服务提供商展开深度合作。
    数美的创始人唐会军在搜索、安全、语音识别等大数据领域拥有十余年研发经验，曾历任百度系统技术负责人、360高级技术总监等职位。创始团队均来自百度、360、小米、宜信、FICO等知名互联网公司，数美核心团队是国内最早一批从事大数据平台与应用研发的团队，曾负责过的大数据平台规模居全球前十。国际顶尖反欺诈技术，拥有十余项专利，同时在安全，反作弊、推荐，广告，语音识别等领域有着丰富的大数据成功应用经验。
           www.ishumei.com

"
高级视觉设计师,15k-30k,一起作业网,"15k-30k,经验3-5年,本科","移动互联网,教育 / D轮及以上","
职位描述：

岗位职责：
 1.根据策划要求来制作教学产品趣味化学习界面和图标的绘制；；
 2.独立完成视觉概念设计提案及视觉设计；
 3.分析行业设计动态，准确把握产品设计风格并升级迭代，提高设计质量；
 4.按照项目进度按时按质完成工作；

岗位要求：
 1.有成功的移动端产品设计案例；
 2.有良好的造型能力和色彩感；
 3.三年以上UI设计工作经验，有扎实的美术功底与审美水平,良好的手绘功底。
 4.良好的沟通能力，抗压能力，富有工作激情、创造力和高度责任感。

"
计算机视觉软件开发工程师,15k-30k,地平线机器人,"15k-30k,经验不限,本科","移动互联网,硬件 / C轮","
职位描述：

岗位职责
1、    负责基于深度学习的视觉算法SDK、智能云平台和服务器等算法产品的开发、优化和维护
2、    配合算法研发人员，开发和实现新算法，负责研究代码的工程化、封装、优化、测试等工作。
3、    基于产品需求和行业用户场景，进行技术方案设计和整合，参与系统搭建、调优和技术对接等工作
4、    参与算法相关自动化测试、数据处理等工具的开发和维护
职位要求
1、    本科或以上学历，计算机软件或相关专业
2、    熟练掌握C/C++，算法基础扎实，掌握常见设计模式，具有良好代码风格和质量意识
3、    熟悉Linux开发环境
4、    掌握图像/视频的基本处理方法
5、    有计算机视觉、深度学习、图形图像处理相关研发经验者优先
6、    了解GPU并行计算，熟悉CUDA或OpenCL编程者优先
7、    责任心强，有良好的沟通和团队意识

"
机器学习高级算法工程师,25k-45k,顺丰科技有限公司,"25k-45k,经验3-5年,本科","移动互联网,电子商务 / 不需要融资","
职位描述：

工作职责：
1. 负责顺丰同城智能物流调度算法的策略开发，数据挖掘与建模，主要面向同城即时物流调度场景；
2. 研究机器学习与数学建模的相关技术，并用于实际问题的改善和优化，以技术驱动用户体验提升与公司业务成长，体现技术价值。
 
职位要求：
1. 熟悉linux编程环境，熟练掌握C++与python开发；
2. 有机器学习、数据挖掘等相关领域的理论背景和相关工作经验；
3. 良好的逻辑思维能力，对数据敏感，能够发现关键数据、抓住核心问题。
4. 本科及以上学历，计算机相关专业背景
5. 良好的编程能力和代码风格；
6. 有即时物流调度系统开发经验者优先

"
UI设计师/视觉设计师,8k-15k,有路网,"8k-15k,经验3-5年,大专",移动互联网 / A轮,"
职位描述：

岗位职责：
1、负责公司多个APP及WEB产品UI设计，参与交互设计工作；
2、负责产品上线后相关宣传设计；
3、负责品牌推广、活动运营等视觉相关的平面设计工作；
4、优秀者可选拔为设计主管，管理设计组


工作要求：
1、大专及以上学历，美术、设计、艺术学等相关专业；
2、具备优秀的视觉表现能力，独立创作能力，思维敏锐； 3、具备良好的沟通能力和抗压能力，工作富有激情、创造力和责任感； 4、发送简历时请附带设计做的作品或作品链接。

"
自动控制工程师-智能机器人方向,18k-30k,京东金融,"18k-30k,经验3-5年,硕士",金融 / 上市公司,"
职位描述：

工作职责：
1、 设计机器人的控制/电动系统设计开发；
2、 研究并开发机器人自主定位算法；
3、 基于传感器和电子地图信息融合的全局可行驶路径的规划；
4、 将机械臂、SLAM、传感器数据以及视频分析进行无缝集成；
5、 与机械软件人员一起完成产品总装、调试，及时解决并处理调试中出现的问题。
任职要求：
1、熟悉自动控制原理及机器人运动学基础，熟练掌握C/C++, Python, Shell编程；
2、熟悉有刷/无刷电机, 控制系统及减速器系统, 能够根据机器人产品的硬件设计及产品功能设计合理选择电驱元器件；
3、精通ROS及ROS与单片机的通信，熟悉SLAM算法及机器人空间建模；
4、熟悉车辆控制PID算法，熟悉Kalman滤波和数据融合算法；
5、了解多轴/多自由度机械臂系统的设计思路和基本工作原理，对于机械臂工作原理以及各个生产厂家SDK开发包有一定了解；
6、了解常见的机器人传感器及其电气特性和工作原理.；
7、了解常见通信总线及协议的工作原理如CAN总线、RS485、 RS232、 I2C等；
8、了解仿真系统的使用, 例如动力学仿真, 运动学仿真. 熟悉接触力, 摩擦力分析；
9、对倒立摆模型, 对双足, 四足机器人姿态控制/平衡控制有所了解优先。

"
