company,bt
懂球帝,岗位职责 1 负责 懂球帝 基础 算法 服务 文本 相关 服务 开发 包括 主题 提取 文本 相似 文本分类 等 负责 懂球帝 多 语言 基础 词库 建设 优化 维护 条件 1 计算机 或 相关 专业 具有 一年 以上 自然语言处理 相关 工作 经验 扎实 编码 能力 熟练 使用 linux 下 CC Python go 语言 中 一种 开发 精通 统计 语言 模型 相关 机器学习 核心 算法 熟练掌握 自然语言处理 算法 技术 具有 分词 新词发现 实体词 抽取 文本分类 舆情分析 等 相关 项目 经验 较强 分析 问题 解决问题 能力 工作 踏实 上 进 有 良好 团队 合作 意识
云孚科技,1   文本挖掘 相关 系统 研发 2   行业 知识图谱 研发 3   NLP 底层 模块 优化 1   有 一定 NLP 项目 研发 经验 2   熟悉 Python 3   学习 能力 强 责任心 强 4   有 创业 心态 渴望 成功
搜狗,岗位 说明 :   1 负责 搜狗 知音 引擎 语义理解 技术 研究   2 负责 意图分类 query 改写 命名实体识别 等 算法 优化   3 负责 语义理解 中所 需 知识 挖掘 资格   1 计算机 或 相关 专业 硕士 研究生 以上学历   2 精通 C 或 Java 编程语言 熟悉 Linux 平台   32 年 以上 nlp 数据挖掘 相关 经验 有 对话 理解 相关 经验 者 优先   4 良好 团队 合作 精神 较强 沟通 能力 搜狗 语音 简介 :     搜狗 智能 语音 致力于 打造 业界 领先 以 语音 为主 多 模态 输入 理解 以及 表达 人工智能 技术 目前 技术 方向 涵盖 了 语音识别 声纹识别 手写 识别 语音 合成 语义理解 对话系统 等 多个 方面 具备 了 从 研发 到 技术 输出 完整 能力
逸途科技,维护 优化 现有 语义 引擎 基于 自然语言 及 深度 学习 技术开发 下一代 智能问答 系统 开发 api 接口 以便 外部 系统集成 组织协调 研发 团队 进行 知识库 机器学习 等 方面 研究 协同 配合 工作 建立 各 场景 之 知识图谱 计算机软件 或 相关 专业本科 以上学历 三年 以上 自然语言 开发 经验 并 熟悉 相关 算法 开发 悉 常用 机器学习 算法 对 深度 学习 有 较 深 理解 具有 人机对话 搜索引擎 知识库 等 相关 项目 经验 对 英文 技术 文献 具有 基础 阅读 理解能力 思路清晰 逻辑 能力 强 良好 敬业精神 团队精神 乐于 学习 以及 热爱 技术 研发
数美,— — 分析 处理 海量 用户 文本 数据 — — 对 文本 数据 进行 特征抽取 — — 构建 机器学习 模型 区分 用户 行为 — — 计算机 或 相关 专业 具有 一年 以上 自然语言处理 相关 工作 经验 — — 熟悉 python 及 相关 机器学习 工具 — — 精通 统计 语言 模型 相关 机器学习 核心 算法 — — 熟练掌握 自然语言处理 算法 技术 具有 分词 新词发现 实体词 抽取 文本分类 舆情分析 等 相关 项目 经验 — — 熟悉 hadoop spark 等 分布式 平台 关于 数美 wwwishumeicom     数美 全称 北京 数美 时代 科技 有限公司 成立 于 2015 年 6 月 是 一家 专业 大 数据 科技 公司 数美 依托 先进 核心 AI 技术 海量 数据 基础 致力于 解决 多 场景 欺诈 问题 为 客户 提供 专业 可信赖 服务 团队 均 来自 百度 阿里 腾讯 小米 等 顶尖 互联网 公司 大 数据 人工智能 机器学习 金融 风控 等 领域 有着 丰富 实践经验 目前 业务 已 覆盖 金融 支付 直播 社交 电商 O2O 等 为 代表 多个 行业 领域 其中 包括 中信银行 用钱 宝 人人 贷 51 信用卡 小米 58 同城 爱奇艺 熊猫 直播 花椒 唱 吧 等 知名企业 截止 到 2017 年 6 月 服务 客户 突破 1000 家 作为 大 数据 反 欺诈 专业 品牌 数美 将 持续 挖掘 数据 价值 为 金融机构 互联网 企业 提供 智能 创新 一站式 反 欺诈 综合 解决方案 … … … … … … … … … … … … … … … … … … … … … … … … … … … … 了解 更 多数 美 公司 介绍 https : wwwishumeicomaboutUsintroductionhtml 数美 团队 介绍 https : wwwishumeicomaboutUsteamhtml 数美 产品 介绍 https : wwwishumeicomproductcreditFengkonghtml   数美 解决方案 介绍 https : wwwishumeicomsolutionfinancehtml  
泛微,利用 相关 技术 算法 提供 文本 分析 相关 基础 方案 服务 针对 海量 文本 内容 进行 中文分词 语义识别 自动聚类 等 文本挖掘 工作 负责 搭建 相关 机器学习     大 数据计算平台 负责 数据 业务 紧密 集合 熟练掌握 自然语言处理 NLP 相关 理论 技术 方法 熟练掌握 使用 java 数学 正则 至少 掌握 一种 脚本语言 熟悉 中英文分词 词性标注 实体识别 句法分析 自动文本分类 关键值提取 等 自然语言处理 技术 熟悉 语义分析 方法 技术 相似度计算 本体理论 语义推理 等 熟悉 人机对话 前沿 方向 研究 方向 熟悉 了解 人工智能 机器学习 等 领域 前沿 方向 研究 动向 具备 将 机器学习 自然语言处理 理论 转化 为 实践 能力 具有 相关 项目 研发 经验 者 项目 主要 参 人员 优先        
通达海,至少 2 年 以上 自然语言处理 NLP 开发 经验   2 熟悉 常用 算法 数据结构 至少 熟悉 java pthon shell 中 一种 语言 开发   3 熟悉 分词 实体识别 新词发现 关键词 抽取 文本分类 知识图谱 等 自然语言处理 算法 应用 熟悉 分类 聚类 情感分析 协同过滤 等 常用 机器学习 数据挖掘 算法 对 搜索引擎 推荐系统 有 一定 了解 计算机科学 数学 统计 等 相关 专业 优先 具有 组建 团队 能力 或 经验 者 优先
roobo,负责 词法 分析 自动对话 语义挖掘 语言 逻辑 等 相关 研究 工作 负责 NLP 前沿 问题 研究 结合 未来 实际 应用 场景 提供 技术 解决方案 工作 有 自然语言处理 机器翻译 计算机视觉 语音识别 等 领域 全球 领先 企业 工作 经验 精通 至少 一种 技术 语言 包括 但 不 限于 java CC C python 等 世界 顶尖 会议 IJCAI AAAI CVPR ICML 等 发表 过 文章 优先 有 深度 学习 学术 或 工程项目 经验 优先
考拉阅读,负责 题库 内容 信息抽取 信息检索 内容 质量检查 等 NLP 相关 项目 本科 以上学历 一年 以上 NLP 开发 经验 算法 数据结构 基础 扎实 熟练掌握 各种 NLP 算法 掌握 常用 机器学习 算法 理解 常用 模型 有 搜索引擎 推荐 引擎 相关 项目 者 优先 Python C Java 均 可
金山办公软件,结合 业务 需求 负责 文本 特征提取 文本分类 主题模型 等 技术 应用 资格   1 熟练掌握 自然语言处理 算法 技术   2 扎实 编码 能力 熟练 使 CC Python Java 其中 一种 语言   3 计算机 或 相关 专业 有 主题模型 机器学习 hadoop 经验 者 优先   4 较强 沟通 能力 团队 合作 精神
搜狗,项目 介绍 随着 智能 时代 到来 人们 对 信息 获取 效率 方式 有 了 更 高 期望 我们 正 通过 技术手段 让 信息 获取 变得 更加 便捷 基于 深厚 积淀 自然语言处理 大 数据挖掘 深度 学习 等 技术 智能问答 能够 准确 理解 用户 信息 需求 高效 提炼 互联网 海量 数据 形成 优质 知识库 通过 语义理解 知识 计算 以 精准 答案 方式 响应 用户 信息 查询 需求 我们 正 搜索 场景 提供 精准 问答 功能 每天 服务 亿万 网民 我们 努力 打造 最 优秀 中文 问答 对话 服务平台 背靠 智能问答 服务 搜狗 汪仔 机器人 国内 著名 知识问答 节目 《 一站 到底 》 中 战胜 最强 人类 选手 我们 正 更 多 场景 更好 提供 问答 对话 服务 我们 使命 是 让 信息 获取 更 简单 诱惑 公司 战略重点 项目 人工智能 自然语言处理 领域 集中体现 搜索引擎 未来 发展 方向 1 负责 自然语言处理 基础 工具 开发 改进 应用 包括 用户 查询 意图识别 查询 改写 等 效果 改进 工作 2 负责 自动 摘要 情感分析 文本挖掘 等 效果 改进 工作 3 从事 智能问答 系统 研发 改进 问题 答案 语义 相关性 计算方法 为 搜索 用户 提供 精准 答案 条件 1 计算机相关 专业 研究生 及 以上学历 2 自然语言处理 信息检索 模式识别 等 领域 有 较 好 研究 经历 有 NLP 相关 技术 背景 或 开发 经验 优先 3 具备 较 好 C 或 Java 开发 能力 具备 较 好 算法 基础 逻辑 归纳 能力 强 4 有 工作 热情 沟通 能力 较 好 团队 意识 强
