company,bt
搜狐集团,1   给 客户端 推荐 引擎 提供 NLP 相关 技术支持 将 NLP 技术 应用 于 推荐 相关 新闻 搜索 等 任务 中 2   以 NLP 技术 为 基础 结合 数据挖掘 技术 探索 客户端 新 产品 形态 提升 客户端 用户 体验 1   计算机相关 专业 硕士 以上学历 三年 以上 工作 经验 2   有 NLP 领域 理论 基础 实践经验 开发 过 推荐系统 搜索引擎 智能问答 广告 等 相关 方向 大型 系统 有 知识图谱 构建 经验 者 优先 3   至少 精通 java C 其中 一种 语言 熟悉 linux 下 shell 编程 至少 掌握 一门 脚本语言 4   具有 极佳 团队 合作 能力 自我 驱动 能力
ZingFront智线,工作 内容 高性能 服务 海量 数据处理 2 数据 抓取 特征 挖掘 模型 计算 3 检索 策略 优化 分析 设计 开发   能力 熟悉 各类 数据挖掘 机器学习 相关 算法 逻辑思维 清晰 对 数据 敏感 2 熟悉 CC Python 语言 及 Shell 编程 并 开发 过 不 太小 项目 熟悉 Linux 平台 及 Hadoop 系 工具 使用 3 有 大规模 高性能 互联网 网站 系统 相关 设计 开发 经验 者 优先 4 具备 良好 学习 能力 成长 潜力 渴望 团队 一起 快速 成长
触宝,设计 并 实现 客户端 服务器端 输入法 预测 引擎 NLP 科学家 一起 将 deep   learning 技术 落地 到 产品 端 使用 用户 体验 数据挖掘 引擎 相关 数据 并 使用 数据 来 提升 输入法 引擎 用户 体验 提供 多 语言 多 地区 输入法 引擎 功能 线 模型 离线 模型 融合 算法 研究 实现 滑行 输入法 研究 改进   基本 计算机 或 相关 专业 学士学位 至少 两年 CC 编程 经验 具有 复杂 数据结构 算法 设计 实现 能力 至少 具备 一次 相关 项目 经验 具备 自然语言处理 机器学习 文本挖掘 推荐系统 相关 知识 深刻理解 相关 基础 算法 具有 一定 数据分析 建模 能力 至少 具备 一次 应用 数据 解决问题 经验 熟练 使用 Linux 熟练 使用 Python Shell 流利 掌握 中文 或 英文 很强 自我 驱动力 结果 导向 并 极具 责任感 有 激情 毅力 正 能量 有 良好 沟通 能力 团队 协作 精神   锦上添花 需求 精通 自然语言处理 机器学习 文本挖掘 推荐系统 中 一项 或 多项 具有 设计 实现 输入法 引擎 经验 对 语言 模型 有 深入 理解 掌握 深度 学习 相关 技术 具有 语料 处理 相关 经验
一起作业网,负责 题库 内容 信息抽取 信息检索 内容 质量检查 等 NLP 相关 项目   二 本科 以上学历 一年 以上 NLP 开发 经验 算法 数据结构 基础 扎实 熟练掌握 各种 NLP 算法 掌握 常用 机器学习 算法 理解 常用 模型 有 搜索引擎 推荐 引擎 相关 项目 者 优先 Python C Java 均 可
同盾科技,岗位职责 1   熟练掌握 各种 主流 机器学习 算法 基础 上 寻找 并 构建 有效 内容 文本 聊天 等 安全 解决方案 并 可以 落地 且 产生 业务 价值 2   整理 分析 海量 数据 合理 文本 及 语义 抽取 特征 结合实际 需求 实现 文本挖掘 算法 线 调优 来 实现 风险 预测 预警 3   应用 机器学习 自然语言 分析 及 数据挖掘 技术 对 用户注册 信息 语言 文本 记录 分析 实现 论坛 直播 等 网站 不 合规 内容 智能 过滤 拦截 4   制定 有效 项目 进度 管理机制 按照 项目 计划 推进 项目 研发 工作 1   有 自然语言处理 领域 应用 深度 学习 技术 实践   2   具有 丰富 建模 经验 能 独立 解决问题   3   具有 3 年 以上 知名 公司 文本 反垃圾 经验 优先 考虑   4 良好 团队 意识 具备 一定 领导 能力
新浪网,1   应用 前沿 NLP 技术 进行 新浪微博 内容 语义分析 涉及 文本分类 主题 识别 实体识别 概念 提取 内容 生成 等 2   基于 新浪微博 用户 行为 数据 建立 精准 用户 画像 推荐 模型 并 应用 于 商业 变现   1   熟练掌握 以下 至少 一门 编程语言 Java Scala Python 熟悉 Linux 开发 环境 2   良好 算法 基础 编程 功底 3   熟练掌握 NLP 技术 如 分词 实体识别 语言 模型 主题 提取 等 熟悉 机器学习 数据挖掘 常用 技术 4   熟练掌握 大 数据处理 技术 包括 但 不 限于 Hadoop Hive Storm Spark KafkaHbase 等 有 较 强 数据 ETL 能力 5   对 技术 研究 有 热情 愿意 挑战 新 算法 新 领域 对 前沿 研究 领域 保持 敏感
源杉FIR.ai,- 至少 2 年 以上 机器学习 或 自然语言处理 相关 工作 经验 熟悉 基本 NLP 库 能 自如 使用 正则 有 贡献 相关 开源 项目 经验 者 尤佳 - 熟练 使用 Python 语言 熟悉 各种 Python 工具 - 熟练掌握 一种 以上 语言 CC   Java   Golang   Scala - 负责 文本 信息 中 知识 提取 以及 结果 优化 对 知识图谱 有 深入 了解 优先 考虑 - 首席 科学家 帮助 下 探索 利用 最前沿 NLP 技术 解决问题 - 有 极强 数据分析 处理 能力 ; - 参 公司 项目 原型 开发 - 有 自主 学习 能力 良好 中 美 团队 沟通 能力 - 本科 及 以上学历 计算机 及 相关 专业 优先 - 有 创业 激情 抗压 能力
京东商城,三个 方向 语义理解 上下文 文本挖掘 1   具有 3 年 以上 自然语言 分析 相关 工作 经验 包括 语法分析 文本处理 等 研究生 及 以上学历 2   熟练掌握 自然语言处理 领域 基础理论 方法 3   熟练掌握 一门 以上 计算机 语言 c java 优先 4   有 智能 对话 机器学习 深度 学习 经验 优先
海知智能,应用 自然语言处理 技术 实现 实体识别 意图识别 情感分析 等 对话系统 中 相关 工作 2 应用 文本挖掘 技术 实现 文本 聚类 分类 知识 提取 知识图谱 构建 等 研发 工作岗位   1 计算机 统计学 相关 专业本科 以上学历 1 年 以上 相关 实习 或 工作 经验 熟悉 自然语言处理 文本挖掘 关键技术 有 中文 NLP 经验 者 优先 了解 自然语言处理 基本 算法 概念 如 分词 词性标注 等 熟练 使用 以下 编程语言 中 至少 一种 Java   C 熟练 使用 以下 脚本语言 中 至少 一种 Python   Perl   R 等 良好 编程能力 算法 设计 能力 具备 大规模 语料 数据处理 经验 者 优先 有 较 强 分析 问题 解决问题 能力   良好 沟通 能力 团队 协作 精神 有 开源 项目 经验 优先
滴滴出行,岗位职责 1   从事 人工智能 自然语言处理 语义理解 等 算法 研究 系统 研发 1   本科 及 以上 学位   2   熟悉 机器学习 相关 算法 3   熟悉 常见 自然语言处理 算法 对于 语义理解 有 经验 者 优先 4   熟悉 掌握 CC ＋ ＋   脚本语言 编程 如 Shell   Python   Perl   Lua 等     5   具有 良好 沟通 能力 良好 团队 合作 精神
网龙网络有限公司,研究 自然语言处理 领域 前沿技术 从 系统 应用 角度 利用 自然语言处理 理论 方法 解决 实际 问题   自然语言处理 模式识别 机器学习 以及 相关 专业 硕士 以上学历 熟练掌握 主要 自然语言处理 算法 熟练掌握 主要 模式识别 机器学习 算法 良好 C ／ C   Java   python   Linux   SHELL 等 编程能力 良好 沟通 能力 组织协调 能力 有 搭建 英语 作文 自动 批改 系统 问答系统 经验 优先 考虑
Moka,岗位职责 负责 业务 数据 分析 理解 挖掘 驱动 产品 创新 根据 业务 场景 建立 模型 并 利用 NLP 机器学习 等 方法 解决 如 命名实体识别 语义分析 匹配 等 实际 问题 计算机 或 相关 专业 硕士 及 以上学历 丰富 中文 NLP NLU 经验 丰富 机器学习 经验 深度 学习 经验 更佳 主导 过 NLP 项目 或 参 过 大型 NLP 项目 熟练 使用 NLP ML 相关 开源 工具 开发 框架 如 NLTK stanford NLP TensorFlow Theano Caffe 等 主人翁 意识 以 结果 为 导向 思路 灵活 善于 创新 不 为 固有 方法 所 束缚 如 寻找 相关 paper 并 快速 验证 效果 穷尽 办法 收集 training   data 等 优秀 开发 能力 能够 独立 从 0 搭建 高质量 NLP 项目
好未来,1   负责 学而思 网校 自然语言处理 NLP 相关 项目 研发 优化 2   负责 NLP 相关 算法 研究 改进 应用 岗位 1   为 人 踏实 负责 喜欢 线 教育 行业 2   本科 及 以上学历 工作 5 年 及 以上 3   精通 cc python 了解 linux 开发 环境 4   5 年 以上 自然语言处理 NLP 开发 经验 包括 但 不 限于 分词 词性标注 文本分类 聚类 实体识别 关键词 抽取 热词 发现 文本 纠错 情感分析 语言 模型 机器翻译 问答系统 自动 摘要 知识 推理 等 5   责任心 强 具有 良好 沟通 能力 团队 合作 精神 6   有 句法分析 对话 管理 自动 摘要 知识图谱 相关 工作 经验 者 优先
上海你我贷互联网金融信息服务,                岗位职责 1   从事 中文 文本 语义分析 相关 研发 工作 ; 2   参 知识问答 多轮对话 智能聊天 相关 系统 开发 3   利用 深度 学习 提高 词法 分析 句法分析 文本分类 语义 相似 度 等 NLP 技术 性能 1   NLP 相关 专业本科 以上 或者 具有 1 年 以上 相关 领域 工作 经验 2   熟悉 深度 学习 原理 网络 架构 有 利用 深度 学习 进行 nlp 开发 经验 3   熟悉 python 语言 熟悉 keras 或者 tensorFlow 4   有 责任心 喜欢 分析 解决问题 对 NLP 领域 感兴趣                
猎户星空,人机交互 系统 中 自然语言处理 相关 核心技术 研发 人机交互 系统 线 服务 维护 相关 业务 开发 基于 大 数据分析 相关 算法 建立 内容 分类 模型 用户 画像 探索 自然语言处理 前沿技术 并 应用 于 垂直 领域 语义 解析 对话系统 个性化 推荐 等 系统 中 计算机相关 专业本科 以上学历 3 年 以上 NLP 相关 工作 经验 python C 项目 经验 有 机器学习 ML   自然语言处理 个性化 推荐 研究 或 用户 画像 建模 相关 背景 优先 熟悉 深度 学习 理论 算法 知识 PyTorchTensorFlowCaffeKeras Theano 等 有 参 过 自动 问答系统 对话系统 知识图谱 或 推荐系统 研发 经验 者 优先 有 创业 激情 良好 抗压 能力 团队精神
美团点评,1   负责 自然语言处理 NLP 深度 学习 机器翻译 机器学习 等 相关 方向 技术 研发 工作 2   负责 机器翻译 系统 研发 工作 2   负责 query 分析 相关 工作 包括 但 不 限于 query 纠错 改写 意图识别 分词 等 3   负责 数据 挖掘 处理 相关 工作     岗位 1   计算机相关 专业 方向 2 年 以上 工作 经验 2   有 NLP 深度 学习 机器翻译 机器学习 相关 项目 工作 经验 熟练 使用 如 tensorflow Theano Caffe 等 相关 研发 工具 3   有 较 强 算法 基础 编码 能力 4   有 良好 团队 合作 意识  
ZingFront智线,工作 内容 高性能 服务 海量 数据处理 2 数据 抓取 特征 挖掘 模型 计算 3 检索 策略 优化 分析 设计 开发   能力 熟悉 各类 数据挖掘 机器学习 相关 算法 逻辑思维 清晰 对 数据 敏感 2 熟悉 CC Python 语言 及 Shell 编程 并 开发 过 不 太小 项目 熟悉 Linux 平台 及 Hadoop 系 工具 使用 3 有 大规模 高性能 互联网 网站 系统 相关 设计 开发 经验 者 优先 4 具备 良好 学习 能力 成长 潜力 渴望 团队 一起 快速 成长
触宝,负责 新一代 触宝 输入法 研发 通过 NLP 技术 实现 对 用户 多维度 理解 提高 输入 效率 使 输入法 更加 智能化   深刻 掌握 机器学习 自然语言处理 数理 分析 基础理论 并 有 一定 实战经验   扎实 数学 基础 良好 数学 建模 能力   熟练掌握 各种 自然语言处理 相关 机器学习 模型 包括 但 不 局限于 语言 模型 MaxEnt Plsalda w2v CNNRNN 等   掌握 CC PHP Python Shell 等 至少 一门 常用 语言 熟悉 数据结构 算法 并 能够 合理 使用   熟悉 分布式 高性能 计算 系统 有 hadoop Spark mpi 等 开发 经验 者 优先   熟练 使用 机器学习 框架 TensorFlow pytorch 等   对 用户 产品 有 较 好 理解 认知 有 技术 驱动 产品 经验 者 优先   对 ner 对话系统 翻译 搜索 系统 等 某 一 领域 有 深入研究
阿里云,职责   语义 匹配 以及 分类器 研究 以及 实现 文本挖掘 以及 知识 体系 构建 智能问答 系统 研究 开发 岗位 : 自然语言处理 文本挖掘 机器学习 模式识别 等 相关 专业 硕士 博士 该 领域 有 很 好 技术 积累   相关 领域 3 年 以上 研发 经验   对 自然语言处理 以及 深度 学习 有 相关 了解 包括 但 不仅 限于 文本分类 词 向量 技术 文本挖掘 命名实体识别 等 擅长 使用 python 对 C 有 一定 了解 对 主流 深度 学习 框架 tensorflow 等 有 一定 了解 持续 跟进 相关 领域 学术界 进展 有 阅读 英文 论文 以及 实现 能力 很强 使命感 自我 驱动力
转转,整体 负责 自然语言处理 Topic 团队 负责 自然语言处理 相关 工作   包括 但 不 限于 文本分类 命名实体识别 句法分析 信息抽取 知识库 构建 主题词 识别 自动 摘要 智能问答 语义理解 话题 推荐 等 开发 一系列 基础 组件 支撑 整个 算法 团队 工作 NLP 需求
亿咖通科技,岗位 描述 1   利用 自然语言处理 机器学习 算法 对 海量 数据 进行 挖掘 分析 包括 但 不 限于 文本 聚类 语义理解 信息抽取 知识图谱 对话生成 等 2   参 开发 自然语言 对话系统 后 端 服务 应用 岗位 1   4 年 以上 Java 服务端 开发 经验 2   熟悉 Linux 操作系统 使用 3   Java 语言 基本功 扎实 具有 良好 面向对象 设计 思想 熟悉 常用 Java 设计模式 4   熟悉 机器学习 基本 算法 概念 如 逻辑 回归 神经网络 决策树 贝叶斯 分类器 支持 向量 机等 5   熟悉 自然语言 常见 算法 模型 如 n - gram word   embedding   sentence   embedding   LSALDA 等 6   熟悉 深度 神经网络 相关 概念 了解 常见 神经网络 模型 CNN   RNN   LSTM 等 7   熟悉 BP 算法 原理 并 能 使用 theano tensorflow 等 工具 进行 大规模 神经网络 模型 训练 加 分项 1   了解 搜索引擎 原理 熟悉 基于 Lucene 搜索 服务 框架 例如 Solr   ElasticSearch 2   熟悉 大 数据处理 平台 使用 如 Hadoop   Spark 等
沪江,- 负责 开发 提高 基础 NLP 模块 面向 多 语言 分词 词性标注 Text   Normalization 命名实体识别 指代 消歧 Parsing 等 - 负责 对话 过程 中 领域 场景 设计 及 开发 对应 Domain Intent Semantic   Slot 处理 模块 - 负责 开发 并 利用 文本分类 聚类 等 算法 来 进行 大规模 文本处理 - 负责 开发 面向 教育 知识图谱 为 对话系统 提供 支撑 - 负责 上述 系统 编程 测试 部署 资格 - 熟悉 自然语言处理 领域 基本概念 问题 包括 分词 词性标注 命名实体识别 语法分析 语言 模型 文档 分类 等 - 熟悉 自然语言处理 常用 技术 算法 包括 HMM CRF SVM 等 - 熟悉 深度 学习 技术 NLP 领域 理论 及 进展 包括 RNN Attention Seq2Seq 等 - 实际 从事 过 文本处理 相关 技术 工作 如 Query 解析 文本检索 对话 聊天 系统 知识问答 系统 机器翻译 情感分析 者 更佳 - 从事 过 话题 分析 多 轮次 自然语言 对话 候选者 最佳 - 熟悉 CC 语言 及 Python 等 脚本语言 编程 对 数据结构 算法 设计 有 较为 深刻 理解 - 有 相关 机器学习 背景 能够 跟踪 深度 学习 技术 者 更优 - 具备 优秀 逻辑思维 能力 善于 解决问题 分析 问题   - 有 强烈 上进心 求知欲 较强 沟通 能力 学习 能力
新浪网,1 负责 新浪 财经 APP 资讯 文本 特征提取 文本分类 情感分析 主题模型 等 算法 研究 改进       1   计算机 或 相关 专业 具有 三年 以上 自然语言处理 相关 工作 经验 2   熟练掌握 自然语言处理 算法 技术 具有 分词 新词发现 标签 提取 文本分类 舆情分析 等 相关 项目 经验 3   扎实 编码 能力 熟练 使用 linux 下 CC Python 语言 开发 4   熟悉 深度 学习 或 Hadoop storm Spark 等 常用 大 数据计算平台 者 优先 5   较强 分析 问题 解决问题 能力 工作 踏实 上 进 有 良好 团队 合作 意识
乐言科技,-   乐言科技 NLP 系统 算法 研发 包括 各 领域 NLP 基础 工作 研究 包括 并 不 限于 分词 词性标注 语法分析 语义分析 情感分析 命名实体识别 等 -   将 NLP 技术 应用 到 具体 产品 中 根据 不同 产品 属性 进行 算法 优化 能力 -   熟练掌握 Java 一种 脚本语言 -   有 自然语言处理 相关 经验 熟悉 分词 标注 等 NLP 基本 模块 -   了解 常用 机器学习 算法 工具 -   有 一定 学习 能力 能够 阅读 相关 英文 文献 跟踪 学术 行业动态 -   有 系统 编程 经验 者 优先 待遇 -   精干 业界 顶尖 团队 合作 团队 包括 前 IBM 谷歌 微软 阿里 百度 携程 研发 人员 -   快速增长 中 人工智能 企业 软件产品 成长 发展 空间 大 -   有 竞争力 薪水 早期 期权 -   交通 便利 福利 多多 带薪 年 假 15 天
一览科技,负责 音视频 文本 特征提取 系统 研究 设计 及 开发 2 负责 视频 网站 知识图谱 建设 3 负责 词法 句法分析 文档 摘要 情感分析 等 基础 算法 研发 计算机 或 相关 专业 具有 两年 以上 自然语言处理 相关 工作 经验 2 扎实 编码 能力 熟练 使用 linux 下 CC Python 语言 开发 3 精通 统计 语言 模型 相关 机器学习 核心 算法 4 熟练掌握 自然语言处理 算法 技术 具有 分词 新词发现 实体词 抽取 文本分类 舆情分析 等 相关 项目 经验 5 较强 分析 问题 解决问题 能力 工作 踏实 上 进 有 良好 团队 合作 意识
金山办公软件,1 对 产品 用户 行为 数据 分析 挖掘 协助 构建 用户 数据模型 研究 互联网 产品 用户 变化 用以 支持 各项 决策 2   因 项目 研发 需要 而 赋予 其他 工作 职责 资格 具备 扎实 数学 计算机科学 功底 以及 坚实 数据挖掘 机器学习 理论 基础 2 具有 扎实 数据结构 算法 功底 掌握 CC PythonRJava 等 至少 一门 高级 编程语言 3 熟悉 hadoophbasehivempi 任意 一项 技术 精通 MR 编程 有 源代码 阅读 经验 者 优先 4 具备 良好 逻辑 分析 能力 解决 实际 问题 能力 5 有 成功 数据挖掘 应用 经验 优先 6 2 年 以上 工作 经验
恒生电子,1 参 公司 底层 自然语言处理 产品 技术 架构设计 核心 模块 开发 2 负责 公司 产品 相关 产品 自然语言处理 技术开发 工作 1 硕士 以上学历 至少 1 年 以上 自然语言处理 经验 2 有 扎实 数据结构 算法 功底 熟悉 自然语言处理 相关 理论 分词 文本挖掘 知识 抽取 知识图谱 机器学习 自动 摘要 等 有 深度 学习 背景 更佳 3 熟练掌握 自然语言处理 相关 理论 方法 并 有 一定 相关 研究 或 项目 经验 4 具有 独立 分析 问题 解决问题 能力 对 解决 具有 挑战性 问题 充满 激情 5 熟悉 Java Python 语言 优先 考虑 有 相关 项目 经历 优先 核心 期刊 发表 过 自然语言处理 相关 论文 优先 自然语言处理 竞赛 或 机器翻译 评测 中 取得 靠前 名次 优先
普强信息,负责 大规模 文本处理 包括 文本 预处理 分词 分类 等 负责 特定 领域 命名实体识别 计算机 模式识别 相关 专业 本科 及 以上学历 熟练掌握   JAVAPython ; 3 熟悉 Linux MySQL4 熟悉 机器学习 算法 自然语言处理 并 有 相关 项目 经验 优先
智课网,岗位 需求 精通 JavaCC 编程 熟练掌握 自然语言处理 机器学习 基础理论 方法 对 其中 某 方面 核心 算法 理解 透彻 有 实际 工程 经验 熟悉 LinuxUnix 操作系统 对 解决 具有 挑战性 问题 充满 激情 加 分项 有 文本校对 评测 经验 从事 过 深度 问答 项目 问题 理解 语义分析 答案 推理 计算 等 研发 工作 从事 过 句法分析 命名实体识别 知识图谱 等 nlp 相关 工作 有 独立 app 开发 经验 上线 产品 具有 深度 神经网络 DNN 理论 基础 及 实战经验 者 对于 语言学 有 一定 了解
美团点评,基于 美团点评 业务 场景 提供 人工智能 解决方案 用 自然语言处理 技术 语义分析 方法 实现 相关 模型 建立 实践 构建 用户 画像 知识图谱 人工智能 前沿 问题 探索 研究 工作 扎实 算法 基础 精通 NLP 相关 算法 模型 熟悉 JavaCC Python 等 编程语言 有 Tensorflow   Caffe2   Theano 等 深度 学习 框架 自然语言处理 结合实际 项目 经验 者 优先 熟悉 面向 文本 CNN RNN LSTM Sequence   to   sequence GAN 等 模型 者 优先 了解 Attention Memory 机制 Deep   Learning 中 实际 应用 者 优先 熟悉 大规模 知识 挖掘 表示 推理 建模 及 应用 者 优先 熟悉 Word2Vec Doc2Vec 等 embedding 模型 及 应用 者 优先 熟悉 KBQA IR - based   QA 等 技术 者 优先 知识图谱 智能问答 搜索引擎 推荐系统 等 领域 有 实际 项目 经验 者 优先 GitHub 上 发布 贡献 流行 开源 项目 者 优先 计算机 学会 A 类 国际 期刊 会议 如 ACL AAAI IJCAI NIPS 等 上 发表 过 第一 作者 论文 优先
达闼科技,设计 实现 包括 智能 对话系统 内 智能 应用 自然语言处理     扎实 计算机软件 基础 熟练 使用 CC 或 python 编程语言 熟悉 NLP 相关 算法 对 NLP 系统 有 较 深 认识 有 搜索 推荐 机器学习 等 相关 背景 优先 强烈 责任心 良好 沟通 协作 能力 良好 学习 能力   工作 地点 北京 成都
世纪超星,1 负责 文本处理 相关 研发 工作 包括 但 不 限于 海量 非 结构化 文本 数据 数据挖掘 自然语言 NLP 处理 信息抽取 智能问答 知识图谱 语义理解 意图识别 机器翻译 机器 写作 等 2 负责 NLP 算法 教育 产品 方向 上 创新 尝试 3 负责 产品 开发 一同 将 各种 算法 进行 产品化 4 负责 以上 算法 产品 应用 相关 专利申请 需求 1 计算机 信号处理 自动化 等 相关 专业 本科 以上学历 具备 一定 模式识别 语音 相关 方面 理论知识 2 语音 相关 领域 英文 文献 阅读 无障碍 具备 中英文 学术论文 调研 能力 有 从事 研究型 项目 经历 3 了解 自然语言处理 基础理论 方法 了解 中文分词 语义分析 文本 聚类 情感分析 实体识别 等 基础 算法 应用 4 熟悉 Linux 系统 具备 较 好 C C java 或 python 编程能力 有 一定 代码 开发 经历 5 对 数据 敏感 善于 思考 具备 不断 发现 并 解决问题 能力 6 工作 踏实 上 进 有 良好 团队 合作 意识 满足 以下 条件 优先 考虑 1   熟悉 RNN CNN 等 深度 学习 算法 及其 常用工具 如 TensorFlow Caffe CNTK 等 2   有 线 教育 NLP 方向 研究 应用 开发 经验 者 员工 入 职后 会 国内 工作 半年 至 一年 工作 地点 可 选 北京 南京 随后 公司 会 对 员工 进行 考核 考核 合格 后 可 派 往 美国 进行 常驻 美国 工作 地点 加州 硅谷
阿博茨科技,  1   负责 自然语言处理 NLP 相关 研发 工作   包括 但 不 限于 文本分类 聚类 命名实体识别 句法分析 信息抽取 智能问答 知识图谱 语义理解 意图识别   机器翻译   机器 写作 等 ;   2   负责 核心 业务 及 工具 产品 构建   3   知识图谱 构建   1   计算机相关 专业本科 以上学历 3 年 以上 相关 工作 经验   2   有 较 强 算法 基础 编码 能力   3   具备 深度 学习 经验 优先   4   对 数据 敏感 善于 思考 具备 不断 发现 并 解决问题 能力   5   工作 踏实 上 进 有 良好 团队 合作 意识
InnoTREE,岗位职责 : 1 针对 海量 文本 内容 进行 中文分词 语义识别 实体识别 新词 发   现 自动 文本 聚类 情感分析 等 文本挖掘 工作   2 支持 公司 金融 知识图谱 产品 结合 良好 金融 知识 体系 挖掘   实体 属性 以及 式 实体 间 相关性   1 自然语言处理 相关 专业 毕业 熟悉 掌握 自然语言处理 基本 理论   方法 熟悉 中文分词 语义分析 文本 聚类 情感分析 等 基础 算法   应用 2 熟悉 机器学习 数据挖掘 理论 有 相关 经验 者 优先 3 拥有 实际 文本挖掘 项目 经验   4 掌握 cc Python 系统 开发 有 hadoop 开发 经验 熟悉 linux   下 shell 编程 至少 掌握 一门 脚本语言   5 对 金融 投资 领域 知识 有 浓厚 兴趣
江村市隐,负责 文献 数据 收集整理 分析 对 多种 数据源 进行 数据 抽取 集成 清洗 转换 等 协助 设计 自然语言处理 算法 并 实现 行业 知识图谱 或 问答系统 定期 优化 算法 策略 提供 建设性 建议 协助 技术 经理 构建 自然语言处理 构架 及时 了解 产业 技术 发展 情况   良好 英文 资料 及 文献 阅读 能力 熟悉 自然语言处理 方法 会 使用 Python 较强 数据 敏感度 逻辑 分析 能力
达观数据,研究 语义 建模 自然语言 理解 机器 阅读 文本分类 等 NLP 关键 前沿技术 研发 工作 2 探索 深度 学习 Deep   Learning 自然语言处理 领域 中 应用 实现 切实有效 深度 学习 模型 3 构建 各种 机器学习 文本 数据挖掘 实用化 工具   1 计算机 统计 数学 及 相关 专业 硕士 及 以上学历 2 具备 自然语言处理 及 机器学习 方面 基础理论 知识 有 相关 实战 项目 经验 者 优先 3 熟悉 常用 编程语言 如 Python Java 等 有 扎实 编程能力 4 思路清晰 主动性 强 有 很 强 自我 驱动力 5 责任心 强 能 承受 工作 压力 良好 沟通交流 能力 能 迅速 融入 团队
学霸君,1   使用 NLP 知识图谱 前沿技术 开发 面向 教育领域 自然语言 解析 引擎 2   参 自然语言处理 各 模块 依存 句法分析 语义理解 机器翻译 改进 1   硕士 及 以上学历 精通 自然语言处理 技术 3 年 以上 工作 经验 有 信息抽取 知识 推理 机器翻译 相关 经历 2   有 句法分析 引擎 开发 调试 经验 熟悉 semantic   parsing 相关 技术 3   精通 主流 机器学习 深度 学习 模型 熟悉 至少 一个 深度 学习 训练 库 4   较强 自我 驱动 意识 喜欢 创新 挑战 较强 分析 问题 解决问题 能力
Eyespage,利用 自然语言处理 机器学习 算法 支持 搜索引擎 架构 包括 但 不 限于 语义理解 文本分类 知识图谱 ChatBot 自动 摘要 等 1   计算机科学 机器学习 或 其他 相关 专业 全日制 统招 本科 及 以上学历   扎实 算法 编程能力 ; 2   希望 候选人 英语 达到 四级 水平 3   熟练掌握 JavaPython 高级 编程语言 4   熟悉 机器学习 常用 分类 回归 聚类 模型 优化 算法 5   熟悉 或 理解 自然语言处理 中 词法 语法 语义分析 问题 如 分词 词性标注 命名实体识别 信息抽取 词义 消歧 主题模型 等 6   熟悉 或 理解 自然语言处理 常用 算法 如 WORD2VEC CRF LDA LSA SVD 等 7   熟悉 或 理解 至少 一种 深度 学习 模型 算法   如 DNN CNN RNN LSTM 等 8   有 互联网 搜索 相关 工作 经验 优先 我们 理念 是 做 中国 百姓 实用 产品 对 科技 探索 让 我们 可以 把 大 数据 人工智能 结合 一起 服务 于 普通 民众 Eyespage   创始人 是   Jack   Zhou   2001 到 2006 年 五年 时间 里 Jack 美国宾夕法尼亚大学 实验室 里 跟随 美国 著名 科学 总统 奖 获得者 Lyle   Ungar 教授 沃顿 商学院 教授 Dean   Foster 研究 人工智能 算法 2006 年 Jack 获得 宾大 硕士 博士学位 2006 到 2014 八年 时间 里 Jack 打破 美国 职业 天花板 一家 全球 大型 公司 美国 分公司 成为 唯一 由非 美国 人 担任 副总裁 领导 Google 合作项目 硅谷 Jack 一家 著名 高科技 企业 担任 首席 科学家 Jack 同事 努力 下 这家 公司 以 15 亿美元 被 收购 Eyespage   不同之处 于 公司 跨地区 流动 跨 种族 团队 给 年轻人 提供 了 无 伦比 人生 视野 发展 契机 我们 成员 来自 于 国内外 知名 公司 如 Facebook 微软 搜狐 腾讯 百度 华为 猎豹 360 搜索 毕业 于 宾夕法尼亚大学 哥伦比亚大学 香港科技大学 中国科学院 哈工大 等 著名 学府 每人 无一例外 优秀 热忱   所有 职工 都 参 美国 英语老师 一对一 英语 培训 所有 英语老师 都 是 Jack 多年 英语老师 朋友 公司 不断 把 中国 员工 带到 硅谷 学习 深造 让 他们 感受 美国 强烈 创新 氛围 公司 是 技术型 公司 以 技术 为 驱动 团队 所有人 拥有 本科 及 以上学历 有 相当 英文 能力 57 成员 拥有 硕士 或 博士学位 我们 工程师 面试 人 背景 一定 要 有 闪光点 闪光点 不 一定 是 好 学校 或 好 公司 可以 是 不 一样 项目 掌握 不 一样 技术 或是 超越 普通 工程师 其他 技能 对于 所有 岗位 我们 希望 面试 人有 清晰 人生 视野 不 人云亦云 追求 创新 积极 跟进 国外 本行业 发展 动态   善于 协调 配合 有 抗压 能力 公司 获得 国内 最 著名 投资人 青睐 大量 投资 公司 现 处于 A轮 阶段 我们 正 开发 极富 创新 新 产品
