jobname,money,company_name,p_bot,industry,job_bt
高级算法工程师,35k-55k,猿份,"35k-55k,经验3-5年,本科","移动互联网,数据服务 / 不需要融资","
职位描述：

岗位职责：
 1. 用户行为分析、用户建模等策略分析和制定。
 2. 推荐/搜索效果优化，召回、排序技术的研发。
 3. 机器学习项目的效果和工程优化。
 4. 推荐系统生态闭环建设与优化。
 5. 系统性地用ML/DM的方法优化推荐系统闭环。
岗位要求：
0. 统招本科以上学历，推荐或相关行业三年以上工作经验。
 1. 数据结构和算法基础扎实，编码动手能力强。
 2. 熟悉linux开发环境，能够使用python及相关库进行快速开发迭代，熟悉R者优先。
 3. 代码风格优良，编码规范意识强。
 4. 有推荐、广告、NLP、机器学习等相关知识和经历。
 5. 能够熟练使用Hadoop进行大数据处理，熟悉Spark者优先。
 6. 问题分析能力强，能灵活使用合适算法解决问题，不轻易陷入算法、模型局限性。
 7. 能够适应多人协作快速开发的模式，团队意识强烈。

"
AI算法工程师,15k-30k,京东金融,"15k-30k,经验3-5年,本科",金融 / 上市公司,"
职位描述：

岗位职责：
1. 项目组图像识别任务的开发，数据的训练与模型测试；
2. GPU服务器上图像相关项目的部署与性能优化；
3. 调研最新技术，开拓创新。

任职要求：
1. 研究生及以上学历，具有扎实的数学基础；
2. 熟悉计算机视觉与深度学习的相关算法的基本原理；
3. 熟练使用opencv，keras，tensorflow等图像处理与深度学习工具；
4. 扎实的计算机程序开发基础，至少熟练掌握C++/Python/Java中的一种，熟悉linux环境下开发；
5. 具有较强的英文阅读能力；
6. 对计算机视觉，人工智能等方向具有浓厚兴趣，具有良好的团队合作意识，较好的沟通能力。

"
算法工程师,25K-50K,博美科技,"25K-50K,经验1-3年,本科","电子商务,移动互联网 / 未融资","
职位描述：


负责从事深度学习框架搭建，包括机器学习、图像处理等的算法和系统研发;
熟练掌握各种深度神经网络(CNN、RBM、RCNN、RNN等)，并能够将其应用于特定场景中去；
能够熟练的使用Caffe、Tensorflow、Theano、Torch等任一种主流的深度学习框架


"
算法开发工程师,15k-30k,360企业安全,"15k-30k,经验3-5年,本科","电子商务,企业服务 / 不需要融资","
职位描述：

岗位职责：
1、分析业务数据，通过机器学习算法段解决金融（反欺诈）、公安等领域的业务问题，；
2、参与大数据智能建模平台的开发和优化。

岗位要求：
1、熟悉机器学习常用算法，对各类算法的优缺点和适用场景有深刻理解，精通至少一种算法，对特征抽取和特征选择有研究；
2. 具备扎实的数理统计功底，能够熟练统计各种变量、并对结果进行合理解释、分析相关性等；
3. 计算机、统计、数学相关专业，善于发现数据规律，能够将特定的业务需求转化为数学模型；
4.“玩”过数据，有数据处理经验，熟悉SQL，熟悉Python；在金融、公安领域有实际建模经验，如熟悉银行反欺诈防控，实施过相关业务模型，了解模型细节；
5. 能快速阅读英文文档，自主学习能力强，很强的抽象思维能力和总结能力。

"
机器学习与算法工程师/研究员,15k-30k,深思考人工智能机器人,"15k-30k,经验不限,硕士","移动互联网,企业服务 / 天使轮","
职位描述：

岗位职责：
1、结合数据挖掘传统算法，机器学习浅层算法，深度学习深层算法在人工智能领域的产品中进行分类和预测；
2、以上算法在图像识别、自然语言处理、舆情分析、语音识别等人工智能方面的应用；
3、以上算法在高性能云计算服务器上的并行化和优化工作。
任职要求：
1、硕士及以上学历，计算机相关专业毕业；
2、对机器学习的一般模型如分类、聚类、关联分析、预测等模型熟悉（LR，CART，SVM，NN，Bayesian，PCA，LDA等），理解一些常用的特征选择和矩阵分解的算法；
3、熟悉深度神经网络和常用的模型,如RBM、CNN、DBN、Sparsecoding、RNN等，对常用的开源实现,如Caffe、Theano或ConvNet等有实践经验者优先考虑；
4、熟悉深度神经网络在图像识别、自然语言处理方面的应用，有文本处理方面的经验者优先考虑；
5、熟悉大规模并行计算的基本原理并具有实现并行计算算法的基本能力，熟悉Hadoop或者Spark架构者优先考虑，有过基于GPU指令的算法优化经验者优先考虑；
6、良好的英文阅读能力，跟踪学术界和工业界的最新研究成果，并可以通过编程语言（C、C++、java、Python、Matlab）来编程实现，有编程实现过近几年深度学习相关论文算法者着重考虑；
7、有创造性的思维，敢于超越技术极限，致力于研发一流的技术和产品；
8、具有良好的沟通能力，和良好的团队合作精神。

"
高级/资深算法工程师,25k-40k,滴滴出行,"25k-40k,经验3-5年,本科",移动互联网 / 不需要融资,"
职位描述：

岗位职责：
参与分单匹配模型，拼单打包算法，路径规划&ETA，排序&推荐引擎，用户画像，机器学习定价，智能补贴模型 等等机器学习模型的构建，算法模型每一点的提升都将带来业务增长和用户体验的提升；
这里具备足够挑战的算法问题，良好的培训和技术氛围，快速成长的环境，虚位以待！

任职资格：
1.扎实掌握常用机器学习&强化学习算法，以及概率统计等相关理论及应用;
2.熟悉常见数据结构和算法，代码熟练（c++,Python）;
3.熟悉分布式计算平台（hadoop，spark等） ;
4.喜欢钻研，喜欢解决有挑战的问题;
5.运筹优化、搜索、广告、推荐等相关领域经验优先.

"
高级算法工程师／架构师－基础算法,25k-50k,蚂蚁金服集团,"25k-50k,经验3-5年,本科","金融,移动互联网 / B轮","
职位描述：

岗位职责：
1. 负责大规模机器学习算法、大规模深度学习算法、自然语言处理、信息安全加密、金融量化分析、计算机视觉、语音识别等领域的研发和应用
2. 深入分析现有算法，了解业务需求，给出有效的优化解决方案
3. 对业界的机器学习算法和应用有广泛了解并且能够跟踪最新进展
4. 制定有效项目进度管理机制，按照项目上线时间表，推进项目研发工作
岗位要求：
１. 统计、计算机，数学等专业本科以上学历，在大数据和人工智能领域有相关工作经验；
２. 在机器学习、深度学习、信息安全、金融量化、大规模分布式机器学习以及在搜索、广告、推荐、语音识别、机器翻译、QA、Chatbot、NLP领域有2-5年研发经验
３. 熟练掌握SQL、R、Python以及相关进行大规模分析的工具和Hadoop/Spark/Cosmos/ODPS等大数据分布式平台，熟悉大规模分布式机器学习框架比如Spark MLLib, MPI, Parameter Server, 和流行的深度学习开源工具比如Caffe，Theano, Torch, TensorFlow, MXNet, CNTK 等。Coding能力较强，有C++和Java语言编程经验的优先
4．良好的沟通能力和团队合作精神，有一定的组织协调能力和较好的抗压能力
5．对于把大数据和人工智能分析的结果能够应用到实际业务场景产生商业价值具有强烈的热情
在顶级机器学习、信息安全和AI领域会议和期刊有文章发表的优先考虑（比如NIPS、ICML、ICLR、AAAI、IJCAI、KDD、SIGIR、CCS、WWW、JMLR等）
工作地点：北京

"
资深算法研发工程师,40k-50k,美团点评,"40k-50k,经验3-5年,硕士","移动互联网,O2O / D轮及以上","
职位描述：

岗位职责：

1. 运用数据挖掘/机器学习的理论和方法，设计相关算法解决业务问题；
2. 包括但不限于用户画像/商家画像等知识图谱建设；
3. 参与基于大数据场景的数据挖掘/机器学习系统的架构设计和开发；
职位要求：

1. 掌握机器学习相关算法，如GBDT，LR，KNN等分类聚类算法；
2. 至少精通Java , Python，Scala三种之一；
3. 掌握hadoop,spark等分布式大数据处理技术和机器学习框架。
4. 具备较强的数据分析能力，能够基于复杂的业务场景快速建模和设计算法；
5. 优秀的沟通能力，踏实和坚持不懈的工作态度；
6. 3年以上，有互联网相关工作经验优先；

"
算法工程师（北京）,20k-30k,明略数据,"20k-30k,经验1-3年,本科",数据服务 / C轮,"
职位描述：

工作职责：
1、实现大数据环境下的分布式数据挖掘、机器学习算法；
2、使用数据挖掘和机器学习解决企业实际的业务问题；
3、探索业界和学术界前沿的数据挖掘、机器学习的理论和实践。
岗位要求：
1、具有良好的数据挖掘和机器学习背景知识，熟知相关算法；
2、具有良好的编程能力，熟知数据结构和基本算法；
3、对大数据技术有深入的了解，掌握Hadoop相关技术；
4、具有良好的学习能力，对新技术、新知识有强烈的学习热情。
优先考虑：
1、具有大数据下数据挖掘和机器学习分布式算法实现经历；
2、深入理解行业，有行业领域建模经历。

"
算法开发工程师,15k-30k,复华控股,"15k-30k,经验3-5年,大专","电子商务,O2O / 不需要融资","
职位描述：

岗位职责：
1负责AR增强现实产品及项目的研发；
2.负责从事深度学习框架搭建，包括机器学习、图像处理等的算法和系统研发;
3.支持公司相关产品深度学习研究；
4.利用深度学习的技术进行医疗影像的智能处理； 
任职要求：  
1.全日制硕士及以上学历，5年以上人工智能相关项目经验；
2.负责智能人机交互包括自然语言处理、情绪识别、人脸识别、图像处理、AR等技术研发；
3.对人工智能技术的研究，包括机器学习、智能控制、知识应用、智能决策等技术的研究；
4.精通Python／C／C++／Java语言中的一门或多门，精通数据结构、数据处理、人工智能算法和设计，能够对算法进行验证和实现；
5.熟悉机器学习常用算法，熟悉各种深度学习模型，如CNN，DNN，RNN等； 
6.熟悉常用的深度学习开源软件，如Caffe，Tensorflow，Theano，Deeplearning4j等；
7.有智能硬件开发，或者图像识别，问答系统，知识图谱，个性化推荐等实际项目经验；

"
