jobname,money,company_name,p_bot,industry,job_bt
技术经理(数据挖掘与应用方向),25k-40k,宜信,"25k-40k,经验5-10年,本科",金融 / 上市公司,"
职位描述：


主要负责团队数据应用方面项目研发。
岗位要求：

1.精通java或某一种主流开发语言。良好的编程习惯和算法基础，有一定的系统架构能力。
2.熟练掌握主流关系型数据库和NoSQL数据库的使用，熟悉数据仓库相关理论知识。
3.能够通过对数据分析或统计的结果，对数据进行进行针对性的处理。
4.有较强的学习能力和问题解决能力，良好沟通能力团队协作能力。

能够带领开发人员根据产品需求，对现有积累数据进行价值挖掘，并开发形成相关商业应用。


加分项：
+有全栈工程师的经历。
+有构建垂直领域知识图谱，或者开放知识图谱的经历
+有过团队管理经验，了解敏捷开发模式，熟悉持续集成，bugtrace，静态bug分析工具等。
+熟悉一种以上机器学习框架，熟悉各种数据挖掘算法。
+有过hybrid模式的APP开发经历
+有spark相关工作经验者。
+使用过NoSQL数据库，并有充足经验。
+对开源技术有强烈兴趣和爱好。
+通过docker技术的集群管理。
+有mahout，mllib等开源技术经验和实务经历者优先。
+提供个人blog,bitbucket或者github相关作品链接。

"
数据挖掘岗,30k-50k,金利恒,"30k-50k,经验3-5年,本科",其他 / 未融资,"
职位描述：

工作职责:
-应用数据挖掘/机器学习等技术，对海量用户行为和内容信息挖掘建模，应用于蜜芽推荐和搜索
-负责搜索、推荐相关的数据挖掘，策略、架构优化相关工作


职责要求:  
-良好的逻辑思维能力，能够从海量数据中发现有价值的规律
-熟悉linux平台，熟练掌握Python/C等至少一种编译语言，对数据结构和算法设计有较为深刻的理解。
-熟悉数据挖掘、机器学习、自然语言处理、文本理解等相关技术
-有大规模用户行为数据和内容数据挖掘分析经验者优先
-具备良好的沟通能力和团队合作精神
-优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情

"
数据挖掘工程师,18k-30k,微播易,"18k-30k,经验3-5年,本科",广告营销 / C轮,"
职位描述：

岗位职责：
1、 社交平台用户行为分析；
2、 特征值提取与分析；
3、 数学模型对用户行为进行预测
4、自然语言处理（自动分类/标签/摘要等)

任职资格：
1、 计算机、数学、统计或其他相关领域本科或本科以上学历；
2、有机器学习或数据挖掘相关工作经验，相关经验2年以上；
3、 熟悉常用的数据结构和算法；
4、有扎实的编程基础，至少能够熟练使用一种编程语言；
5、熟悉python或java的优先；
6、熟悉Hadoop或Spark等分布式计算环境者优先；
7、有自然语言处理相关经验超过1年者优先；
8、逻辑分析和问题解决能力强，具备突出的学习能力

"
数据挖掘实习生,3k-6k,人人车,"3k-6k,经验不限,本科",O2O / D轮及以上,"
职位描述：

工作内容：
参与数据预处理、业务建模

职位要求：
1. 计算机、统计、数学相关专业
2. 有数据挖掘大赛、实际项目经验
3. 熟练使用python/java中至少一种语言，有数据处理经验。
4. 熟悉sql，有hadoop，hive，spark相关知识优先。
5. 熟悉linux编程环境

"
数据挖掘工程师,30k-60k,小米,"30k-60k,经验3-5年,硕士",移动互联网 / D轮及以上,"
职位描述：

岗位职责：
1、熟练掌握Java，Python等其他编程语言，有很好的数据结构认识，算法和编程能力；
2、熟悉常见的机器学习算法；
3、有NLP工作经验者优先，熟悉XGBOOST、TensorFlow、Theano、Torch、Caffe、MXNet等深度学习框架者优先；
4、有Hadoop，MapReduce，Spark，Storm，HBase，Kafka等开发经验者优先。

任职要求：
1、有扎实的编程能力和算法基础；
2、掌握Java、Scala、Python等至少一门常用语言，熟悉数据结构和算法；
3、熟练掌握概率统计，具有很强的数据分析能力与敏感度，能快速从给定的数据中找出规律；
4、熟悉分布式/高性能计算系统，有hadoop、spark、mpi等开发经验者优先；
5、对行为预测、自然语言、用户画像、社交网络、时空大数据等领域有深入实践者优先。

"
高级数据挖掘工程师,20k-40k,瓜子二手车直卖网,"20k-40k,经验1-3年,本科",O2O / B轮,"
职位描述：

岗位职责：
 
1、利用数据挖掘、机器学习相关算法，解决业务需求，提高产品的用户体验；
 
2、对海量的业务数据、用户数据进行挖掘分析，发现数据和业务背后的规律，完成对用户、职位、公司的建模；
 
3、针对业务流程进行分析调研，探索提升转化率效果的思路和方案并推动转化；
 
4、负责搜索/推荐/挖掘等产品新需求的调研和开发；
 
岗位要求：
 
1. 熟练运用各种常用算法和数据结构，有独立的实现能力;
 
2. 熟悉 Linux平台上的编程环境，精通Java开发，精通 Python/Shell等脚本语言;
 
3. 有数据挖掘/机器学习/自然语言处理/推荐算法等方向丰富的工作经验;
 
符合以下条件优先：
1、大型互联网公司数据挖掘/自然语言处理/机器学习开发经验。
2、思路清晰，主动性强，有很强的自我驱动力。

"
WXG08-122微信数据挖掘算法高级工程师,20k-40k,腾讯,"20k-40k,经验3-5年,本科","移动互联网 ,游戏 / 上市公司","
职位描述：

岗位职责:
负责用户兴趣标签的提取挖掘；负责用户的人群挖掘和协同挖掘；负责第三方用户行为分析和画像挖掘；负责公众号、资讯文章基础属性的挖掘； 负责海量数据挖掘算法的研究和应用。
岗位要求:
计算机、数学、统计等相关专业本科及以上学历；三年以上大规模数据挖掘、机器学习或自然语言处理相关工作经验；三年以上搜索、推荐或广告系统相关算法工作经验；符合以下一项或多项更优：熟悉聚类、分类、回归、图模型等机器学习算法及原理；具有深度神经网络DNN理论基础及实战经验；熟悉自然语言处理，文本挖掘的算法原理，有实际建模经验或并行化经验；熟悉C/C++、python、Java，matlab等编程语言与工具（一项或多项）；熟悉Linux/Unix平台上的开发环境；熟悉MPI、MapReduce、Spark等并行计算框架。

"
高级数据挖掘工程师,15k-25k,YOKA时尚网,"15k-25k,经验3-5年,本科",文化娱乐 / D轮及以上,"
职位描述：

岗位职责：
1. 负责用户画像体系的建立； 
2. 负责用户数据，内容数据的挖掘和分析；
3. 负责评论数据的挖掘和知识图谱的研发；
4. 配合产品经理完成数据分析需求和数据产品开发。

任职要求：
1. 本科及以上学历，计算机、数学等相关专业；
2. 具备强悍的编码能力，有扎实的数据结构和算法功底；
3. 优秀的学习能力、独立分析问题和解决问题能力；
4. 熟悉Linux开发环境，熟悉Python，PHP，Java等语言两种以上；
5. 熟悉Hadoop/Spark，有Elasticsearch，Solr，Kafka，Flume等开源项目使用经验；
6. 有画像、广告、推荐，搜索等算法方向实际工作经验优先。

"
数据挖掘工程师（应届生）,8k-12k,集奥聚合（GEO）,"8k-12k,经验1年以下,本科",数据服务 / B轮,"
职位描述：

岗位职责：
1、运用大数据分析工具和技术解决风险管理业务中遇到的实际问题与需求，如反欺诈、信用风险评估等，包括对模型进行设计、开发、验证、测试、部署及监控、优化。
2、基于海量用户数据和特征，发现用户属性，进行数据质量检查、特征加工、数据清洗等，建立数据挖掘模型，对用户进行评估，包括但不限于：用户风险评分、用户价值评分、用户偏好预测、用户个性化推荐等。
3、评估数据源的质量和价值，能结合业务需求和场景，从各种数据维度中挖掘数据价值，并设计不同的模型，应用于不同的业务场景中。
  
任职要求：
 1. 计算机、统计学相关背景，熟悉常用各类机器学习算法的原理（如逻辑回归、决策树、SVM、神经网络、随机森林、深度学习等）；
2.熟练使用SAS、R、Python等至少一种分析工具；
3.熟悉大数据分析平台和工具，如Hive，Hadoop, Spark等优先；
4.有较强的逻辑思维能力、优秀的沟通表达能力及团队合作能力。

"
数据挖掘工程师,15k-25k,去哪儿网-保险金融,"15k-25k,经验1-3年,本科",移动互联网 / 不需要融资,"
职位描述：

职责描述：
1. 负责针对金融或者互联网金融等行业设计并开发各类大数据风控模型或用户模型；
2. 探索并分析各类数据源，结合具体业务场景，挖掘用户行为特点，设计数据分析与建模方案。
3. 结合客户需求及模型实际应用效果，不断优化模型算法，提升大数据能力。
 
任职要求：
1. 本科及以上学历，统计学、数学、计算机、电子工程等相关专业。
2. 一年以上金融/互联网金融领域标杆企业的模型开发经验；
3. 熟悉各类机器学习算法（逻辑回归、决策树、SVM、神经网络等），并至少对一种算法有深入理解。
4. 具有扎实的编程基础，熟悉主流的数据结构算法，能熟练运用Python、R等工具进行数据分析和模型建模。
5. 熟练掌握SQL/Hive，熟悉Hadoop/Spark，拥有海量数据处理经验者优先。
5. 优秀的团队合作精神和沟通表达能力，学习能力强，勤于思考，具有创新精神，乐于面对挑战。

"
