jobname,money,company_name,p_bot,industry,job_bt
数据挖掘与建模专员,15k-30k,北京捷越联合,"15k-30k,经验1-3年,本科",金融 / 不需要融资,"
职位描述：

岗位职责:
1． 根据信贷端业务需求，配合部门经理设计与建设用于贷前贷后风险管理工作的数学模型，撰写建模报告。包括但不限于反欺诈模型，反欺诈规则，申请评分模型，催收评分模型；
2． 负责模型应用策略的分析，提出制定，调整，优化建议，撰写分析报告；
3． 负责模型验证，应用部署与实施跟进；
4． 负责模型与策略应用期间的监控与维护工作，撰写监控报告；
5． 负责对接三方建模团队进行联合建模工作。

任职资格:
1 . 全日制统招本科及以上学历，数学、统计、计算机、计量经济、数据挖掘、金融工程、物理等理科专业；
2 . 具备至少一年以上数据挖掘或建模经验，有互联网金融、银行零售信贷、信用卡、消费金融或数据与征信行业背景；
3 . Ms Office熟练， R、SAS、MatLab、Python精通一种或以上，可阅读英文文献；
4 . 有金融、经济、银行专业背景优先；有相关行业评分模型建立、应用策略制定及自动化审核应用部署经验者优先。

"
数据挖掘研发工程师,20k-40k,酷云互动,"20k-40k,经验3-5年,本科","数据服务,广告营销 / C轮","
职位描述：

岗位职责：  运用机器学习、数据挖掘技术判别识别  主要工作内容包括：  1.通过对数据的敏锐洞察，发觉数据的内在规律。 2.关注机器学习，数据挖掘前沿技术 
3.掌握大数据，mapreduce,hadoop等  
任职资格：  1.重点院校计算机相关专业硕士以上学历，两年以上海量数据挖掘工作经验；  2.对机器学习、数据挖掘算法及其在互联网行业的应用,有比较全面的认识和理解,至少对两类以上算法有深入研究；  3.有大规模分布式计算平台的使用和并行计算开发经验（如hadoop,熟练使用elastic search更佳）；  4.熟悉Linux/UNIX系统, 熟悉Java/python编程;  5.严密的数学思维、突出的分析和归纳能力、优秀的沟通表达能力;  6.较好的英语读写能力。  7.对数据可视化有一定基础（会使用d3js, canvas, svg）可加分。

"
数据挖掘工程师,25k-50k,滴滴出行,"25k-50k,经验不限,不限",移动互联网 / 不需要融资,"
职位描述：

岗位职责：
1、从海量数据中，利用数据挖掘技术，挖出用户的偏好特征、行为规律
2、构建健壮的挖掘系统，提供高可用、可扩展的离线挖掘系统
3、基于流式计算架构，建立实时特征生产系统    
任职资格：
1、岗位要求精通Java，会一门脚本语言如python等熟悉常见的数据挖掘或机器学习算法
2、了解hadoop原理，有编写map-reduce/spark开发经验
3、在数据挖掘方面有两年以上的项目经验
4、扎实的JAVA基础，熟练掌握j2EE开发及相关技术
5、熟悉常用设计模式，熟悉常见的大数据开源项目，如HBase、Spark等。


"
高级数据挖掘工程师,15k-25k,减约,"15k-25k,经验3-5年,硕士","移动互联网,医疗健康 / A轮","
职位描述：

工作职责:
1、主要负责基于健康内容和方案的智能推荐系统研发，同时对健康医疗数据的深度挖掘，对健康数据进行建模并分析。
任职要求:
1、要求1年以上的工作经验，有大数据分析和处理经验；
2、计算机、信息与信号处理、通信工程，应用数学等相关本科及以上学历；
3、对常用的机器学习算法、特征选择方法、数据建模过程有深入理解 ；
4、熟练掌握C＋＋、Python等语言，并熟练使用SQL语句；
5、有推荐系统，爬虫系统的相关项目经验者优先；
6、参加数学建模比赛，并获得过奖项者优先；
7、勤奋踏实、工作积极主动、有责任心，能够在压力下工作。

"
数据挖掘工程师（北京）,20k-40k,试金石信用,"20k-40k,经验3-5年,本科","数据服务,移动互联网 / 不需要融资","
职位描述：

岗位职责：
1、参与产品及业务需求评审，深入分析通信数据、金融数据、互联网数据，基于大数据基础平台（如Spark/Hadoop）或并行计算环境，应用统计学、机器学习、数据挖掘等技术建立模型，快速实现对于数据分析、挖掘的需求；
2、能够从业务和产品的角度出发，利用数据来发现产品、系统或是业务的瓶颈，并提出优化的方案；
3、研究已有算法的瓶颈，提出合理的改进措施和解决方案；
4、跟踪研究数据挖掘的新技术、新算法、新实践，提出适合征信、风控领域的模型实施方案。
 
任职要求： 1、计算机，数学，统计学等相关专业本科以上学历；
2、5年以上相关工作经验，有统计建模、机器学习（聚类、分类、回归等）或数据挖掘应用的项目或研究经验；
3、精通Linux开发，熟悉Perl/Shell/Ruby等脚本语言，具备C/C++、Java、Go等编程能力，熟悉数据库，对常用数据结构和算法有较为深刻的理解；
4、征信、金融、大数据、通信业从业背景人员优先，熟练使用R、Python、Weka、Julia、Mahout、GraphX、MLlib、Scala，以及机器学习开源框架TensorFlow，Caffe，Mxnet者优先。


薪资范围：20-45K

参加面试的候选人需提前提供或者携带模型上线评审意见（可以自评审）及代码（可以是伪代码）

"
资深数据挖掘工程师/专家-外卖,20k-40k,美团点评,"20k-40k,经验3-5年,本科","移动互联网,O2O / D轮及以上","
职位描述：

职位描述：1.负责用户和商户相关的数据挖掘和分析，用户定向相关技术研发；2.负责评论数据的挖掘和知识图谱的研发；3.负责营销相关的策略研发；任职要求：1.在以下方面有较为丰富的实战经验：1）自然语言处理； 2）机器学习；3）运筹学及优化；2.有大数据处理分析经验，熟悉Hadoop, Hive, Spark等大数据处理平台；3.至少精通Java语言、python、或者Scala之一；4.有广告或推荐相关经验者优先。

"
数据挖掘工程师,25k-35k,网易,"25k-35k,经验3-5年,硕士","电子商务,移动互联网 / 上市公司","
职位描述：

工作职责：
1、负责新闻客户端用户分群，用户画像等标签体系建设与优化；
2、针对不同业务需求，建立和优化用户价值预测、用户流失预测、用户生命周期等模型；
3、处理业务需求，能够运用统计，数据挖掘，机器学习的方法解决实际业务问题并支持业务决策。

任职要求：
1、数学或计算机及相关专业背景，硕士以上学历，具有扎实的统计学、数据挖掘、机器学习理论基础；
2、熟悉聚类、分类、回归、图模型等机器学习算法，对常见的核心算法理解透彻，有实际建模经验；
3、熟悉Linux环境编程，精通Java/Python，熟悉Hadoop/Spark/Storm/Hive等至少一种分布式计算技术；
4、具备较强的数据分析能力，能够基于复杂的业务场景快速建模和设计算法；
5、优秀的团队协作能力，诚实，勤奋，勇于面对挑战。

"
数据挖掘工程师,15k-25k,新浪网,"15k-25k,经验3-5年,本科",文化娱乐 / 上市公司,"
职位描述：

岗位职责：
一、自然语言处理方向：
处理内容：微博博文、博客、新闻网页及其他文本描述信息；
1、对文本进行主题关键词提取，并且打上有业务意义或者主题含义的关键词标签；
2、对文本进行分类，建设分类系统；
3、对文本进行情感挖掘，建设舆情监测系统；
4、关键词消歧模型、相关性、同义词挖掘；
5、建设垂直领域知识图谱。
二、用户行为分析与预测：
1、潜在目标客户挖掘、用户细分聚类、用户流失预测；
2、用户画像研究与挖掘，精准定向投放系统，自助化商业智能平台建设；
3、垂直领域大数据预测系统，比如：财经股票、互联网金融预测；体育NBA、体育足球比赛预测；
4、排序模型。

任职要求：
1、至少3年机器学习或者数据挖掘经验，互联网行业、金融行业优先考虑；
2、熟悉常用的机器学习算法，并且对算法有深入的理解，能进行问题分析及模型算法优化。
3、熟悉排序模型，并且对算法有深入研究，有实施经验；
4、熟练使用一门语言，并进行算法开发及数据处理工作；
5、熟悉hadoop，能熟练使用MR、hive进行数据处理；
6、熟悉spark MLlib等。

"
数据挖掘工程师,15k-25k,人人网,"15k-25k,经验1-3年,本科","社交网络,金融 / 上市公司","
职位描述：

职责描述：1、利用数据挖掘、机器学习相关算法，解决核心业务需求；2、将算法应用到互联网海量数据中，解决公司核心机器学习问题，用户画像、个性化推荐等；3、设计并提供机器学习服务，应用于线上产品功能；4、调研新技术在产品和二手车方面的应用价值，以技术驱动产品。任职要求：1、扎实的编程基础。熟练使用java, python,scala任意一种编程语言；2、熟悉常用机器学习算法，如逻辑回归、决策树、随机森林、GBDT等；3、熟悉任意一种机器学习开发包，如：Spark ML,Scikit-Learn, Tensorflow；4、有使用过Spark+Zeppelin进行数据挖掘经验优先；5、了解Hadoop生态圈，如HDFS,YARN,HIVE等；6、本科及以上学历，四年以上的数据挖掘/机器学习相关经验；7、快速分析和解决问题的能力；8、良好的团队工作和协作能力；9、学习能力强，能够快速适应新的环境。
 

"
数据挖掘与量化分析师,20k-40k,蔷薇控股,"20k-40k,经验3-5年,硕士","企业服务,数据服务 / 不需要融资","
职位描述：

【职位优势】   
1. 帮助你快速进入新金融科技（Fintech）行业，充分体验互联网、新IT科技、新金融三者高效融合的快感，助你实现跨界与转型   
2. 公司目前根本不需要融资，背后集团公司注册资本118亿元，股东背景强大，确保你工作稳定无忧   
3. 快速迭代，但不做没有用的需求，让你只专注有意义的“事业”   
4. 上升空间巨大，你现在来了，很可能是新金融爆发式扩张前夕的那批人...   
5. 集团公司高层对科技人才非常重视，因此薪水待遇特别好   
  
【工作职责】 
（1）负责各类业务数据的汇总统计分析，依据数据分析结果为业务部门提供运营支持； 
（2）根据业务需求进行专题数据分析，完善业务数据挖掘模型和体系，提交具有实用性建议方案的分析报告； 
（3）参与用户全生命周期运营工具的底层建模工作；
（4）通过数据分析主动发现业务运营中的可优化和提升环节。
  
【任职要求】 
（1）硕士或以上学历，数学、统计学、金融、经济学等相关专业； 
（2）3年以上商业数据挖掘、数据分析、数据建模相关工作经验，具有互联网金融数据分析经验者优先； 
（3）熟练掌握和运用Python或一种挖掘软件（SAS、SPSS、R等）优先； 
（4）具有对大数据集合进行数据提取、处理、分析和挖掘的能力；
（5）善于对多元数据抓取与分析，具有为企业或用户信用建模能力优先； 
（6）能够经受较大强度的工作压力； 
（7）具有较强的数据分析能力，善于通过数据理解用户的行为。BAT等互联网公司的ToB部门或金蝶用友ORACLE等软件公司的任职经验优先。

"
