address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
回兴,回兴街道锦华一路1号(南方翻译学院内),南方玫瑰城,价格待定,,,住宅,售罄,61
黄泥磅,黄泥塝紫荆路601起点站旁,佳华北宸里,价格待定,套内 61~80m²,3室(2)/2室(2),住宅,售罄,54
巴国城,石坪桥龙泉路18号(重庆公路运输汽车公司附近）,华宇阳光尚座,价格待定,,,住宅,售罄,42
汽博中心,果塘路2号（常青藤人文别墅旁）,大鼎湖滨印象,价格待定,套内 170~202m²,4室(3)/3室(2),别墅,售罄,170
北碚区,蔡家快速干道（蔡家立交旁）,正源福源,价格待定,套内 54~72m²,3室(1)/2室(1),住宅,售罄,30
龙洲湾,龙洲湾巴滨路（巴南新区府附近）,华宇龙湾,170,套内 93m²,2室(1),住宅,在售,29
石桥铺,石桥铺白马支路（原城建校）,华宇时代星都,价格待定,,,住宅,售罄,67
照母山,金开大道中段（颐和公园旁）,象屿两江御府,400,套内 190m²,5室(1),别墅,在售,323
照母山,金山大道（毗邻照母山植物公园）,华宇上院,价格待定,套内 99~123m²,3室(2)/2室(1),住宅,售罄,90
照母山,新牌坊星光大道北延线（照母山植物园旁）,东原湖山樾,550,套内 300~730m²,6室(2),别墅,在售,450
南泉,渝南大道103号（蓝光十里蓝山旁）,创远十里缇香,价格待定,套内 59~107m²,4室(2)/3室(13)/2室(2),住宅,售罄,54
巴国城,石坪桥龙泉路18号(重庆公路运输汽车公司附近）,华宇阳光尚座,价格待定,,,住宅,售罄,42
汽博中心,果塘路2号（常青藤人文别墅旁）,大鼎湖滨印象,价格待定,套内 170~202m²,4室(3)/3室(2),别墅,售罄,170
北碚区,蔡家快速干道（蔡家立交旁）,正源福源,价格待定,套内 54~72m²,3室(1)/2室(1),住宅,售罄,30
龙洲湾,龙洲湾巴滨路（巴南新区府附近）,华宇龙湾,170,套内 93m²,2室(1),住宅,在售,29
石桥铺,石桥铺白马支路（原城建校）,华宇时代星都,价格待定,,,住宅,售罄,67
照母山,金开大道中段（颐和公园旁）,象屿两江御府,400,套内 190m²,5室(1),别墅,在售,323
照母山,金山大道（毗邻照母山植物公园）,华宇上院,价格待定,套内 99~123m²,3室(2)/2室(1),住宅,售罄,90
照母山,新牌坊星光大道北延线（照母山植物园旁）,东原湖山樾,550,套内 300~730m²,6室(2),别墅,在售,450
南泉,渝南大道103号（蓝光十里蓝山旁）,创远十里缇香,价格待定,套内 59~107m²,4室(2)/3室(13)/2室(2),住宅,售罄,54
南山,茶园新区府旁(6,奥园城市天地,价格待定,套内 98~123m²,4室(1)/3室(5),住宅,售罄,92
翠云,云山路1号（轻轨3号线翠云站旁）,尚格锦园,11300,套内 88m²,3室(1),住宅,在售,61
烈士墓,双碑嘉陵厂原址(双碑轻轨站100米),首创城,价格待定,,,住宅,售罄,40
李家沱,渝南分流道（民主新街旁）,斌鑫江南御府,9600,套内 56~95m²,3室(1)/2室(2),住宅,在售,35
龙洲湾,龙洲大道10号（龙洲湾生态公园旁）,康利尔风花树,价格待定,套内 63~117m²,3室(10)/2室(4),住宅,售罄,28
李家沱,渝南分流道中段（民主新村旁）,融创金色时代,价格待定,套内 58~106m²,3室(2)/2室(1),住宅,售罄,46
沙滨路,石门大桥与高家花园大桥之间（宝嘉·江枫美岸旁）,兴亚沙滨国际,13000,套内 32~76m²,3室(1)/2室(3)/1室(3),住宅,在售,31
融汇半岛,李家沱巴滨路融汇半岛段（融汇半岛旁）,融汇半岛江上公馆,价格待定,套内 104m²,3室(1),住宅,售罄,92
空港新城,空港老城片区,桥达蓝湾半岛,11500,套内 67~85m²,3室(1)/2室(1),住宅,在售,52
回兴,宝圣大道西南政法大学旁,西正街,37,套内 938m²,1室(1),商业类,在售,34
北碚区,同荣路（中央公园旁）,上城中央,价格待定,套内 52~71m²,2室(1)/1室(1),住宅,售罄,34
茶园新区,茶园广福大道延伸段（轻轨6号线长生桥站）,奥园水云间,价格待定,套内 76~109m²,4室(2)/3室(8),住宅,售罄,106
照母山,金州大道66号（蓝湖郡旁）,洋丰圣乔维斯,价格待定,套内 114~287m²,4室(1)/3室(4),住宅,售罄,184
步行街,九宫庙（步行街旁）,蓝光中央广场,价格待定,套内 47~235m²,5室(1)/4室(2)/3室(4)/2室(2),住宅,售罄,83
南山,南山风景区（茶园新区玉马路1号）,庆隆南山高尔夫国际社区,15000,套内 108~153m²,4室(2),别墅,在售,200
南坪,南坪新街90号（会展中心斜对面）,光宇尚滨国际,价格待定,套内 91m²,3室(1),商业类,售罄,165
茶园新区,茶园天文大道水云路99号（南岸区府旁）,鸿笙苑宝贝的墅,200,套内 125m²,3室(1),别墅,在售,97
照母山,金开大道蓝湖大社区金山医院附近（重庆一中国际部旁）,康桥融府,价格待定,,,别墅,售罄,265
烈士墓,磁器口（磁器口地铁站旁）,国盛三千城,价格待定,,,住宅,售罄,35
照母山,金州大道与肖家沟西支路交汇处（照母山森林公园北部附近）,康田蔚蓝海,价格待定,套内 91~111m²,3室(4),住宅,售罄,73
北碚区,轻轨6号线蔡家站(蔡家公交站旁),名流印象,价格待定,套内 61~82m²,2室(2),住宅,售罄,23
巴国城,火炬一路（2号线大堰村站旁）,联发欣悦,11800,套内 66~74m²,3室(2),住宅,在售,40
南泉,渝南大道115号(轻轨3号线花溪站旁)   ,东海定南山,12000,套内 159m²,5室(1),别墅,在售,200
北滨路,北滨路嘉华大桥北桥头,国美江天御府,价格待定,套内 110~121m²,3室(2),住宅,售罄,165
龙洲湾,渝南大道轻轨3号线大山村站（区政府旁）,旭辉城,价格待定,,5室(2)/2室(1),住宅,售罄,32
回兴,回兴街道服装城大道（黄桷坪体育公园旁）,复地花屿城,价格待定,,,别墅,售罄,120
空港新城,观月大道与宏碁大道之间（观月小区695公交车站以西1000米处）,金科空港城,10800,套内 81m²,3室(1),住宅,在售,55
九宫庙,轻轨2号线绿地城白居寺站旁,绿地城,11000,套内 48~157m²,6室(1)/5室(1)/4室(4)/3室(7)/1室(1),住宅,在售,76
石马河,宏帆路佰富高尔夫旁（双碑大桥桥头）,万科悦湾,价格待定,套内 132~224m²,4室(3)/3室(1),住宅,售罄,68
礼嘉,金渝大道33号（6号线平场站旁）,华侨城天澜美墅,价格待定,,,别墅,售罄,454
石桥铺,石桥铺石杨路附近（原啤酒厂地块，永辉超市对面）,金辉优步大道,价格待定,,,住宅,售罄,75
江北嘴,北滨二路537号（江北嘴CBD重庆大剧院附近）,中海紫御江山,价格待定,套内 78~88m²,3室(2),住宅,售罄,135
