address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
红旗,友谊南大街355号,润兴公馆,13000,47~78m²,1室(6),商业类,在售,62
桃园,胜利北街与铁院北路交汇处东行150米路南,大唐金茂古运码头二期,14000,128~136m²,3室(3),住宅,在售,72
建北,体育北大街与光华路交汇处西南角,荣盛华府,25000,177~213m²,3室(3),住宅,在售,426
沿东,建设大街与丰收路交口东行300米路北,北城国际珑誉,价格待定,,,住宅,售罄,380
西三庄,西三庄大街与联盟西路交汇处南行500米路西,雍和慢城,24300,152~188m²,4室(1)/3室(1),住宅,在售,227
赵陵铺,中华北大街与古城西路交口北行200米路西,乾园燕熙台,价格待定,,,住宅,售罄,157
鹿泉市,奇石街与玉石东路交汇处北行500米路东,金城新天地,价格待定,,,住宅,售罄,36
滹沱,体育北大街与古城东路交汇处西行200米,文创中心,12500,52m²,1室(1),商业类,在售,68
鹿泉市,新华路与昌盛大街交叉口西行800米路北(果岭湾对面),新兴花语原乡,15000,85~113m²,3室(2)/2室(1),住宅,在售,127
植物园,植物园路与石太高速交叉口南行100米（秀水公园西门）,秀水名邸,价格待定,80~98m²,2室(3),住宅,售罄,26
红旗,友谊南大街355号,润兴公馆,13000,47~78m²,1室(6),商业类,在售,62
桃园,胜利北街与铁院北路交汇处东行150米路南,大唐金茂古运码头二期,14000,128~136m²,3室(3),住宅,在售,72
建北,体育北大街与光华路交汇处西南角,荣盛华府,25000,177~213m²,3室(3),住宅,在售,426
沿东,建设大街与丰收路交口东行300米路北,北城国际珑誉,价格待定,,,住宅,售罄,380
西三庄,西三庄大街与联盟西路交汇处南行500米路西,雍和慢城,24300,152~188m²,4室(1)/3室(1),住宅,在售,227
赵陵铺,中华北大街与古城西路交口北行200米路西,乾园燕熙台,价格待定,,,住宅,售罄,157
鹿泉市,奇石街与玉石东路交汇处北行500米路东,金城新天地,价格待定,,,住宅,售罄,36
滹沱,体育北大街与古城东路交汇处西行200米,文创中心,12500,52m²,1室(1),商业类,在售,68
鹿泉市,新华路与昌盛大街交叉口西行800米路北(果岭湾对面),新兴花语原乡,15000,85~113m²,3室(2)/2室(1),住宅,在售,127
天山海世界,和平路与京珠高速交叉口东行100米路南,保利茉莉公馆,17000,88~138m²,3室(6)/2室(2),住宅,在售,149
新客站,仓丰路与建通街交汇处西北角,河北国际商会广场,13000,,,写字楼,在售,68
高营,建华北大街与北二环交口北行1500米路东,赫石府,价格待定,98m²,2室(1),住宅,售罄,64
窦妪镇,107国道青银高速西南角,锦悦桦庭,价格待定,,,住宅,售罄,23
西三庄,西三庄大街与天翼路交口西行200米路南,祥云岸芷汀兰,20000,139m²,3室(1),住宅,在售,278
元氏县,青银高速与红旗大街交汇处西南角,石家庄碧桂园,价格待定,,,住宅,售罄,45
元氏县,常山路与西环交汇处西北西行200米,金桥天海湾,4800,,,住宅,售罄,45
鹿泉市,海山大街与会馆路交汇处东北角（老珠江啤酒厂原址）,鹿城一号,价格待定,,,住宅,售罄,50
天山海世界,学苑路与京港澳高速交汇处东南角,傲湖铂岸,价格待定,,,住宅,售罄,43
北焦,和平西路与泰华街交汇处西北角,林荫大院,价格待定,,,住宅,售罄,150
留村,胜利南大街与仓丰路交口南行500米路西（润德五金对面）,润德天悦城,价格待定,,,住宅,售罄,64
赵陵铺,中华北大街357号,碧水春天,价格待定,,,住宅,售罄,41
翟营,建华大街与光华路交口东北角,悦城,价格待定,,,住宅,售罄,90
藁城市,胜利东路与昌盛街交汇处,东城国际,价格待定,,,住宅,待售,48
桃园,胜利北街石津灌渠北岸以东200米,龙溪城,价格待定,,,住宅,售罄,49
赵陵铺,红星街与赵佗路交汇处东行500米,中基禧悦府,价格待定,,,别墅,售罄,657
鹿泉市,植物园西行1000米路北,香橼墅,7300,319~353m²,5室(2)/4室(1),别墅,售罄,172
邯郸,中华北大街彩虹桥北行700米路西（新二中北侧）,安联钓鱼台壹号,9200,178~218m²,5室(1)/4室(1),住宅,在售,35
邯郸,联纺路与光明大街交叉口西行50米路北,碧桂园天玺,价格待定,,,住宅,售罄,107
土贤庄,谈固北大街与北二环东路交汇处东行100米路南,天洲国际中心,价格待定,65m²,1室(1),写字楼,售罄,62
大经,裕华路与新胜利大街交汇处东南角,鸿锐国际,14000,47~102m²,2室(1)/1室(6),商业类,在售,64
富力,东至太行大街、西至昆仑大街、南至南二环东延线、北至学苑路,石家庄富力城,16500,85~138m²,3室(3)/2室(1),住宅,待售,143
鹿泉市,红旗大街与南三环交口南行2000米路西,大尚华府,14500,94~127m²,3室(4)/2室(1),住宅,在售,136
邯郸,武安洺湖北侧武安一中对面,碧桂园翡翠湾,6500,140~260m²,5室(1)/4室(2)/3室(1),住宅,在售,78
正定县,107国道与华安西交口东行300米路南,金河国际,7500,1200m²,1室(2),商业类,在售,33
邯郸,武安洺湖北侧武安一中对面,碧桂园翡翠湾,6500,140~260m²,5室(1)/4室(2)/3室(1),住宅,在售,78
新华路南,新华路与靶场街交口西行100米路南,锦地SOHO,13000,,,写字楼,在售,64
桥西区,百泉大道与滨江路交叉口西行300米路南,邢台碧桂园,15000,340~480m²,5室(2)/4室(1),别墅,在售,248
赵陵铺,红星街与赵佗路交汇处东行500米,中基禧悦府,价格待定,,,别墅,售罄,657
鹿泉市,植物园西行1000米路北,香橼墅,7300,319~353m²,5室(2)/4室(1),别墅,售罄,172
裕西公园,中山西路与苑西街交汇处西南角,东胜紫御公园广场,12000,,,写字楼,在售,56
丰收路,丰收路体育大街交汇处东行100米,泽润商务中心,11000,57~119m²,3室(1)/2室(2)/1室(1),商业类,在售,61
藁城市,丘头镇西安大街石炼宾馆北行30米路东,润江紫宸院,9000,119~131m²,3室(2),住宅,在售,83
栾城县,鑫源路与龙威街交汇处东南角,广厦学府,6500,44~74m²,1室(6),商业类,在售,26
鹿泉市,迎宾馆路和石柏南大街交叉口西南角,翠屏龙苑,价格待定,,,住宅,售罄,42
鹿泉市,新华西路与西三环交叉口西南角龙泉东路314号,龙湾,16000,86~129m²,3室(1)/2室(1),住宅,在售,47
天苑,西三庄街与警安路交叉口西行200米路南,阳光里,16000,123m²,3室(1),住宅,在售,43
合作路,合作路与泰华街交汇处西南角,新合作城市广场,价格待定,,,住宅,售罄,114
河北科大新校区,裕华建通街与仓丰路交口南行500米路西,高远时光城,价格待定,,,住宅,售罄,32
