address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
汉峪,高新凤凰路与旅游路交汇处东200米,汉峪海风,价格待定,,,住宅,售罄,304
王官庄,郎茂山路绿地海珀天沅,绿地海珀天沅,25000,206m²,4室(1),住宅,在售,300
还乡店,奥体中路东都尚城,东都尚城,价格待定,,,住宅,售罄,153
王舍人,工业北路63号,天鸿万象新天,价格待定,94~125m²,3室(3),住宅,售罄,117
燕山,燕子山西路12号,燕玺台,35000,236~258m²,4室(1)/3室(1),住宅,在售,222
兴隆,二环东路国华新经典,国华新经典,19500,115~192m²,4室(1)/3室(2),住宅,在售,224
全福区,北园大街37号,鹊华天禧,价格待定,,,住宅,售罄,99
化纤厂路,华能路茗筑华府,茗筑华府,价格待定,144m²,3室(1),住宅,售罄,185
王舍人,工业北路恒大城,恒大城,价格待定,130m²,3室(1),住宅,售罄,121
还乡店,桑园路名辉豪庭,名辉豪庭,价格待定,,,住宅,售罄,121
汉峪,高新凤凰路与旅游路交汇处东200米,汉峪海风,价格待定,,,住宅,售罄,304
王官庄,郎茂山路绿地海珀天沅,绿地海珀天沅,25000,206m²,4室(1),住宅,在售,300
还乡店,奥体中路东都尚城,东都尚城,价格待定,,,住宅,售罄,153
旅游路,旅游路黄金山水郡,黄金山水郡,价格待定,282m²,4室(1),住宅,售罄,648
经十东路,凤凰路凤凰国际,凤凰国际,19800,100m²,2室(1),住宅,在售,198
阳光舜城,舜德路1号,四建美林花园,23000,143m²,3室(1),住宅,在售,247
千佛山,舜耕路与千佛山南路交汇处,佛山静院,35000,235m²,3室(1),住宅,在售,554
建筑大学,经十路377号,永大颐和园,17500,90~120m²,3室(1)/2室(1),住宅,在售,176
洪家楼,洪楼南路广厦聚隆广场,广厦聚隆广场,价格待定,49m²,1室(1),商业类,售罄,72
兴隆,二环南路济南华润城紫云府,济南华润城紫云府,19000,95~115m²,3室(2),住宅,在售,135
长清,大学路2166号,鲁商常春藤,价格待定,,,住宅,售罄,44
长清,芙蓉路与海棠路交汇处,中建长清湖瑜园,价格待定,131~160m²,2室(2),别墅,售罄,184
王舍人,机场路加州东部世界城,加州东部世界城,价格待定,110m²,3室(1),住宅,售罄,91
化纤厂路,花园东路与奥体西路交汇处向西366米路南,翡翠大观,23000,91~199m²,4室(3)/3室(2)/2室(1),住宅,在售,175
腊山,腊山路6号,实力粼湖居,13500,107~134m²,3室(1)/2室(1),住宅,售罄,108
济钢,工业南路泉世界壹品,泉世界壹品,16000,110~133m²,3室(2),住宅,在售,131
阳光100区,丁字山路兰亭鉴筑花园,兰亭鉴筑花园,价格待定,,,住宅,售罄,53
文化东路,文化东路63号,恒大帝景,30000,320m²,4室(1),住宅,在售,800
长清,芙蓉路中建长清湖,中建长清湖,价格待定,,,住宅,售罄,25
建筑大学,经十路与韩仓河西路交界口路北,龙湖春江郦城,价格待定,,,住宅,售罄,104
燕山,燕子山西路50号,开元府,35000,340m²,4室(1),住宅,在售,937
建筑大学,经十东路与临港南路交汇处北行200米路东,百替御园华府,价格待定,312m²,5室(1),住宅,售罄,377
郎茂山,郎茂山西路2-1号,山顶道1号,价格待定,,,别墅,售罄,666
长清,经十西路汇侨城,汇侨城,价格待定,83m²,2室(1),住宅,售罄,57
济钢,世纪大道中新锦绣天地,中新锦绣天地,价格待定,,,住宅,售罄,104
章丘,经十东路碧桂园凤凰城,碧桂园凤凰城,10000,143m²,4室(1),住宅,售罄,124
章丘,山泉路御泉世家,御泉世家,价格待定,,,住宅,售罄,49
唐冶,围子山路1111号,银丰悦珑府,1700,1007m²,5室(1),别墅,在售,803
济钢,飞跃大道万科龙湖紫郡,万科龙湖紫郡,价格待定,,,住宅,售罄,175
章丘,双山大街龙泉壹号,龙泉壹号,13000,118~136m²,3室(3),住宅,在售,82
旅游路,福地街666号,原山九号,40000,457~511m²,4室(2),别墅,在售,1302
长清,紫薇路5566号,鲁商御龙湾,19000,540m²,4室(1),别墅,在售,800
匡山区,无影山中路与济齐路交互处,恒生望山,价格待定,,,商业类,售罄,33
长清,龙泉路长兴美郡,长兴美郡,价格待定,,,住宅,售罄,48
商河,彩虹路泰和名都,泰和名都,5600,,,住宅,售罄,30
长清,紫薇路康桥圣菲,康桥圣菲,16000,466m²,4室(1),别墅,在售,361
化纤厂路,工业南路绿地IFC中央公馆,绿地IFC中央公馆,25000,127~145m²,4室(2)/3室(1),住宅,在售,244
章丘,世纪西路5657号,丹穗龙山金谷,价格待定,142m²,3室(1),住宅,售罄,49
浆水泉区,洪山路舜兴东方,舜兴东方,27000,285m²,5室(1),住宅,在售,248
章丘,经十东路重汽莱蒙湖,重汽莱蒙湖,8800,252~405m²,5室(8)/4室(1),住宅,售罄,239
领秀城,二环南路鲁能领秀城漫山香墅,漫山香墅,价格待定,488m²,5室(1),别墅,售罄,1000
洪家楼,二环东路2277号,金桥国际,13000,40~100m²,2室(1)/1室(2),商业类,在售,52
齐鲁软件园,凤凰路3977号,国华印象,价格待定,330m²,6室(1),别墅,售罄,720
章丘,工业五路喜来乐御景湾,喜来乐御景湾,价格待定,477~522m²,4室(1)/3室(1),别墅,售罄,525
阳光舜城,旅游路28666号,国华东方美郡,1400,420m²,4室(1),别墅,在售,690
经十东路,科创路999号,天马相城,25000,398m²,4室(1),别墅,在售,790
腊山,党杨大道名门世家,名门世家,9000,300m²,4室(1),别墅,在售,330
商河,滨河路三发尚河名郡,三发尚河名郡,价格待定,,,住宅,售罄,56
西市场,经一路保利中心,保利中心华府,23000,97~128m²,3室(2)/2室(1),住宅,在售,223
旅游路,旅游路名悦山庄,名悦山庄,价格待定,,,住宅,售罄,358
兴隆,二环南路华润城仰山,华润城仰山,价格待定,142m²,3室(1),住宅,售罄,326
浆水泉区,转山西路1-17号,拉菲公馆,19000,35~65m²,2室(1)/1室(1),商业类,在售,66
阳光100区,阳光新路19号,阳光100国际新城H区,价格待定,,,住宅,售罄,140
