address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
东大路,二环路东四段外侧汇源东路88号,仁恒滨河湾,26000,,,住宅,售罄,149
海洋公园,麓山大道381号(麓山大道入口处左侧),阳光城半山悦,685,400~1004m²,8室(1)/5室(2),别墅,售罄,270
新会展,天府大道与天府一街交汇处（地铁1号线世纪城北行500米）,IMC国际广场,23000,,,商业类,售罄,120
毗河,龙秀路89号,万科五龙山蓝山别墅,450,,,别墅,售罄,248
新会展,益州大道中段699号（天府一街与天府二街之间）,香悦城,22000,,,商业类,在售,67
新津,兴园3路6号,隆鑫印象城邦,4600,91~95m²,3室(2),住宅,售罄,35
海洋公园,天府大道南段海昌南路99号,新鸿基悦城,15000,272m²,4室(1),住宅,在售,150
八里小区,成华二环路东一段内侧（距离桃蹊路口站30米）,首创天禧68,15500,77~87m²,3室(2)/2室(1),住宅,售罄,119
五块石,五块石玉居庵东路116号（红旗连锁旁）,中铁瑞景汇中心,10000,,,住宅,售罄,42
武侯立交,西三环路三段草金立交内侧万顺二路155号,金阳不夜都,8800,,,商业类,售罄,40
成渝立交,东三环凯德广场魅力城店向东500米,隆鑫印象东方,12000,,,住宅,售罄,99
新津,兴园三路66号（ 新筑股份对面）,新筑鼎峰,4800,108~119m²,4室(1)/3室(1),住宅,售罄,29
红光,红光镇港通北一路567号,中铁西郡英华三期,6400,,,住宅,售罄,39
外光华,西货站路207号,融创观玺台花园,17300,145m²,4室(1),住宅,售罄,174
西南财大,二环路西一段155号（仁和春天对面）,天祥广场,18000,113~220m²,4室(2)/3室(2)/2室(1),住宅,售罄,155
蛟龙港,双流东升街道航园路（棠湖中学实验学校旁）,棠府锦绣城,7900,,,住宅,售罄,63
中和,中和大道二段69号,红树湾,19000,84~128m²,4室(1)/3室(3)/2室(1),住宅,售罄,115
东郊记忆,建功路66号（荣新加油站东南方900米）,蓝光雍锦阁,18500,,,住宅,售罄,220
万年场,槐树店一路300号,鲁能城一期,17000,,,住宅,售罄,61
麓山,天府大道与武汉路交汇,成都万达1号,价格待定,,,别墅,售罄,211
大面,三圣乡成龙大道二段北大附小正对门（川师成龙校区旁）,天府逸家二期,8800,,,住宅,售罄,40
金堂,赵镇金园街159号,伊顿小镇,7100,260m²,3室(1),别墅,售罄,130
金融城,金融城交子大道（天府国际金融中心旁）,中国华商金融中心,35000,96~115m²,1室(2),住宅,售罄,264
大面,驿镇驿都西路3666号,炜岸城一期,8600,122~158m²,4室(1)/3室(1),住宅,售罄,50
光华大道沿线,光华大道江浦路77号,棕榈长滩,13000,,,住宅,售罄,120
东升镇,东升镇银河路8号（双流县图书馆旁）,隆鑫十里画卷,价格待定,,,住宅,售罄,73
金融城,锦城大道与天府大道交汇处（锦江旁）,招商大魔方,价格待定,,,住宅,售罄,210
红光,红光镇幸福路北一段（思源学校对面）,公园1号,7100,,,住宅,售罄,38
温江新城,南江路666号（凤溪大道与南熏大道交汇处）,和信孔雀天成,7000,85m²,2室(1),住宅,售罄,40
沙河堡,上沙河铺街66号（地铁2号线塔子山公园站旁）,COSMO天廊,23000,42m²,1室(1),住宅,售罄,88
莲花,顺江路335号（望江公园和川大旁）,阿玛尼艺术公寓,320,160~192m²,4室(1)/3室(1),住宅,在售,305
三圣乡,牡丹街39号,俊发星雅俊园,12500,,,商业类,在售,29
成外,万福一路西（成灌快铁犀浦东站旁）,天璟荟,8000,,,住宅,售罄,62
盐市口,前卫街12号,昆仑华庭,28000,,,住宅,售罄,100
红牌楼,红牌楼佳灵路6号,南棠蜜邸,13000,,,住宅,售罄,40
郫县万达,望丛东路478号,蜀都万达广场,6500,,,住宅,售罄,35
新华公园,东二环新鸿路口,恒大中央广场,19000,85~146m²,4室(1)/3室(2),住宅,售罄,89
外光华,武青北路（青羊万达旁 地铁4号线出口处）,紫御熙庭,16000,,,住宅,售罄,63
犀浦,国宁东路与犀安路交汇处,万科理想城,11000,74~110m²,4室(1)/3室(2),住宅,待售,74
阳光城,阳光大道89号,金山御景蓝湾,4600,88~132m²,3室(6)/2室(2),住宅,售罄,40
华侨城,三环路成彭立交桥外侧（欢乐谷旁）,华侨城原岸,12000,,,住宅,售罄,70
红牌楼,武阳大道二段186号,新界五期,14000,,,住宅,售罄,84
理工大,新成华大道三段与东华一路交汇口,中国铁建广场,9500,,,商业类,售罄,26
郫县万达,郫县红光镇港大路39号（距离郫县华西分院一个站）,优派立方,6000,,,住宅,售罄,40
东升镇,双楠大道与白河路交汇处（双流新党校旁）,威兰德小镇,7000,,,住宅,售罄,41
彭山,剑南大道南延线黄龙大道四段(黄龙古镇旁),黄龙溪谷,1500,240m²,5室(1),别墅,在售,340
华阳,益州大道中段1918号,嘉祥瑞庭南城,17000,76~87m²,3室(1)/2室(1),住宅,售罄,65
阳光城,同安街道办事处阳光大道8号(博瑞花园酒店对面),昂世半山观邸,9000,104~219m²,4室(2)/3室(3),住宅,售罄,98
花都大道,光华大道三段清泉北街江安路,佳年华新生活,8600,66~119m²,3室(4)/2室(2),住宅,售罄,39
市一医院,荟锦路265号,南城都汇汇彩园,价格待定,90m²,3室(1),住宅,售罄,116
雅居乐,万安镇麓山大道二段19号,雅居乐富春山居,15500,330m²,5室(1),住宅,在售,399
动物园,致力东街领地海纳时代,领地海纳时代,12000,,,住宅,售罄,50
驷马桥,2.5环内昭觉寺横路（中国电信旁）,泛悦城市广场,12000,67~97m²,3室(2)/2室(1),住宅,售罄,56
大面,驿都大道北海亮彩悦府,海亮彩悦府,12000,81m²,3室(1),住宅,售罄,73
大丰,新成彭路大天路出口左侧,融创凯旋东岸,9000,80~92m²,3室(2),住宅,售罄,55
中和,中和中柏大道（格林君典旁）,新景鼎南川宇,13000,,,商业类,售罄,58
外金沙,西三环蜀鑫路与清波路交汇处（华润金悦湾对面）,海亮樾金沙,18000,,,住宅,售罄,92
航天,燃灯寺路与星光东路路口御嶺春天,御嶺春天,价格待定,,,住宅,售罄,43
温江大学城,金马国际体育城太极大道66号（体育城附近）,东原城,7000,86m²,3室(1),住宅,售罄,36
红光,红光镇广场路北三段,同森锦熙,6900,,,住宅,售罄,37
红光,郫县红光镇港通工业区1519欧陆城邦,蓉树园,8500,103m²,5室(1),住宅,售罄,21
华侨城,金泉路12号,泽瑞西园,875,372m²,5室(1),别墅,售罄,730
东湖,琉璃路123号,中港央湖明邸二期,20000,90~117m²,3室(6),住宅,售罄,129
新津,天府新城南（成雅高速邓双出口下行500米）,亚特兰蒂斯黄金时代,450,330m²,5室(1),别墅,在售,250
草金立交,武科东二路90号,世豪嘉柏,12000,,,商业类,在售,49
东升镇,东升街道三强北路三段59号,正昌幸福岭,6000,45m²,1室(1),住宅,售罄,27
东升镇,东升街道银河路2222号（双流规划展览馆对面）,贵通御苑映月湾,8500,,,住宅,售罄,160
动物园,成华区荆竹东路与东荆路交汇处,首创花与城二期,17800,77m²,3室(1),住宅,售罄,55
华阳,天府大道与华府大道交汇处,蓝润ISC,17500,,,商业类,在售,63
蛟龙港,双楠大道银河路160号（双流运动公园旁）,北京城建龙樾湾,8000,,,住宅,售罄,59
航空港,西航港锦华路二段,温资金港华府,10000,,,住宅,售罄,91
红牌楼,永顺路38-附1号,蓝光雍锦世家,23000,,,住宅,售罄,306
华阳,剑南大道南段669号,欧香小镇,价格待定,,,住宅,售罄,179
大面,成龙大道与龙城大道交汇处云立方,电建地产云立方,价格待定,,,住宅,售罄,47
外金沙,清源二路126号,蓝光雍锦园,2000,,,别墅,售罄,220
龙潭寺,双龙路与华盛路交汇处（龙潭水乡向北500米）,保利林语溪,9056,95~108m²,4室(1)/3室(1),住宅,售罄,39
十陵,西河镇成洛大道（成洛路西南食品城旁）,东韵雅园,7500,99~110m²,3室(5),住宅,售罄,38
蛟龙港,双楠大道航都大街99号（香榭美邻二期旁）,国奥村,14000,,,别墅,售罄,230
大丰,新成彭路大天路出口左侧（博雅新城旁）,优品道珑苑,8500,,,住宅,售罄,59
大源,天府一街与益州大道交界处,中洲锦城湖岸,24000,106m²,3室(1),住宅,售罄,180
丽都,丽都路700号（置信丽都花园丽府对面）,中环丰锦,20000,,,住宅,售罄,150
麓山,沈阳路（万安体育公园前行500米）,枫丹铂麓,价格待定,,,住宅,售罄,40
太升路,顺城大街316号,融城云熙,16000,,,住宅,售罄,83
南湖,锦江生态带以西，剑南大道以东,万科翡翠公园,价格待定,,,住宅,售罄,132
阳光城,阳光城阳光大道2号,成龙1号,600,,,别墅,售罄,531
万象城,双成五路66号,观城,16000,,,商业类,在售,49
蛟龙港,九江镇万家街道（星空路与香榭大道交汇处）,华润公园九里,7500,123m²,4室(1),住宅,售罄,59
远大,红星路南延线与应龙路交叉口,北大资源颐和翡翠府,18000,150m²,5室(1),住宅,售罄,105
万家湾,培风路276号（成都实验小学西区旁）,颐和京都,12500,48m²,2室(1),住宅,售罄,60
武侯立交,双楠果堰街,中海熙苑一期,17500,,,住宅,售罄,127
大源,天府四街1999号,朗基御今缘,价格待定,95~131m²,4室(2)/3室(1),住宅,售罄,166
五块石,站北中街8号,香澜坊,11000,,,住宅,售罄,67
郫县城区,蜀都新城 创智公园南四路100号（创智公园正对面）,海骏达蜀都1号三期,6200,,,住宅,售罄,49
驷马桥,赤虎桥南街1号（华宇阳光水岸旁）,香澜半岛,16000,111m²,3室(1),住宅,售罄,40
红光,红光镇红光路（公园1号旁）,上善天成,7000,,,住宅,售罄,57
阳光城,阳光城幸福大道333号,华府幸福城,9000,,,住宅,售罄,24
南湖,南湖北路121号,南湖世纪,11500,99~109m²,3室(2),住宅,售罄,75
大面,大面街道办事处新建路118号,百悦城142,7500,83~95m²,3室(2),住宅,售罄,55
南湖,正兴镇正公路33号（城南麓山高端别墅板块）,建发浅水湾,价格待定,480~580m²,7室(1)/5室(1),别墅,售罄,700
驷马桥,荆顺东街235号,维多利亚富御,9200,,,住宅,售罄,62
东郊记忆,中环五道口（成都理工大斜对面）,上寓,11100,47m²,1室(1),商业类,售罄,33
麓山,麓山大道二段（成都实验外国语西区旁）,滨江和城,价格待定,91~113m²,4室(1)/3室(1),住宅,售罄,48
大源,天府一街1333号（高新七中旁）,凯德世纪名邸,价格待定,91~114m²,4室(3)/3室(1),住宅,售罄,94
保利公园,蜀龙大道中段（198公园对面）,中洲中央公园,10000,114~132m²,4室(1)/3室(2),住宅,售罄,43
红光,红光镇红光路（公园1号旁）,上善天成,7000,,,住宅,售罄,57
阳光城,阳光城幸福大道333号,华府幸福城,9000,,,住宅,售罄,24
南湖,南湖北路121号,南湖世纪,11500,99~109m²,3室(2),住宅,售罄,75
大面,大面街道办事处新建路118号,百悦城142,7500,83~95m²,3室(2),住宅,售罄,55
南湖,正兴镇正公路33号（城南麓山高端别墅板块）,建发浅水湾,价格待定,480~580m²,7室(1)/5室(1),别墅,售罄,700
驷马桥,荆顺东街235号,维多利亚富御,9200,,,住宅,售罄,62
东郊记忆,中环五道口（成都理工大斜对面）,上寓,11100,47m²,1室(1),商业类,售罄,33
麓山,麓山大道二段（成都实验外国语西区旁）,滨江和城,价格待定,91~113m²,4室(1)/3室(1),住宅,售罄,48
大源,天府一街1333号（高新七中旁）,凯德世纪名邸,价格待定,91~114m²,4室(3)/3室(1),住宅,售罄,94
保利公园,蜀龙大道中段（198公园对面）,中洲中央公园,10000,114~132m²,4室(1)/3室(2),住宅,售罄,43
龙泉驿城区,地铁二号线书房站（永辉超市对面）,隆基泰和铂悦山,价格待定,,,住宅,售罄,46
温江大学城,新华大道二段（金马国际体育城旁）,金穗苑,6000,,,住宅,售罄,92
郫县城区,古城镇蜀源大道三段588,蓉晶公馆,4700,,,住宅,售罄,20
华阳,剑南大道南端（丽景雅筑旁）,戛纳湾金棕榈,8500,,,商业类,售罄,42
东苑,天仁路388号,凯德天府,价格待定,,,住宅,售罄,126
大丰,三环成金青大道狮子湖生态区入口,缤纷翡翠湾,5000,,,住宅,售罄,30
新都城区,新泰东路144号（石油大学大转盘旁）,汇景新城,5600,91~140m²,3室(2)/2室(1),住宅,售罄,38
十陵,龙泉驿区西河镇成洛大道(西南食品城旁),招商依云上城,价格待定,77m²,3室(1),住宅,待售,33
大丰,北3.5环北新大道与天丰路交汇处,绿地城,8500,,,住宅,售罄,58
大源,高新区天府三街855号（大源中央公园旁）,锦城南府猫先生,19500,,,商业类,在售,64
郫县城区,蜀都新城中信大道顺河路口（中信未来城南侧）,龙光君悦华庭,6100,,,住宅,售罄,30
犀浦,高新西区合作路89号,龙湖时代天街,8000,,,住宅,售罄,35
麓山,麓山大道二段,麓岭汇,17000,,,住宅,售罄,123
大面,成龙大道川师成龙校区旁,龙湖三千庭,14000,,,住宅,售罄,76
保利公园,新都蜀龙大道三河场段（保利公园198旁）,莱茵北郡三期,6100,86~95m²,3室(2),住宅,售罄,36
新都城区,新都大道（成都医学院旁）,和信香榭澜郡,6800,,,住宅,售罄,38
大面,成龙大道车城西三路,金科东方雅郡,价格待定,76~81m²,3室(2),住宅,售罄,33
高升桥,红牌楼北街东侧与二环路交汇处（近丽都花园）,营盛大厦,12300,,,住宅,售罄,37
郫县城区,鹃兴路729号,中航城,8000,,,住宅,售罄,39
大丰,北新大道东（大天路旁）,保利城四期中央郡,9800,92~126m²,4室(2)/3室(2),住宅,售罄,52
南湖,华阳街道府河路与南湖路交汇处,北京街,13000,,,商业类,售罄,36
东山,龙华大道256号,龙腾东麓城,价格待定,,,住宅,售罄,36
南湖,协和街道剑南大道2266号（南湖公园旁）,中铁骑士府邸,12000,67~96m²,3室(3),住宅,售罄,63
花都大道,花都大道与凤凰北大街交界处（光华新城地铁4号线凤凰大道站）,蓝润光华春天,7800,72~116m²,3室(5)/2室(1),住宅,售罄,34
十陵,西河镇成洛大道（华新职业学院旁）,昊园江南壹品,5800,58~93m²,3室(4)/1室(1),住宅,售罄,35
大丰,龙桥渭水社区老成彭路,蓉垚北尚城,5000,67~90m²,3室(3)/2室(1),住宅,售罄,28
