address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
林店,蒙城北路与耀远路交口,华地森林湖,12800,88~98m²,3室(1)/2室(1),住宅,售罄,113
森林公园,北二环与四里河路交口西南角,万科森林公园,19000,,,住宅,售罄,247
肥西,翡翠路与方兴大道交口,原树提香,19000,406m²,5室(1),别墅,在售,553
方兴,庐州大道与中山路交叉口,佳源巴黎都市,18000,100~107m²,3室(1)/2室(1),住宅,售罄,169
肥西,肥西翡翠路与乐平路交口,文一西溪湾,11200,100m²,3室(1),住宅,售罄,125
长丰,阜阳北路以西、金梅路以南,文一·锦门北韵,11000,116m²,4室(1),住宅,在售,111
长丰,合肥市元一高尔夫别墅旁,奥青城,10500,84~127m²,3室(1)/2室(1),住宅,在售,85
肥东,店埠镇新安江路与虎山路交口东南角,文德·公园里,12500,86m²,4室(1),住宅,在售,106
肥东,长江东路与金阳路交口向北300米,尚泽·琪瑞公馆,9800,88m²,3室(1),住宅,售罄,92
站北,淮海大道与大禹路交口西北角,家天下北郡,9600,40m²,1室(1),住宅,在售,38
肥东,临泉东路与临湖路交口向北80米,文一名都,13000,88~89m²,3室(2),住宅,售罄,94
常青,宿松路南门换乘中心正对面（十五里河北岸）,国贸天悦,19998,,,住宅,售罄,264
七里塘,天水路与万罗山路交口,力高君御世家,10000,106m²,3室(1),住宅,售罄,90
站北,淮海大道与大禹路交口西北角,家天下北郡,9600,40m²,1室(1),住宅,在售,38
肥东,临泉东路与临湖路交口向北80米,文一名都,13000,88~89m²,3室(2),住宅,售罄,94
站北,新站区前岭路以东、东方大道南北两侧,当代MOMΛ未来城,11110,122~135m²,4室(1)/3室(1),住宅,售罄,92
肥西,繁华大道与派河大道交口向南300米,华南城·紫荆名都,7800,38m²,1室(1),住宅,售罄,29
肥西,肥西金寨南路与三岗路交汇处西北侧,春景花园,11800,108m²,3室(1),住宅,售罄,130
林店,阜阳北路与凌湖路交口东北角,融侨悦城,22000,102m²,2室(1),住宅,售罄,137
肥东,站南路与北张路交口,城建琥珀庄园,10500,115m²,3室(2),住宅,售罄,133
长丰,合淮路卧龙山生态园区,鹭山湖,11600,140~178m²,4室(3),住宅,在售,143
长安,桃花工业园繁华大道与恒山路交口西南侧,和昌中央悦府,7000,35~47m²,1室(4),写字楼,在售,23
大兴镇,月亮湾路与障山路交口,弘阳昕悦府,12500,92~123m²,4室(2)/3室(4),住宅,在售,116
龙岗,长江东路与郎溪路交口东200米,海尔地产·智慧公馆,15000,120m²,3室(1),住宅,售罄,180
肥东,肥东东风大道与淮南路交汇处,华东文博城,7000,,,商铺,在售,149
长丰,蒙城北路与魏武路交口东北角,京祥名都,10400,87~89m²,3室(2),住宅,售罄,90
肥西,金寨南路与创新大道交口,丽丰·铂羽公馆,13000,114m²,3室(1),住宅,在售,148
肥东,公园路与塘杨路交叉口,星光国际广场,12000,131~141m²,3室(2),住宅,在售,93
长安,桃花工业园繁华大道与恒山路交口西南侧,和昌中央悦府,7000,35~47m²,1室(4),写字楼,在售,23
长丰,蒙城北路与魏武路交口,京冠御园华府,11500,89m²,2室(1),住宅,售罄,101
井岗镇,长江西路与潜山路交叉口向西100米,蓝光禹洲城,11000,46~52m²,1室(2),写字楼,在售,51
长宁,望江西路与鸡鸣山路交口西北角,西子曼城,13200,128m²,4室(1),住宅,售罄,121
东站,新站区大众路与涣水路交口西南角,华地·紫悦府,14800,92~104m²,3室(3),住宅,在售,136
黄小,铭传路与香樟大道交汇东北处,融创·玖樟台,16888,147m²,4室(1),住宅,在售,235
肥西,紫蓬山景区广场西南角,万振紫蓬湾,16000,385m²,8室(1),别墅,在售,504
义城,上海路与紫云路交口东侧,紫云赋·江山印,13400,95m²,3室(1),住宅,售罄,152
南岗镇,长江路与鸡鸣山路交口西北处,保利·柏林之春,16500,94~104m²,2室(2),住宅,在售,156
长丰,蒙城北路与梅冲支路交口向西500米,金科半岛壹号,15000,318m²,5室(1),别墅,在售,171
磨店,职教城淮海大道与梦溪路交口,圣联梦溪小镇,价格待定,220m²,4室(1),别墅,在售,330
铜陵路,瑶海区长江东大街与当涂路交叉口向南60米,春天城市广场,8000,46~102m²,1室(2),写字楼,在售,37
肥东,长江东路与镇西路交口向北200米,蓝光公园1号,14800,108~131m²,4室(1)/3室(1),住宅,在售,119
长丰,合淮路卧龙山生态园区,鹭山湖,11600,140~178m²,4室(3),住宅,在售,143
方兴,庐州大道与南京路交口向东100米,万科·时代之光,25556,144m²,4室(2),别墅,售罄,368
磨店,职教城淮海大道与梦溪路交口,圣联梦溪小镇,价格待定,220m²,4室(1),别墅,在售,330
新产业园,科学岛路与湖光路交口向北500米,御璟·江山,15000,90m²,2室(1),住宅,在售,127
方兴,包河大道与南京路交口,招商雍华府,21800,98~100m²,3室(2),住宅,在售,213
四里河,临泉路与肥西路交口北200米,合景庐月湾,20800,106m²,2室(1),住宅,在售,185
义城,上海路与紫云路交口东侧,紫云赋·江山印,13400,95m²,3室(1),住宅,售罄,152
南岗镇,长江路与鸡鸣山路交口西北处,保利·柏林之春,16500,94~104m²,2室(2),住宅,在售,156
长丰,蒙城北路与梅冲支路交口向西500米,金科半岛壹号,15000,318m²,5室(1),别墅,在售,171
肥东,长江东路与燎原路交汇处,禹洲·中央广场,14000,113m²,3室(1),住宅,在售,125
西园,蜀山区潜山路与贵池路交口,求实领势学府,19500,50~70m²,1室(2),住宅,售罄,95
方兴,庐州大道与南京路交口向东100米,万科·时代之光,25556,,,住宅,售罄,346
和平路,铜陵路与裕溪路交口西北,保利熙悦府,15000,41~60m²,2室(4),住宅,售罄,68
兴园,集贤路以西、合欢路以南,文一名门首府,20000,110m²,3室(1),住宅,在售,175
烟墩,南宁路与西藏路交口西北,文一·豪门金地,22000,108m²,3室(1),住宅,在售,233
荷叶地,天鹅湖路与齐云山路交口东南,融创合肥壹号院,42000,167m²,4室(1),住宅,在售,391
林店,蒙城北路与凌湖路交口,皖投天下名筑,14800,110m²,3室(1),住宅,在售,122
烟墩,南宁路与西藏路交口西北,文一·豪门金地,22000,108m²,3室(1),住宅,在售,233
锦绣,金寨路与紫云路交口,文一名门南郡,15700,,,住宅,售罄,160
长宁,长宁大道以西、云飞路以北,祥源金港湾,16500,130m²,3室(1),住宅,在售,141
肥东,肥东南环路与沿河路交口,文一名门云河湾,10500,101m²,4室(1),住宅,售罄,95
长丰,蒙城北路与梅登路交口,御景嘉苑,11000,87~107m²,4室(1)/3室(1),住宅,在售,92
肥东,城南新区日出路与北张路交口东南角,斌锋·和睦公馆,13500,85m²,3室(1),住宅,售罄,106
和平路,铜陵路与裕溪路交口西北,保利熙悦府,15000,41~60m²,2室(4),住宅,售罄,68
兴园,集贤路以西、合欢路以南,文一名门首府,20000,110m²,3室(1),住宅,在售,175
烟墩,滨湖区庐州大道与南宁路交口,滨湖宝文中心,14000,35m²,1室(1),写字楼,在售,49
肥东,站南路与店忠路交口,城建琥珀名郡,10500,87~101m²,3室(2),住宅,在售,91
烟墩,西藏路与杭州路交口东南角,滨湖·东方汇,13000,,,写字楼,在售,74
荷叶地,金寨路以东、龙川路以北,恒大水晶国际广场,12000,58m²,1室(1),写字楼,在售,70
烟墩,庐州大道与环湖北路交口,合肥万达城,19000,87~140m²,4室(1)/2室(2),住宅,在售,166
常青,包河区南二环路与宿松路西南交口,绿地中心,12000,70~140m²,1室(2),写字楼,在售,91
东站,岱河路与烈山路交口东北,绿地柏仕公馆,13500,66m²,1室(1),住宅,在售,62
常青,合作化南路与龙川路交口,融侨观澜,21700,105~135m²,4室(2)/3室(1),住宅,在售,220
磨店,淮海大道与大众路交口,正荣·悦都荟,13500,90~120m²,4室(2)/3室(1),住宅,在售,133
胜利路,明光路和胜利路交汇处,恒大中央广场,12000,55m²,1室(1),写字楼,在售,66
肥东,临泉东路与金阳路交汇处西南角,斌锋时代城,10500,104m²,4室(1),住宅,在售,101
肥西,上派镇金寨南路与仙霞路交口北侧,华地紫金府,11000,109m²,3室(1),住宅,售罄,106
常青,合作化南路与龙川路交口,融侨观澜,21700,105~135m²,4室(2)/3室(1),住宅,在售,220
磨店,前岭路与龙子湖路交叉口,绿都少荃府,12500,100~123m²,4室(2)/3室(2),住宅,在售,120
新产业园,枫林路与雪霁北路交叉口,禹洲·平湖秋月,18000,142m²,4室(1),住宅,售罄,210
磨店,淮海大道与大众路交口,正荣·悦都荟,13500,90~120m²,4室(2)/3室(1),住宅,在售,133
长丰,阜阳北路与泉河路交口西南角,万科苏高新·中央公园,14800,88~123m²,3室(2),住宅,在售,127
东站,岱河路以南，烈山路以西,蓝光·林肯公园,13000,100~130m²,4室(2)/3室(2),住宅,在售,136
大兴镇,和平路与障山路交口,金科·海昱东方,12600,86~119m²,4室(1)/3室(3),住宅,在售,115
磨店,龙子湖路与张衡路交汇处,皖投万科天下艺境,13000,89~122m²,4室(1)/3室(2),住宅,在售,120
芙蓉,翡翠路与紫云路交口,世茂翡翠首府,14200,62m²,1室(1),住宅,在售,63
烟墩,南宁路与西藏路交口西北,文一·豪门金地,22000,108m²,3室(1),住宅,在售,233
荷叶地,天鹅湖路与齐云山路交口东南,融创合肥壹号院,42000,167m²,4室(1),住宅,在售,391
五里墩,西一环和清溪路交口向西300米,中国铁建青秀城,16000,100m²,3室(1),住宅,在售,127
新产业园,科学岛路与樊洼路交口西北角,幸福·金色湖畔,15900,99~110m²,4室(1)/3室(1),住宅,在售,155
东站,岱河路以南，烈山路以西,蓝光·林肯公园,13000,100~130m²,4室(2)/3室(2),住宅,在售,136
大兴镇,和平路与障山路交口,金科·海昱东方,12600,86~119m²,4室(1)/3室(3),住宅,在售,115
磨店,龙子湖路与张衡路交汇处,皖投万科天下艺境,13000,89~122m²,4室(1)/3室(2),住宅,在售,120
芙蓉,翡翠路与紫云路交口,世茂翡翠首府,14200,62m²,1室(1),住宅,在售,63
烟墩,南宁路与西藏路交口西北,文一·豪门金地,22000,108m²,3室(1),住宅,在售,233
荷叶地,天鹅湖路与齐云山路交口东南,融创合肥壹号院,42000,167m²,4室(1),住宅,在售,391
五里墩,西一环和清溪路交口向西300米,中国铁建青秀城,16000,100m²,3室(1),住宅,在售,127
新产业园,科学岛路与樊洼路交口西北角,幸福·金色湖畔,15900,99~110m²,4室(1)/3室(1),住宅,在售,155
东站,岱河路以南，烈山路以西,蓝光·林肯公园,13000,100~130m²,4室(2)/3室(2),住宅,在售,136
大兴镇,和平路与障山路交口,金科·海昱东方,12600,86~119m²,4室(1)/3室(3),住宅,在售,115
磨店,龙子湖路与张衡路交汇处,皖投万科天下艺境,13000,89~122m²,4室(1)/3室(2),住宅,在售,120
芙蓉,翡翠路与紫云路交口,世茂翡翠首府,14200,62m²,1室(1),住宅,在售,63
烟墩,南宁路与西藏路交口西北,文一·豪门金地,22000,108m²,3室(1),住宅,在售,233
荷叶地,天鹅湖路与齐云山路交口东南,融创合肥壹号院,42000,167m²,4室(1),住宅,在售,391
五里墩,西一环和清溪路交口向西300米,中国铁建青秀城,16000,100m²,3室(1),住宅,在售,127
新产业园,科学岛路与樊洼路交口西北角,幸福·金色湖畔,15900,99~110m²,4室(1)/3室(1),住宅,在售,155
东站,岱河路以南，烈山路以西,蓝光·林肯公园,13000,100~130m²,4室(2)/3室(2),住宅,在售,136
大兴镇,和平路与障山路交口,金科·海昱东方,12600,86~119m²,4室(1)/3室(3),住宅,在售,115
磨店,龙子湖路与张衡路交汇处,皖投万科天下艺境,13000,89~122m²,4室(1)/3室(2),住宅,在售,120
芙蓉,翡翠路与紫云路交口,世茂翡翠首府,14200,62m²,1室(1),住宅,在售,63
烟墩,南宁路与西藏路交口西北,文一·豪门金地,22000,108m²,3室(1),住宅,在售,233
荷叶地,天鹅湖路与齐云山路交口东南,融创合肥壹号院,42000,167m²,4室(1),住宅,在售,391
五里墩,西一环和清溪路交口向西300米,中国铁建青秀城,16000,100m²,3室(1),住宅,在售,127
新产业园,科学岛路与樊洼路交口西北角,幸福·金色湖畔,15900,99~110m²,4室(1)/3室(1),住宅,在售,155
东站,岱河路以南，烈山路以西,蓝光·林肯公园,13000,100~130m²,4室(2)/3室(2),住宅,在售,136
大兴镇,和平路与障山路交口,金科·海昱东方,12600,86~119m²,4室(1)/3室(3),住宅,在售,115
磨店,龙子湖路与张衡路交汇处,皖投万科天下艺境,13000,89~122m²,4室(1)/3室(2),住宅,在售,120
芙蓉,翡翠路与紫云路交口,世茂翡翠首府,14200,62m²,1室(1),住宅,在售,63
烟墩,南宁路与西藏路交口西北,文一·豪门金地,22000,108m²,3室(1),住宅,在售,233
荷叶地,天鹅湖路与齐云山路交口东南,融创合肥壹号院,42000,167m²,4室(1),住宅,在售,391
五里墩,西一环和清溪路交口向西300米,中国铁建青秀城,16000,100m²,3室(1),住宅,在售,127
新产业园,科学岛路与樊洼路交口西北角,幸福·金色湖畔,15900,99~110m²,4室(1)/3室(1),住宅,在售,155
东站,岱河路以南，烈山路以西,蓝光·林肯公园,13000,100~130m²,4室(2)/3室(2),住宅,在售,136
大兴镇,和平路与障山路交口,金科·海昱东方,12600,86~119m²,4室(1)/3室(3),住宅,在售,115
磨店,龙子湖路与张衡路交汇处,皖投万科天下艺境,13000,89~122m²,4室(1)/3室(2),住宅,在售,120
芙蓉,翡翠路与紫云路交口,世茂翡翠首府,14200,62m²,1室(1),住宅,在售,63
烟墩,南宁路与西藏路交口西北,文一·豪门金地,22000,108m²,3室(1),住宅,在售,233
荷叶地,天鹅湖路与齐云山路交口东南,融创合肥壹号院,42000,167m²,4室(1),住宅,在售,391
五里墩,西一环和清溪路交口向西300米,中国铁建青秀城,16000,100m²,3室(1),住宅,在售,127
新产业园,科学岛路与樊洼路交口西北角,幸福·金色湖畔,15900,99~110m²,4室(1)/3室(1),住宅,在售,155
东站,岱河路以南，烈山路以西,蓝光·林肯公园,13000,100~130m²,4室(2)/3室(2),住宅,在售,136
大兴镇,和平路与障山路交口,金科·海昱东方,12600,86~119m²,4室(1)/3室(3),住宅,在售,115
磨店,龙子湖路与张衡路交汇处,皖投万科天下艺境,13000,89~122m²,4室(1)/3室(2),住宅,在售,120
芙蓉,翡翠路与紫云路交口,世茂翡翠首府,14200,62m²,1室(1),住宅,在售,63
烟墩,南宁路与西藏路交口西北,文一·豪门金地,22000,108m²,3室(1),住宅,在售,233
荷叶地,天鹅湖路与齐云山路交口东南,融创合肥壹号院,42000,167m²,4室(1),住宅,在售,391
五里墩,西一环和清溪路交口向西300米,中国铁建青秀城,16000,100m²,3室(1),住宅,在售,127
新产业园,科学岛路与樊洼路交口西北角,幸福·金色湖畔,15900,99~110m²,4室(1)/3室(1),住宅,在售,155
东站,岱河路以南，烈山路以西,蓝光·林肯公园,13000,100~130m²,4室(2)/3室(2),住宅,在售,136
大兴镇,和平路与障山路交口,金科·海昱东方,12600,86~119m²,4室(1)/3室(3),住宅,在售,115
磨店,龙子湖路与张衡路交汇处,皖投万科天下艺境,13000,89~122m²,4室(1)/3室(2),住宅,在售,120
芙蓉,翡翠路与紫云路交口,世茂翡翠首府,14200,62m²,1室(1),住宅,在售,63
烟墩,南宁路与西藏路交口西北,文一·豪门金地,22000,108m²,3室(1),住宅,在售,233
荷叶地,天鹅湖路与齐云山路交口东南,融创合肥壹号院,42000,167m²,4室(1),住宅,在售,391
五里墩,西一环和清溪路交口向西300米,中国铁建青秀城,16000,100m²,3室(1),住宅,在售,127
新产业园,科学岛路与樊洼路交口西北角,幸福·金色湖畔,15900,99~110m²,4室(1)/3室(1),住宅,在售,155
东站,岱河路以南，烈山路以西,蓝光·林肯公园,13000,100~130m²,4室(2)/3室(2),住宅,在售,136
大兴镇,和平路与障山路交口,金科·海昱东方,12600,86~119m²,4室(1)/3室(3),住宅,在售,115
磨店,龙子湖路与张衡路交汇处,皖投万科天下艺境,13000,89~122m²,4室(1)/3室(2),住宅,在售,120
芙蓉,翡翠路与紫云路交口,世茂翡翠首府,14200,62m²,1室(1),住宅,在售,63
烟墩,南宁路与西藏路交口西北,文一·豪门金地,22000,108m²,3室(1),住宅,在售,233
荷叶地,天鹅湖路与齐云山路交口东南,融创合肥壹号院,42000,167m²,4室(1),住宅,在售,391
五里墩,西一环和清溪路交口向西300米,中国铁建青秀城,16000,100m²,3室(1),住宅,在售,127
新产业园,科学岛路与樊洼路交口西北角,幸福·金色湖畔,15900,99~110m²,4室(1)/3室(1),住宅,在售,155
东站,岱河路以南，烈山路以西,蓝光·林肯公园,13000,100~130m²,4室(2)/3室(2),住宅,在售,136
大兴镇,和平路与障山路交口,金科·海昱东方,12600,86~119m²,4室(1)/3室(3),住宅,在售,115
磨店,龙子湖路与张衡路交汇处,皖投万科天下艺境,13000,89~122m²,4室(1)/3室(2),住宅,在售,120
芙蓉,翡翠路与紫云路交口,世茂翡翠首府,14200,62m²,1室(1),住宅,在售,63
烟墩,南宁路与西藏路交口西北,文一·豪门金地,22000,108m²,3室(1),住宅,在售,233
荷叶地,天鹅湖路与齐云山路交口东南,融创合肥壹号院,42000,167m²,4室(1),住宅,在售,391
五里墩,西一环和清溪路交口向西300米,中国铁建青秀城,16000,100m²,3室(1),住宅,在售,127
新产业园,科学岛路与樊洼路交口西北角,幸福·金色湖畔,15900,99~110m²,4室(1)/3室(1),住宅,在售,155
东站,岱河路以南，烈山路以西,蓝光·林肯公园,13000,100~130m²,4室(2)/3室(2),住宅,在售,136
大兴镇,和平路与障山路交口,金科·海昱东方,12600,86~119m²,4室(1)/3室(3),住宅,在售,115
磨店,龙子湖路与张衡路交汇处,皖投万科天下艺境,13000,89~122m²,4室(1)/3室(2),住宅,在售,120
芙蓉,翡翠路与紫云路交口,世茂翡翠首府,14200,62m²,1室(1),住宅,在售,63
烟墩,南宁路与西藏路交口西北,文一·豪门金地,22000,108m²,3室(1),住宅,在售,233
荷叶地,天鹅湖路与齐云山路交口东南,融创合肥壹号院,42000,167m²,4室(1),住宅,在售,391
五里墩,西一环和清溪路交口向西300米,中国铁建青秀城,16000,100m²,3室(1),住宅,在售,127
新产业园,科学岛路与樊洼路交口西北角,幸福·金色湖畔,15900,99~110m²,4室(1)/3室(1),住宅,在售,155
东站,岱河路以南，烈山路以西,蓝光·林肯公园,13000,100~130m²,4室(2)/3室(2),住宅,在售,136
大兴镇,和平路与障山路交口,金科·海昱东方,12600,86~119m²,4室(1)/3室(3),住宅,在售,115
磨店,龙子湖路与张衡路交汇处,皖投万科天下艺境,13000,89~122m²,4室(1)/3室(2),住宅,在售,120
芙蓉,翡翠路与紫云路交口,世茂翡翠首府,14200,62m²,1室(1),住宅,在售,63
烟墩,南宁路与西藏路交口西北,文一·豪门金地,22000,108m²,3室(1),住宅,在售,233
荷叶地,天鹅湖路与齐云山路交口东南,融创合肥壹号院,42000,167m²,4室(1),住宅,在售,391
五里墩,西一环和清溪路交口向西300米,中国铁建青秀城,16000,100m²,3室(1),住宅,在售,127
新产业园,科学岛路与樊洼路交口西北角,幸福·金色湖畔,15900,99~110m²,4室(1)/3室(1),住宅,在售,155
东站,岱河路以南，烈山路以西,蓝光·林肯公园,13000,100~130m²,4室(2)/3室(2),住宅,在售,136
大兴镇,和平路与障山路交口,金科·海昱东方,12600,86~119m²,4室(1)/3室(3),住宅,在售,115
磨店,龙子湖路与张衡路交汇处,皖投万科天下艺境,13000,89~122m²,4室(1)/3室(2),住宅,在售,120
芙蓉,翡翠路与紫云路交口,世茂翡翠首府,14200,62m²,1室(1),住宅,在售,63
烟墩,南宁路与西藏路交口西北,文一·豪门金地,22000,108m²,3室(1),住宅,在售,233
荷叶地,天鹅湖路与齐云山路交口东南,融创合肥壹号院,42000,167m²,4室(1),住宅,在售,391
五里墩,西一环和清溪路交口向西300米,中国铁建青秀城,16000,100m²,3室(1),住宅,在售,127
新产业园,科学岛路与樊洼路交口西北角,幸福·金色湖畔,15900,99~110m²,4室(1)/3室(1),住宅,在售,155
东站,岱河路以南，烈山路以西,蓝光·林肯公园,13000,100~130m²,4室(2)/3室(2),住宅,在售,136
大兴镇,和平路与障山路交口,金科·海昱东方,12600,86~119m²,4室(1)/3室(3),住宅,在售,115
磨店,龙子湖路与张衡路交汇处,皖投万科天下艺境,13000,89~122m²,4室(1)/3室(2),住宅,在售,120
芙蓉,翡翠路与紫云路交口,世茂翡翠首府,14200,62m²,1室(1),住宅,在售,63
烟墩,南宁路与西藏路交口西北,文一·豪门金地,22000,108m²,3室(1),住宅,在售,233
荷叶地,天鹅湖路与齐云山路交口东南,融创合肥壹号院,42000,167m²,4室(1),住宅,在售,391
五里墩,西一环和清溪路交口向西300米,中国铁建青秀城,16000,100m²,3室(1),住宅,在售,127
新产业园,科学岛路与樊洼路交口西北角,幸福·金色湖畔,15900,99~110m²,4室(1)/3室(1),住宅,在售,155
东站,岱河路以南，烈山路以西,蓝光·林肯公园,13000,100~130m²,4室(2)/3室(2),住宅,在售,136
大兴镇,和平路与障山路交口,金科·海昱东方,12600,86~119m²,4室(1)/3室(3),住宅,在售,115
磨店,龙子湖路与张衡路交汇处,皖投万科天下艺境,13000,89~122m²,4室(1)/3室(2),住宅,在售,120
芙蓉,翡翠路与紫云路交口,世茂翡翠首府,14200,62m²,1室(1),住宅,在售,63
烟墩,南宁路与西藏路交口西北,文一·豪门金地,22000,108m²,3室(1),住宅,在售,233
荷叶地,天鹅湖路与齐云山路交口东南,融创合肥壹号院,42000,167m²,4室(1),住宅,在售,391
五里墩,西一环和清溪路交口向西300米,中国铁建青秀城,16000,100m²,3室(1),住宅,在售,127
