address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
北辰三角洲,开福区湘江北路三段1200号（新河三角洲湘江和浏阳河交汇处）,北辰三角洲C2区,12500,140m²,3室(1),住宅,售罄,125
金盆岭,天心区南湖路与书院南路交汇处东南角（长沙理工大学与邮电学院中间）,荣盛花语书苑,8650,79m²,2室(1),住宅,售罄,68
金霞,开福区湘江北路与高冲路交汇处东北角（鹅羊山东南角）,绿地海外滩,8400,,,住宅,售罄,102
铁道学院,竹塘西路228号,剑桥名门,8500,,,住宅,售罄,55
河西人人乐,岳麓区谷丰中路209号 （岳麓区政府西侧，含光路与谷丰路交汇处西南角）,荣泰广场,8800,,,住宅,售罄,35
金星北,望城区银星路乾源国际广场,乾源国际广场,7700,123m²,3室(1),住宅,售罄,30
枫林三路,岳麓区枫林三路与麓云路交汇处东北角（城西车辆监测站旁）,高盛华成,9500,74m²,2室(1),住宅,售罄,43
广电,开福区福元中路66号美利新世界,美利新世界,6200,90m²,2室(1),住宅,售罄,23
梅溪湖北岸,岳麓区梅溪湖映日路与看云路交汇处西北角（长郡梅溪湖中学旁）,合能璞丽,9500,,,住宅,售罄,100
尚东,雨花区万家丽路与朝晖路交汇处（上河国际广场对面）,金地格林公馆,10000,,,住宅,售罄,78
阳光100,岳麓区潇湘中路355号,万科金域缇香,15000,,,住宅,售罄,162
金霞,开福区秀峰路80号（芙蓉北路与秀峰路交汇处东南角）,中国铁建山语城三期,7500,89m²,2室(1),住宅,售罄,39
汽车西站,岳麓区汽车西站南园路128号,麓山枫情二期,9500,,,住宅,售罄,42
万家丽南路,雨花区湘府东路与万家丽路交汇东行600米,长房半岛蓝湾,7700,,,住宅,售罄,32
河西人人乐,岳麓区谷丰中路209号 （岳麓区政府西侧，含光路与谷丰路交汇处西南角）,荣泰广场,8800,,,住宅,售罄,35
金星北,望城区银星路乾源国际广场,乾源国际广场,7700,123m²,3室(1),住宅,售罄,30
枫林三路,岳麓区枫林三路与麓云路交汇处东北角（城西车辆监测站旁）,高盛华成,9500,74m²,2室(1),住宅,售罄,43
广电,开福区福元中路66号美利新世界,美利新世界,6200,90m²,2室(1),住宅,售罄,23
梅溪湖北岸,岳麓区梅溪湖映日路与看云路交汇处西北角（长郡梅溪湖中学旁）,合能璞丽,9500,,,住宅,售罄,100
尚东,雨花区万家丽路与朝晖路交汇处（上河国际广场对面）,金地格林公馆,10000,,,住宅,售罄,78
阳光100,岳麓区潇湘中路355号,万科金域缇香,15000,,,住宅,售罄,162
金霞,开福区秀峰路80号（芙蓉北路与秀峰路交汇处东南角）,中国铁建山语城三期,7500,89m²,2室(1),住宅,售罄,39
汽车西站,岳麓区汽车西站南园路128号,麓山枫情二期,9500,,,住宅,售罄,42
万家丽南路,雨花区湘府东路与万家丽路交汇东行600米,长房半岛蓝湾,7700,,,住宅,售罄,32
梅溪湖北岸,岳麓区沐风路与东方红路交汇处东北角（长郡梅溪湖中学对面）,中国铁建梅溪青秀,11500,,,住宅,售罄,105
武广新城,雨花区香樟东路299号（香樟东路南雅中学对面）,万里时代广场,8750,,,住宅,售罄,113
