address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
明怡,博奥路（原青年路）与建设二路交叉口,新城香悦奥府,价格待定,,,住宅,售罄,245
万达北,冯家浜路上园路交叉口,万科北宸之光三期拱宸,价格待定,135m²,4室(1),住宅,售罄,167
北塘,金城路与风情大道交汇处往北300米,中国铁建江南国际城,价格待定,,,住宅,售罄,260
临平山北,新洲路与星河路交汇东南处,众安理想湾,价格待定,,,住宅,售罄,118
庭院深深,中泰街道中泰路与杭泰路交叉口,中港罗兰小镇,价格待定,,,住宅,售罄,142
半山田园,半山东路与虎山路交汇处,首开望宸,价格待定,,,住宅,售罄,227
和家园,杨梅山路（和家园求是小学正南）,万科坤和玉泉,价格待定,,,住宅,售罄,328
未来科技城,杭州未来科技城五常街道兴幼路以东,合景叠彩园,价格待定,,,别墅,售罄,660
闲林,西溪湿地延伸带（天目山西路闲富路口）,赞成乐山红叶,价格待定,,,住宅,售罄,256
明怡,风情大道与建设一路交叉口,中栋国际,价格待定,,,商业类,售罄,115
明怡,博奥路（原青年路）与建设二路交叉口,新城香悦奥府,价格待定,,,住宅,售罄,245
万达北,冯家浜路上园路交叉口,万科北宸之光三期拱宸,价格待定,135m²,4室(1),住宅,售罄,167
临平新城,世纪大道与望梅路交叉口向南500米,万泰城章,价格待定,,,住宅,售罄,128
萧山周边,风情大道和向旭路交叉路口,北辰奥园,价格待定,,,住宅,售罄,151
闲林,天目山西路圣地路口,绿城桃源小镇,价格待定,,,住宅,售罄,221
紫金港,西湖区紫荆花路与振华路交叉口杭师大附中对面,中旅紫金名门,价格待定,,,住宅,售罄,266
康桥,杭州市拱墅区桃源新区桃源中央公园内（沈半路与桃源街交叉口往西约800米）,广宇万科公园里,价格待定,,,住宅,售罄,249
勾庄,杭行路好运路交叉口,万科杭宸,价格待定,,,住宅,售罄,216
萧山周边,市心南路与朝兴路交叉口西北侧400米,朝阳银座,价格待定,46m²,1室(1),商业类,售罄,69
未来科技城,文一西路良睦路口向南200米,西溪蓝海,25500,71m²,2室(1),商业类,在售,87
萧山周边,萧山育才路与晨辉路交叉口西南侧,光明尚海湾,价格待定,,,住宅,售罄,162
文化村,古墩路语东西大道交叉口向西3公里,万科锦云坊,价格待定,,,住宅,待售,148
老余杭,天目山西路城东路西南,金成英特学府,23500,139m²,4室(1),住宅,在售,153
钱江世纪城,庆春隧道南振宁路与民和路交叉口（紧邻地铁2号线振宁路站）,万科大家世纪之光,价格待定,,,住宅,售罄,263
建设,建设二路与育才路交叉口往东100米,华瑞晴庐,价格待定,,,住宅,售罄,450
景芳,艮山西路和运河东路交叉口498号,中企艮山府,34000,280m²,5室(1),住宅,在售,299
北塘,博奥路与建设一路交汇处,滨江江南之星,价格待定,89m²,3室(1),住宅,售罄,249
普福,红普路与九州路交汇处西侧,保利梧桐语,价格待定,,,住宅,售罄,202
三墩,古墩路与金渡北路交叉口西北角,金地广场,价格待定,,,商业类,售罄,94
彩虹城,江南大道世茂之西湖,世茂之西湖,价格待定,,,商业类,售罄,122
义桥,杭州绕城高速义桥出口南1公里处,绿都御景蓝湾,价格待定,,,住宅,售罄,142
临平新城,世纪大道与望梅路交叉口西南侧,赞成首府,价格待定,,,住宅,售罄,134
城东新城,鸿泰路与莲花桥路交叉口,万科中央公园,价格待定,,,住宅,售罄,569
未来城,古墩路与疏港路交叉口向北300米,万科未来城二期,价格待定,89~118m²,3室(2),住宅,售罄,202
崇贤,余杭320国道与运河路交叉口,杭钢紫元旭润和府,价格待定,,,住宅,待售,96
